UF,Governador,"Nome do usuário
no Twitter",Termo de busca,user id
AC,Gladson Cameli,gladsoncameli,cameli,96775581
AL,Renan Filho,RenanFilho_,"""renan filho""",176502945
AM,Wilson Lima,wilsonlimaAM,"""wilson lima""",91109801
AP,Waldez Góes,waldezoficial,waldez,965696565074714625
BA,Rui Costa,costa_rui,"""rui costa""",68466700
CE,Camilo Santana,CamiloSantanaCE,"""camilo santana""",1242846683962245127
DF,Ibaneis Rocha,IbaneisOficial,ibaneis,1025379394574008320
ES,Renato Casagrande,Casagrande_ES,"""renato casagrande""",74722174
GO,Ronaldo Caiado,ronaldocaiado,caiado,32101740
MA,Flávio Dino,FlavioDino,"""flávio dino""",25577585
MG,Romeu Zema,RomeuZema,zema,1020798087449776128
MS,Reinaldo Azambuja,Reinaldo45psdb,"""reinaldo azambuja""",157184730
MT,Mauro Mendes,MauroMendes40,"""mauro mendes""",126381872
PA,Helder Barbalho,helderbarbalho,"""helder barbalho""",151653693
PB,João Azevedo,joaoazevedolins,"""joão azevedo""",698129524106653697
PE,Paulo Câmara,PauloCamara40,"""paulo câmara""",2357026778
PI,Wellington Dias,wdiaspi,wellington dias,138854341
PR,Ratinho Júnior,ratinho_jr,"""ratinho junior""",95904965
RJ,Wilson Witzel,wilsonwitzel,witzel,971110539169591298
RN,Fátima Bezerra,fatimabezerra,"""fátima bezerra""",51064768
RO,Marcos Rocha,celmarcosrocha,"""marcos rocha""",1032140140494434310
RR,Antônio Denarium,antoniodenarium,denarium,1080452105532518401
RS,Eduardo Leite,EduardoLeite_,"""eduardo leite""",123891446
SC,Carlos Moisés,CarlosMoises,"""carlos moisés""",456795842
SE,Belivaldo Chagas,belivaldochagas,belivaldo,79516716
SP ,João Dória,jdoriajr,dória,64706049
TO,Mauro Carlesse,maurocarlesse,carlesse,3010652285
Presidente,Jair Bolsonaro,jairbolsonaro,bolsonaro,128372940
Presidente da Câmara,Arthur Lira,ArthurLira_,"""arthur lira""",1086390169970884613
"Antigo presidente da
Câmara",Rodrigo Maia,RodrigoMaia,"""rodrigo maia""",35260027
"Antigo presidente do
Senado",Davi Alcolumbre,davialcolumbre,alcolumbre,2716763753
Pré-candidato 2022,Ciro Gomes,cirogomes,"""ciro gomes""",33374761
Pré-candidato 2022,Lula,LulaOficial,lula,2670726740
Pré-candidato 2022,Hanrique Mandetta,lhmandetta,mandetta,2726301380
Possível condidato 2022,Sérgio Moro,SF_Moro,moro,1113094855281008641
