text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @CiascaSonia: VAMOS PRESSIONAR O ARTHUR LIRA! ESSA HISTÓRIA DE VENDER 25% DE NOSSAS TERRAS, PARA ESTRANGEIROS, TEM QUE ACABAR!!! O BRASI…","""arthur lira""",,,1385820133,eroni_agertt,,,84,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:58 GMT-0300 (Brasilia Standard Time)
@alertatotal Se o pensando fosse esse arthur Lira tbm mantém o silêncio com os de bolsonaro,"""arthur lira""",,,2449654596,Gusttavo_s9,,,0,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:11 GMT-0300 (Brasilia Standard Time)
"@amandamoraes500 Isso tem engavetar, ou seja arquivo morto! Se Dep.Arthur Lira por votação, será maior traidor da n… https://t.co/ZrubipVL2D","""arthur lira""",,,341732049,queiroz_celia,,,0,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:02 GMT-0300 (Brasilia Standard Time)
"@alertatotal Arthur lira, emendas, 100 pedidos. Da na msm","""arthur lira""",,,2449654596,Gusttavo_s9,,,0,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:14:11 GMT-0300 (Brasilia Standard Time)
"RT @CiascaSonia: VAMOS PRESSIONAR O ARTHUR LIRA! ESSA HISTÓRIA DE VENDER 25% DE NOSSAS TERRAS, PARA ESTRANGEIROS, TEM QUE ACABAR!!! O BRASI…","""arthur lira""",,,347570205,Cynthiahad,,,84,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:12:27 GMT-0300 (Brasilia Standard Time)
"RT @GugaNoblat: Pronto, agora não tem mais desculpa, não tem mais cascata, não tem mais como enrolar. Bolsonaro é um golpista em ação. Ciro…","""arthur lira""",,,45890260,onfaitavec,,,170,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:10:20 GMT-0300 (Brasilia Standard Time)
"RT @GugaNoblat: Pronto, agora não tem mais desculpa, não tem mais cascata, não tem mais como enrolar. Bolsonaro é um golpista em ação. Ciro…","""arthur lira""",,,1483583714,SergiusAugustus,,,170,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:10:01 GMT-0300 (Brasilia Standard Time)
"RT @CiascaSonia: VAMOS PRESSIONAR O ARTHUR LIRA! ESSA HISTÓRIA DE VENDER 25% DE NOSSAS TERRAS, PARA ESTRANGEIROS, TEM QUE ACABAR!!! O BRASI…","""arthur lira""",,,1326468057087225900,Marissol7418,,,84,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:08:33 GMT-0300 (Brasilia Standard Time)
"@bolsomito_2 Kkkk o que eu quero é que esses impeachment aconteçam olha o que ele quer, sabe o que eu quero… https://t.co/kzxeJmEyHu","""arthur lira""",,,1110497672279011300,PedroSanto25,,,0,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:07:45 GMT-0300 (Brasilia Standard Time)
"RT @GugaNoblat: Pronto, agora não tem mais desculpa, não tem mais cascata, não tem mais como enrolar. Bolsonaro é um golpista em ação. Ciro…","""arthur lira""",,,786550378217238500,pedrohcmarchio,,,170,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:06:01 GMT-0300 (Brasilia Standard Time)
"@RodrigoABN1985 @VladimirAras @MPF_PGR @randolfeap Falou o cara que apoia família de milíciano, que transformou pol… https://t.co/cCW2WxWOuM","""arthur lira""",,,1022099420295381000,fabricio_033,,,0,1,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:04:31 GMT-0300 (Brasilia Standard Time)
"RT @GugaNoblat: Pronto, agora não tem mais desculpa, não tem mais cascata, não tem mais como enrolar. Bolsonaro é um golpista em ação. Ciro…","""arthur lira""",,,832343321045499900,MartaleneNasci1,,,170,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:04:16 GMT-0300 (Brasilia Standard Time)
"RT @CiascaSonia: VAMOS PRESSIONAR O ARTHUR LIRA! ESSA HISTÓRIA DE VENDER 25% DE NOSSAS TERRAS, PARA ESTRANGEIROS, TEM QUE ACABAR!!! O BRASI…","""arthur lira""",,,1182045125490417700,Evandro63650639,,,84,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:03:08 GMT-0300 (Brasilia Standard Time)
"RT @AurelioAraujo: Notícias da semana após +1 ameaça de golpe:

Fux chama Bolsonaro pra tomar chá

Presidente dá entrevista e só manda 3 re…","""arthur lira""",,,65750944,julianopupo,,,0,0,Mon Aug 16 2021 10:16:40 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:01:01 GMT-0300 (Brasilia Standard Time)
