text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @DrBoTS2: ---
Arthur Lira sinaliza que o “botão amarelo está apertado”

https://t.co/RVsyscUJqM

 (NOTÍCIA 2183266)

#BolsonaroAte2026…","""arthur lira""",,,1252034940822225000,victorrobertoo5,,,2,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time)
"RT @JosBarbosadeAn2: Reuniões com o Arthur Lira, Freixo e outros... e a PEC108/2019 engavetada, bom para a OAB e ruim para os apoiadores da…","""arthur lira""",,,529645252,rosamariaferr10,,,6,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:57:46 GMT-0300 (Brasilia Standard Time)
"RT @direitasiqueira: FINALISTAS:
- EXÉRCITO
- SANTANDER
- ARTHUR LIRA
- AÉCIO NEVES
- MILTON RIBEIRO
- AUGUSTO ARAS
- JANA PASCHOAL
- RICAR…","""arthur lira""",,,1363578766891565000,BrasileiroEm,,,37,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:56:33 GMT-0300 (Brasilia Standard Time)
#JairBolsonaro #ForaBolsonaro #DitaduraNuncaMais  #Somos70porcento #ImpeachmentBolsonaro O desmonte do Brasil.… https://t.co/Ls5ODP9CvG,"""arthur lira""",,,1244999625326702600,PerguntasproJ,,,0,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:22 GMT-0300 (Brasilia Standard Time)
RT @MonicaWaldvogel: Bolsonaro prestou imenso serviço a Arthur Lira e Centrão ao distrair a atenção do país com a balela do voto impresso.…,"""arthur lira""",,,1244088151569838000,ClaudiaDans1,,,1389,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:52:58 GMT-0300 (Brasilia Standard Time)
RT @MonicaWaldvogel: Bolsonaro prestou imenso serviço a Arthur Lira e Centrão ao distrair a atenção do país com a balela do voto impresso.…,"""arthur lira""",,,33556676,titabatista,,,1389,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:50:01 GMT-0300 (Brasilia Standard Time)
RT @MonicaWaldvogel: Bolsonaro prestou imenso serviço a Arthur Lira e Centrão ao distrair a atenção do país com a balela do voto impresso.…,"""arthur lira""",,,153098227,polianymota,,,1389,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:48:48 GMT-0300 (Brasilia Standard Time)
"RT @LiaBolsonaro: Arthur Lira disse que se o voto não fosse aprovado , Bolsonaro teria que respeitar a decisão.

 Digo e repito : Eu não co…","""arthur lira""",,,1381295690425512000,Direita46591384,,,3,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:46:39 GMT-0300 (Brasilia Standard Time)
"ART. 52 da constituição:
Traduzindo: ""o pau que dá em Chico, pode também dá em Francisco ""

Ou seja, assim como ele… https://t.co/HqUtCl8OK8","""arthur lira""",,,142499519,rosepaixao_on,,,0,4,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:46:27 GMT-0300 (Brasilia Standard Time)
@brasil247 Ele não ameaçou o Arthur Lira para colocar em pauta os 160 pedidos de impeachment do miliciano não?,"""arthur lira""",,,836762023409123300,syk4ryo,,,0,0,Sun Aug 15 2021 20:02:25 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:44:01 GMT-0300 (Brasilia Standard Time)
