text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @depheliolopes: ARTHUR LIRA: 'NÃO SE VAI ACEITAR QUE A JUSTIÇA ELEITORAL LEGISLE'

#DepHeliolopes #minhacoréobrasil https://t.co/XVBOeh9…","""arthur lira""",,,1297941011134656500,Benito44641107,,,37,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:54 GMT-0300 (Brasilia Standard Time)
"RT @depheliolopes: ARTHUR LIRA: 'NÃO SE VAI ACEITAR QUE A JUSTIÇA ELEITORAL LEGISLE'

#DepHeliolopes #minhacoréobrasil https://t.co/XVBOeh9…","""arthur lira""",,,563094648,victortamoios,,,37,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:42 GMT-0300 (Brasilia Standard Time)
"RT @EnockFormiga: Arthur Lira lembrou que está parada no Senado, há seis anos, desde 2015, uma PEC que cria o voto impresso e auditável, já…","""arthur lira""",,,1257356219913830400,elisabe56878001,,,91,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:39 GMT-0300 (Brasilia Standard Time)
"RT @EnockFormiga: Arthur Lira lembrou que está parada no Senado, há seis anos, desde 2015, uma PEC que cria o voto impresso e auditável, já…","""arthur lira""",,,1105847735981428700,Alessan63233707,,,91,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:35 GMT-0300 (Brasilia Standard Time)
"@BolsonaroSP Disse os que se juntaram ao Roberto Jefferson, Valdemar da Costa Neto, Fernando Bezerra, Arthur Lira,… https://t.co/sgZz4cosrK","""arthur lira""",,,1410555647960232000,fernanddofragg1,,,0,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:30 GMT-0300 (Brasilia Standard Time)
"RT @depheliolopes: ARTHUR LIRA: 'NÃO SE VAI ACEITAR QUE A JUSTIÇA ELEITORAL LEGISLE'

#DepHeliolopes #minhacoréobrasil https://t.co/XVBOeh9…","""arthur lira""",,,1243272183557894100,Luescursoes,,,37,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:25 GMT-0300 (Brasilia Standard Time)
"RT @EnockFormiga: Arthur Lira lembrou que está parada no Senado, há seis anos, desde 2015, uma PEC que cria o voto impresso e auditável, já…","""arthur lira""",,,47787462,mmnix,,,91,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:24 GMT-0300 (Brasilia Standard Time)
"RT @depheliolopes: ARTHUR LIRA: 'NÃO SE VAI ACEITAR QUE A JUSTIÇA ELEITORAL LEGISLE'

#DepHeliolopes #minhacoréobrasil https://t.co/XVBOeh9…","""arthur lira""",,,1401671462398877700,MottaBob,,,37,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:14 GMT-0300 (Brasilia Standard Time)
@JornalOGlobo É culpa do Arthur Lira que não despacha o #ImpeachmentBolsonaro,"""arthur lira""",,,66209306,RonanBotelho,,,0,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:13:02 GMT-0300 (Brasilia Standard Time)
"RT @TI_InterBr: URGENTE: Arthur Lira pautou para hoje à noite a votação do ""Distritão"". Sem debate público e sem que a população saiba o qu…","""arthur lira""",,,1189730439738601500,DIEGODEARAUJOO2,,,706,0,Thu Aug 05 2021 09:13:58 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 09:12:59 GMT-0300 (Brasilia Standard Time)
