text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Chega de Bolsonaro!
TEMOS UM MILICIANO AMEAÇANDO A DEMOCRAFIA DO BRASIL. 
Acorda Arthur Lira vc será o primeiro a s… https://t.co/Xv1Du3s7CV","""arthur lira""",,,1279020662041051100,Mariadomundo1,,,0,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:10 GMT-0300 (Brasilia Standard Time)
RT @fabifbbr: Pec do voto auditável acaba de ser incluída por Arthur Lira na pauta do plenário da Câmara dos Deputados para amanhã.,"""arthur lira""",,,1256619580023287800,LMidlew,,,1174,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time)
"@o_antagonista A Midia e os Membros de Esquerda mais SEM VERGONHAS não dizem ! 

Mas anotai ! 

A Passagem dos Tanq… https://t.co/rO1LGRLnNx","""arthur lira""",,,37789261,oboaventura,,,0,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:15:00 GMT-0300 (Brasilia Standard Time)
"@NatuzaNery ""Bolsonaro deu uma volta em Arthur Lira"". Sério? Vai meter essa? Tudo que Bolsonaro faz tem o aval do L… https://t.co/haYkToXNb2","""arthur lira""",,,1213138530471313400,dalianesants,,,0,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:55 GMT-0300 (Brasilia Standard Time)
"RT @NatuzaNery: A foto vai correr o mundo. E o Brasil não ficará bem nela. 
Mas é bom que se diga: Bolsonaro deu uma volta em Arthur Lira.…","""arthur lira""",,,1370980520,GabrielDireitoS,,,442,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:52 GMT-0300 (Brasilia Standard Time)
"RT @IzabelleFores: Bolsonaro vai respeitar se Câmara não aprovar voto impresso auditável.
Arthur Lira

“Se voto impresso for rejeitado no p…","""arthur lira""",,,1414641304219398100,Ceclia49099334,,,128,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:14:46 GMT-0300 (Brasilia Standard Time)
"RT @marcelloneves72: Como prometido, Arthur Lira inclui a PEC do voto impresso na pauta de amanhã da Câmara dos Deputados. Teremos a certez…","""arthur lira""",,,1404555247729746000,JorgePrado1000,,,651,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:13:31 GMT-0300 (Brasilia Standard Time)
RT @oswaldojor: Desembarquei a pouco em San José da Costa Rica para protocolar na Corte Interamericana dos Direitos Humanos uma denúncia co…,"""arthur lira""",,,52428804,LINCOLNSPOSITO,,,1857,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:12:47 GMT-0300 (Brasilia Standard Time)
"RT @desmentindobozo: ""PEC do voto impresso: Lira chama exibição de blindados de 'trágica coincidência' e pode adiar votação""

TRÁGICA COINC…","""arthur lira""",,,60746936,jonas_sampai,,,109,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:12:23 GMT-0300 (Brasilia Standard Time)
"O presidente da Câmara, deputado Arthur Lira incluiu na pauta de votação do plenário da Casa hoje (10/8), a Propost… https://t.co/XwSx9WRHQZ","""arthur lira""",,,1416026528178114600,vista_patria,,,0,1,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:11:52 GMT-0300 (Brasilia Standard Time)
"RT @RhodrigoM: Enquanto o GADO aplaude sucata, Arthur Lira passa a boiada na Câmara. 
Alguém aí ainda lembra da CPI da pandemia? 

Tem méto…","""arthur lira""",,,2821371155,esperancaetica,,,9,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:11:46 GMT-0300 (Brasilia Standard Time)
"RT @DCM_online: Arthur Lira vai mandar Comissão revisar prisão de bolsonarista Daniel Silveira

https://t.co/l5qfnlwMAp https://t.co/SeVDQ1…","""arthur lira""",,,1176976883138879500,JEFFERS32513617,,,10,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:11:44 GMT-0300 (Brasilia Standard Time)
"RT @NatuzaNery: A foto vai correr o mundo. E o Brasil não ficará bem nela. 
Mas é bom que se diga: Bolsonaro deu uma volta em Arthur Lira.…","""arthur lira""",,,1050767707606519800,kelenramoss,,,442,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:11:28 GMT-0300 (Brasilia Standard Time)
"@Estadao @EstadaoPolitica É Óbvio que Bolsonaro mandou Arthur Lira colocar a votação do Voto Impresso, justamente,n… https://t.co/y04lbFgW9k","""arthur lira""",,,1340412364039053300,GiovaneExplosao,,,0,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:11:11 GMT-0300 (Brasilia Standard Time)
"@MMMRgo @DespotaE @JovemPanNews Eu votei nele e no filho rachadinha. Mas não sou imbecil pra continuar apoiando.

E… https://t.co/yz6OTLTwHX","""arthur lira""",,,16355572,rezende,,,0,1,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:11:06 GMT-0300 (Brasilia Standard Time)
"RT @NatuzaNery: A foto vai correr o mundo. E o Brasil não ficará bem nela. 
Mas é bom que se diga: Bolsonaro deu uma volta em Arthur Lira.…","""arthur lira""",,,53309558,gmagalhaes99,,,442,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:10:54 GMT-0300 (Brasilia Standard Time)
"RT @NatuzaNery: A foto vai correr o mundo. E o Brasil não ficará bem nela. 
Mas é bom que se diga: Bolsonaro deu uma volta em Arthur Lira.…","""arthur lira""",,,2889610108,whatklausmean,,,442,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:10:41 GMT-0300 (Brasilia Standard Time)
"RT @NatuzaNery: A foto vai correr o mundo. E o Brasil não ficará bem nela. 
Mas é bom que se diga: Bolsonaro deu uma volta em Arthur Lira.…","""arthur lira""",,,54181599,katlays,,,442,0,Tue Aug 10 2021 10:15:20 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:10:32 GMT-0300 (Brasilia Standard Time)
