text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @BlogdoNoblat: Eleição de 2022 não terá resultado confiável, diz Bolsonaro
Presidente quebra promessa feita a Arthur Lira e volta a atac…","""arthur lira""",,,2232266574,jrfsfcj,,,68,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:58:22 GMT-0300 (Brasilia Standard Time)
"RT @oswaldojor: Quando Arthur Lira anunciou que colocaria em pauta a PEC 135 do voto impresso, lembrei-me da fatídica derrota 7x1 da seleçã…","""arthur lira""",,,631155457,2212fatima,,,949,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:57:27 GMT-0300 (Brasilia Standard Time)
"RT @BlogdoNoblat: Eleição de 2022 não terá resultado confiável, diz Bolsonaro
Presidente quebra promessa feita a Arthur Lira e volta a atac…","""arthur lira""",,,1241920638845149200,Ellen27848367,,,68,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:57:21 GMT-0300 (Brasilia Standard Time)
"RT @DibianchiI: Vou chover no molhado, eu não confio no Arthur Lira.","""arthur lira""",,,1344280814977167400,dariocorrea1728,,,1,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:57:19 GMT-0300 (Brasilia Standard Time)
@SigaGazetaBR Arthur lira é totalmente diferente com Pacheco,"""arthur lira""",,,1415688922651299800,Priscil04576023,,,0,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:57:15 GMT-0300 (Brasilia Standard Time)
"Tinha 498 deputados presentes.
218 contra a PEC
229 a favor
1 abstenção
1 Arthur Lira não votou
218 + 229 + 1 +1 =… https://t.co/aSHmnHwN1N","""arthur lira""",,,2864503888,nemohnatiuk,,,0,1,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:56:36 GMT-0300 (Brasilia Standard Time)
"Vou chover no molhado, eu não confio no Arthur Lira.","""arthur lira""",,,1360635057829015600,DibianchiI,,,1,1,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:56:21 GMT-0300 (Brasilia Standard Time)
"RT @pauloeneas: Na última sexta-feira, conforme retratamos em artigo do Crítica Nacional, Arthur Lira afirmou, por outras palavras, que o v…","""arthur lira""",,,1147975300040536000,PauloSCPinto7,,,269,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:55:37 GMT-0300 (Brasilia Standard Time)
"RT @oswaldojor: Quando Arthur Lira anunciou que colocaria em pauta a PEC 135 do voto impresso, lembrei-me da fatídica derrota 7x1 da seleçã…","""arthur lira""",,,718272972851646500,AndrewF7969,,,949,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:55:25 GMT-0300 (Brasilia Standard Time)
"RT @CentralEleicoes: 🗳️🤥 Ele não para!

Bolsonaro seguiu falando hoje de fraudes eleitorais. Contou uma história de um hacker que roubou 12…","""arthur lira""",,,1138181272008896500,itsclarinha26,,,29,0,Wed Aug 11 2021 17:59:26 GMT-0300 (Brasilia Standard Time),Wed Aug 11 2021 17:55:16 GMT-0300 (Brasilia Standard Time)
