text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @andrefernm: Até hoje, agosto de 2021, Camilo Santana não comprou sequer UMA DOSE DE VACINA pro povo cearense.

Já foram aplicadas mais…","""camilo santana""",,,1122368821,LuizCarvas,,,150,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:18:04 GMT-0300 (Brasilia Standard Time)
"ta chegando minha vez na vacina, camilo santana eu te amo amor","""camilo santana""",,,1264048363944775700,swanaIice,,,0,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:11:56 GMT-0300 (Brasilia Standard Time)
"@CamiloSantanaCE Vamos fazer o Ceará ser independente, acho um absurdo isso, estamos com você Camilo Santana.","""camilo santana""",,,1243154987359797200,sonia48722946,,,0,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:08:48 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Até hoje, agosto de 2021, Camilo Santana não comprou sequer UMA DOSE DE VACINA pro povo cearense.

Já foram aplicadas mais…","""camilo santana""",,,1097994043810811900,RenatoA27159658,,,150,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:03:24 GMT-0300 (Brasilia Standard Time)
"@opovoonline Claro que derrubaram, o Alecrim Dourado veio para cá. E agora todo mundo está a mercê de novo.
O Camil… https://t.co/e61t08La6a","""camilo santana""",,,852754650025439200,oanderthiago,,,0,7,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:54:32 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Até hoje, agosto de 2021, Camilo Santana não comprou sequer UMA DOSE DE VACINA pro povo cearense.

Já foram aplicadas mais…","""camilo santana""",,,49064653,Folhaovento,,,150,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:51:46 GMT-0300 (Brasilia Standard Time)
"Apoiadores aguardam o presidente Bolsonaro no aeroporto de Juazeiro do Norte, no Ceará. O presidente participará da… https://t.co/9CaFsTttPK","""camilo santana""",,,68570334,beatrizjuca,,,0,3,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:50:56 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Até hoje, agosto de 2021, Camilo Santana não comprou sequer UMA DOSE DE VACINA pro povo cearense.

Já foram aplicadas mais…","""camilo santana""",,,346204440,lilicabust,,,150,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:47:31 GMT-0300 (Brasilia Standard Time)
"@CamiloSantanaCE Governador CAMILO SANTANA, se dependesse do sr.nosso estado não haveriam nem óbitos pela a COVID 1… https://t.co/FW6HJapFhQ","""camilo santana""",,,1423766246244356000,FranciscaRitaL5,,,0,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:39:03 GMT-0300 (Brasilia Standard Time)
@carmelonetobr Será q o Camilo Santana vai ter peito de barrar essa comitiva ?!🤔,"""camilo santana""",,,40303028,jackson_moreira,,,0,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:34:45 GMT-0300 (Brasilia Standard Time)
"@CamiloSantanaCE Bom Dia governador CAMILO SANTANA.. Graças a DEUS,
mais VACINAS esperanças pra SALVAR VIDAS..
....… https://t.co/MyyTmz2MIR","""camilo santana""",,,1423766246244356000,FranciscaRitaL5,,,0,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:33:04 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Até hoje, agosto de 2021, Camilo Santana não comprou sequer UMA DOSE DE VACINA pro povo cearense.

Já foram aplicadas mais…","""camilo santana""",,,1049853395669016600,Julia25601855,,,150,0,Fri Aug 13 2021 09:26:56 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:15:45 GMT-0300 (Brasilia Standard Time)
