text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @augmartelo: cheguei atrasadão, não peguei fila e fui vacinado em menos de 5 minutos. 

OBRIGADO POR TUDO CAMILO SANTANA!","""camilo santana""",,,1240824267559899100,camilodopovo,,,1,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:46:44 GMT-0300 (Brasilia Standard Time)
"PT no Acre é muito parecido a seção Nordestina, Jorge e Tião Viana são muito parecidos com Camilo Santana.","""camilo santana""",,,912473588657266700,Fiodanavalha1,,,0,1,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:31:17 GMT-0300 (Brasilia Standard Time)
"A Postagem | PT articula os governadores Rui Costa e Camilo Santana para o Senado, em 2022. https://t.co/9y5IBA6qkX","""camilo santana""",,,58924983,germon49,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:30:32 GMT-0300 (Brasilia Standard Time)
"RT @paulazanelli: Chora Camilo Santana, Ceará hoje 13/08/2021 em apoio ao Bolsonaro.
👏🇧🇷 https://t.co/cahiPqGWOV","""camilo santana""",,,446190537,beto_b2b,,,436,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:28:01 GMT-0300 (Brasilia Standard Time)
"Prefeito de Fortaleza, Sarto, sai em defesa do governador cearense, Camilo Santana: ""Ataques de quem ironiza a dor… https://t.co/8zJsbKBbd8","""camilo santana""",,,25850446,ArimateiaMacedo,,,0,1,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:08:38 GMT-0300 (Brasilia Standard Time)
"PT articula os governadores Rui Costa e Camilo Santana para o Senado, em 2022. - https://t.co/luP8NRRNfA @a_postagem","""camilo santana""",,,978030180584316900,PedroMottaB,,,0,1,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:08:24 GMT-0300 (Brasilia Standard Time)
"PT articula os governadores Rui Costa e Camilo Santana para o Senado, em 2022. - https://t.co/9djZpgbT0M @a_postagem","""camilo santana""",,,81936003,Reginaldospx,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:50:33 GMT-0300 (Brasilia Standard Time)
"PT articula os governadores Rui Costa e Camilo Santana para o Senado, em 2022.

https://t.co/HrVRqt8UuL

*SIGA-NOS*… https://t.co/X93xsgYndz","""camilo santana""",,,790057461134848000,a_postagem,,,0,1,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:45:55 GMT-0300 (Brasilia Standard Time)
"Sente vergonha desse gramado, não, Camilo Santana?","""camilo santana""",,,329501690,Herbert_N7,,,0,5,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:33:44 GMT-0300 (Brasilia Standard Time)
"Parabéns presidente Bolsonaro, será porque Camilo Santana não compareceu na cerimônia de entrega das casas,om PTist… https://t.co/fZQdrQG4wk","""camilo santana""",,,1599527005,fernando250164,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:37:09 GMT-0300 (Brasilia Standard Time)
"Camilo Santana é um sonso e hipócrita.
Teste de covid nunca foi obrigatório nos aeroportos daqui, o que devia, mas… https://t.co/A7Cz6ktKyG","""camilo santana""",,,1330301468272980000,mrs_spacewoman,,,0,1,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:36:22 GMT-0300 (Brasilia Standard Time)
"RT @paulazanelli: Chora Camilo Santana, Ceará hoje 13/08/2021 em apoio ao Bolsonaro.
👏🇧🇷 https://t.co/cahiPqGWOV","""camilo santana""",,,1326468057087225900,Marissol7418,,,436,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:35:30 GMT-0300 (Brasilia Standard Time)
"RT @paulazanelli: Chora Camilo Santana, Ceará hoje 13/08/2021 em apoio ao Bolsonaro.
👏🇧🇷 https://t.co/cahiPqGWOV","""camilo santana""",,,1123329271680913400,Claudia28671794,,,436,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:25:45 GMT-0300 (Brasilia Standard Time)
"🚩🚩🚩
#LulaePTUnidosPorVoce 
#LulaPeloNordeste
PT articula os governadores Rui Costa e Camilo Santana para o Senado https://t.co/qH99NWyu64","""camilo santana""",,,2268730459,fjosi1,,,0,5,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:03:21 GMT-0300 (Brasilia Standard Time)
"RT @CCMazza: A princípio, todos os compromissos do ex-presidente no Ceará serão fechados. Ele deve se reunir, entre outros, com o governado…","""camilo santana""",,,22264078,RafaelLucena,,,1,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:52:34 GMT-0300 (Brasilia Standard Time)
"cheguei atrasadão, não peguei fila e fui vacinado em menos de 5 minutos. 

OBRIGADO POR TUDO CAMILO SANTANA!","""camilo santana""",,,1091181415834837000,augmartelo,,,1,4,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:51:29 GMT-0300 (Brasilia Standard Time)
Veja o motivo da Raiva do Camilo Santana. Juazeiro do Norte foi em peso ... https://t.co/RV3bMwt5Zq via @YouTube,"""camilo santana""",,,832368564720005100,nation_som,,,0,1,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:46:04 GMT-0300 (Brasilia Standard Time)
"Camilo Santana faz tudo, quinta vacinando pessoal de 23/22 anos e agora já tão vacinando a galera de 19/18","""camilo santana""",,,1171772132814184400,montrefler,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:30:02 GMT-0300 (Brasilia Standard Time)
"Bolsonaro hoje em Juazeiro do Norte Ceará, Camilo Santana tá se mordendo... https://t.co/sjDfzSaYYm via @YouTube","""camilo santana""",,,1107341954399039500,herialdo6,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:19:43 GMT-0300 (Brasilia Standard Time)
Pra desespero de Camilo Santana teve até Motociata em Juazeiro do Norte https://t.co/BoSAtBdqfD via @YouTube E AGORA JOSÉ ???,"""camilo santana""",,,77266462,rauldinoa,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:08:50 GMT-0300 (Brasilia Standard Time)
@CamiloSantanaCE MUITO BEM GOVERNADO CAMILO SANTANA. O ESTADO DO CEARA ESTÁ ENTRE TODOS QUE ESTÃO QUE ESTÃO MAIS AV… https://t.co/hR2czCAGpO,"""camilo santana""",,,1350464871624827000,ManoelO61395300,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 15:38:35 GMT-0300 (Brasilia Standard Time)
"@senadorhumberto Cadê o Camilo Santana ?
O Ciro deixou receber o Lula ?","""camilo santana""",Brazil,"Fortaleza, Brazil",1387084209710411800,CesarPierre6,,,0,1,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 15:07:52 GMT-0300 (Brasilia Standard Time)
"A princípio, todos os compromissos do ex-presidente no Ceará serão fechados. Ele deve se reunir, entre outros, com… https://t.co/C87GvTmY3g","""camilo santana""",,,40777044,CCMazza,,,1,28,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:52:24 GMT-0300 (Brasilia Standard Time)
Camilo Santana ditadorzinho de merda https://t.co/AC6o9bKerD,"""camilo santana""",,,1296570082009677800,paulojardeldea1,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:49:54 GMT-0300 (Brasilia Standard Time)
"RT @saraivraaau: aguardo ansiosamente pelo meu agendamento, se o camilo santana liberar. enquanto isso, sigo comemorando vossas vacinações…","""camilo santana""",,,1240824267559899100,camilodopovo,,,1,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:38:02 GMT-0300 (Brasilia Standard Time)
PT articula os governadores Rui Costa e Camilo Santana para o Senado - Núcleo Luciano Lepera | Rede PT -… https://t.co/CQQLKDeKld,"""camilo santana""",,,33615996,ptribeirao,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:29:48 GMT-0300 (Brasilia Standard Time)
"@pdtceara @PDT_Nacional Para mordenizar o partido e preciso abrir o partido, alguns palarmtares se acho dono do par… https://t.co/A3KVk8npg8","""camilo santana""",,,1348593755474026500,MRastelo,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:09:20 GMT-0300 (Brasilia Standard Time)
"RT @PrRobsonAlencar: Acorda Brasil, pois o PSDB tbm tem acordos gigantescos com Pcch, eles querem poder, dinheiro, não estão nem ai com o B…","""camilo santana""",,,1400886803847069700,Mf_souzaxx,,,1,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 13:55:58 GMT-0300 (Brasilia Standard Time)
Veja o motivo da Raiva do Camilo Santana. Juazeiro do Norte foi em peso ... https://t.co/FA4FZBsU7s via @YouTube,"""camilo santana""",,,713438113209696300,OdilonOliv,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 13:38:53 GMT-0300 (Brasilia Standard Time)
pelo amor de deus camilo santana faça alguma coisa eu quero vacinaaa,"""camilo santana""",,,852674910401040400,villanellesr,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 13:37:06 GMT-0300 (Brasilia Standard Time)
"RT @revistaforum: Lula inicia viagem ao Nordeste no domingo. Ele passará por Pernambuco, Piauí, Maranhão, Ceará, Rio Grande do Norte e Bahi…","""camilo santana""",,,149633423,PetralhaPistola,,,28,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 13:21:43 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: PT articula os governadores Rui Costa e Camilo Santana para o Senado https://t.co/etCZCb8Z4e 
#LulaNoNordeste https://t.c…","""camilo santana""",,,160525513,justinianoneto,,,5,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 12:53:26 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: PT articula os governadores Rui Costa e Camilo Santana para o Senado https://t.co/etCZCb8Z4e 
#LulaNoNordeste https://t.c…","""camilo santana""",,,1107334088,dougsoua,,,5,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 12:33:35 GMT-0300 (Brasilia Standard Time)
"O Ceará é o maior estado de referência contra o Bolsonarismo, aqui esse nojento e corja dele nunca se criou e nunca… https://t.co/eBWELcGme4","""camilo santana""",,,1378363028530421800,andthsix,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 12:21:13 GMT-0300 (Brasilia Standard Time)
Camilo Santana rebate ataques de Bolsonaro: “Criminoso é ignorar a perda de mais de meio milhão de vidas”. Leia mai… https://t.co/N5lZC6lMl9,"""camilo santana""",,,830935673343467500,_PortalComunica,,,0,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 12:15:11 GMT-0300 (Brasilia Standard Time)
"RT @opovoonline: Camilo Santana: ""Fascistas não nos intimidam e não passarão jamais""
https://t.co/vTSbkg9pXv","""camilo santana""",,,266605635,Sandra_Maiha,,,49,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 12:14:15 GMT-0300 (Brasilia Standard Time)
"RT @paulazanelli: Chora Camilo Santana, Ceará hoje 13/08/2021 em apoio ao Bolsonaro.
👏🇧🇷 https://t.co/cahiPqGWOV","""camilo santana""",,,1172924518110830600,LuizSan65439522,,,436,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 12:00:56 GMT-0300 (Brasilia Standard Time)
"RT @opovoonline: Camilo Santana: ""Fascistas não nos intimidam e não passarão jamais""
https://t.co/vTSbkg9pXv","""camilo santana""",,,90021674,denistitangames,,,49,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 11:58:32 GMT-0300 (Brasilia Standard Time)
"RT @opovoonline: Camilo Santana: ""Fascistas não nos intimidam e não passarão jamais""
https://t.co/vTSbkg9pXv","""camilo santana""",,,822900400076492800,revolts2021,,,49,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 11:17:19 GMT-0300 (Brasilia Standard Time)
"RT @carmelonetobr: O Ceará já aplicou 6 milhões de doses de vacina contra COVID-19. Apesar do governador tentar esconder, o povo cearense s…","""camilo santana""",,,1264545240414687200,Corona_SSYT,,,164,0,Sun Aug 15 2021 20:02:04 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 11:04:13 GMT-0300 (Brasilia Standard Time)
