text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Camilo santana vc trate de comprar minha dose pra semana que vem, pois eu já to cheio de planos pra minha viagem pra terra da luz","""camilo santana""",,,928288276171108400,ruaianx,,,0,1,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:13:25 GMT-0300 (Brasilia Standard Time)
o nome dele eh CAMILO SANTANA que vem trazendo um hit completamente sem apoio de sua gravadora e colocando no top d… https://t.co/LOghKnYcPO,"""camilo santana""",,,141745449,bxbito,,,0,1,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:08:58 GMT-0300 (Brasilia Standard Time)
minhas provas vão voltar a ser presenciais e eu ainda me mudei pro turno da noite CADÊ O OUTRO LOCKDOWN CAMILO SANT… https://t.co/iJReZ98F07,"""camilo santana""",,,767075671290089500,lilacerulIo,,,0,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 19:52:53 GMT-0300 (Brasilia Standard Time)
Camilo Santana do PT acaba de anunciar internet gratuita pra todos os municípios do Ceará.,"""camilo santana""",Brazil,"Caucaia, Brasil",76756004,RIVACELL,,,0,1,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 19:15:00 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,239004021,vinyciusvaskes,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:57:26 GMT-0300 (Brasilia Standard Time)
"Em live semanal nas redes sociais, o governador Camilo Santana anunciou, nesta terça-feira (10/08), que encaminhará… https://t.co/qJ3WCVd2Rr","""camilo santana""",,,620373668,CearaNoticias1,,,0,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:56:54 GMT-0300 (Brasilia Standard Time)
@guimaraes13PT Camilo Santana do PT está deixando o povo cearense morrer! GENOCIDA!!!! https://t.co/u6OCV6M2yd,"""camilo santana""",,,1103780564274942000,Paulo07603611,,,0,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:56:18 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,253041560,alisson2905,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:56:13 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,959749727750361100,EJ_Providence,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:52:51 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,1303365718768062500,AmaraldeSouza3,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:52:46 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,3306258141,FreitasBarone,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:51:28 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,256037021,artbsb,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:50:02 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,1404777449972502500,Henriqu05279532,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:48:53 GMT-0300 (Brasilia Standard Time)
camilo santana maior e melhor https://t.co/Uh23MjQALY,"""camilo santana""",,,382065952,cosgroveperry,,,0,1,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:46:33 GMT-0300 (Brasilia Standard Time)
"@CamiloSantanaCE Governador Camilo Santana, ótima iniciativa sempre ajudando os que mais precisam.","""camilo santana""",,,2689074961,MarinsDaia,,,0,1,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:30:29 GMT-0300 (Brasilia Standard Time)
"RT @andrefernm: Hoje? Um ano e meio depois que a pandemia começou?
Camilo Santana não passa de um oportunista que até hoje nada fez pela sa…","""camilo santana""",,,885599781137076200,caloboldo01,,,49,0,Tue Aug 10 2021 20:18:32 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 18:26:39 GMT-0300 (Brasilia Standard Time)
