text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @UOLNoticias: Ciro Gomes diz que privatização dos Correios é 'crime contra o patrimônio' https://t.co/TUYKi1ONek,"""ciro gomes""",,,4925879247,MarcioManso99,,,43,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:38 GMT-0300 (Brasilia Standard Time)
"RT @_makavelijones: Camaradas, 

domingo, às 18h, tem vídeo novo no canal. Infelizmente - ou felizmente - é o vídeo mais longo do canal. Ma…","""ciro gomes""",,,1360729308180930600,arturdsml,,,49,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:20 GMT-0300 (Brasilia Standard Time)
RT @BLOGdoPEPE: Tábata Amaral é a essência do tucanismo .. só usou o PDT como Ciro Gomes esta usando,"""ciro gomes""",,,721645630754549800,Leopere40664190,,,6,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:18 GMT-0300 (Brasilia Standard Time)
@cirogomes Ciro Gomes e a sua engenhosa capacidade de emocionar! #CIRO2022,"""ciro gomes""",,,365885530,filtourinho,,,0,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:02 GMT-0300 (Brasilia Standard Time)
RT @BLOGdoPEPE: Tábata Amaral é a essência do tucanismo .. só usou o PDT como Ciro Gomes esta usando,"""ciro gomes""",,,1137860484932218900,FernandoBarb0sa,,,6,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:39 GMT-0300 (Brasilia Standard Time)
RT @UOL: Ciro Gomes diz que privatização dos Correios é 'crime contra o patrimônio' https://t.co/TOUIsxhznA,"""ciro gomes""",,,2760882154,HenriqueFiles,,,36,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:06 GMT-0300 (Brasilia Standard Time)
"RT @RenkM32: Quem crítica Tabata Amaral e apoia Ciro Gomes está trocando 6 por meia dúzia. 
Bom dia! https://t.co/kuxoqsnjdt","""ciro gomes""",,,90305719,mtlvrg,,,1,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:58 GMT-0300 (Brasilia Standard Time)
RT @UOL: Ciro Gomes diz que privatização dos Correios é 'crime contra o patrimônio' https://t.co/TOUIsxhznA,"""ciro gomes""",,,2888090417,StrangeThiago,,,36,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:57 GMT-0300 (Brasilia Standard Time)
@cirogomes Vocês não conseguem nem convencer os deputados da bancada do próprio partido a apoiar as suas ideias e q… https://t.co/aXvfFayLi6,"""ciro gomes""",,,1141395075173404700,mcbayano2,,,0,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:54 GMT-0300 (Brasilia Standard Time)
RT @ciromilgrau: Ciro Gomes em 2020 falando sobre a privatização dos Correios. Um retrocesso muito grande para o Brasil. https://t.co/1cSOs…,"""ciro gomes""",,,1050805506217046000,ADentuuu,,,49,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:38 GMT-0300 (Brasilia Standard Time)
RT @UOLNoticias: Ciro Gomes diz que privatização dos Correios é 'crime contra o patrimônio' https://t.co/TUYKi1ONek,"""ciro gomes""",,,848665514285072400,v07_marques,,,43,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:10:11 GMT-0300 (Brasilia Standard Time)
"RT @rodaviva: ""Todo homem público tem que ter humildade para ser acusado e ter uma reação natural de dizer: aqui está meu peito aberto""

Ci…","""ciro gomes""",,,4925879247,MarcioManso99,,,161,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:09:31 GMT-0300 (Brasilia Standard Time)
RT @UOL: Ciro Gomes diz que privatização dos Correios é 'crime contra o patrimônio' https://t.co/TOUIsxhznA,"""ciro gomes""",,,1734728208,This_is1Dfan,,,36,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:09:16 GMT-0300 (Brasilia Standard Time)
"RT @_makavelijones: Camaradas, 

domingo, às 18h, tem vídeo novo no canal. Infelizmente - ou felizmente - é o vídeo mais longo do canal. Ma…","""ciro gomes""",,,61862120,vitorpipolo,,,49,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:09:08 GMT-0300 (Brasilia Standard Time)
RT @rafaaagonz: querem apostar quanto que as mesmas pessoas que tão choramingando pq descobriram a essa altura do campeonato que a tabata a…,"""ciro gomes""",,,572152035,smisnogard,,,1,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:09:07 GMT-0300 (Brasilia Standard Time)
"Quem crítica Tabata Amaral e apoia Ciro Gomes está trocando 6 por meia dúzia. 
Bom dia! https://t.co/kuxoqsnjdt","""ciro gomes""",,,1134172021531824100,RenkM32,,,1,6,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:09:04 GMT-0300 (Brasilia Standard Time)
RT @UOL: Ciro Gomes diz que privatização dos Correios é 'crime contra o patrimônio' https://t.co/TOUIsxhznA,"""ciro gomes""",,,4011733582,SzalayJulio,,,36,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:59 GMT-0300 (Brasilia Standard Time)
RT @BLOGdoPEPE: Tábata Amaral é a essência do tucanismo .. só usou o PDT como Ciro Gomes esta usando,"""ciro gomes""",,,1631494729,SantosDomansa,,,6,0,Fri Aug 06 2021 09:12:46 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:51 GMT-0300 (Brasilia Standard Time)
