text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @carmelonetobr: Um recado para Ciro Gomes. https://t.co/AwL1VG3MjX,"""ciro gomes""",,,1369254880645439500,EnasRocha1,,,232,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time)
"RT @tatunotoco: Ciro Gomes pergunta:

Pra que Forças Armadas?

#CiroNaBand #CanalLivre

https://t.co/bzTvqsopwa","""ciro gomes""",,,1325213029059924000,TomRetes,,,8,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time)
"@opovoonline Juntando as redes, o pronunciamento do Ciro Gomes sobre a crise democrática provocado por Bolsonaro já… https://t.co/yJW0tsF38b","""ciro gomes""",,,1410409030200266800,Alberto37565292,,,0,1,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:05 GMT-0300 (Brasilia Standard Time)
RT @BandJornalismo: Pré-candidato à presidência tece críticas ao governo e diz que presidente não chegará ao segundo turno; assista #BandJo…,"""ciro gomes""",,,32949508,jetosta,,,1,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:05 GMT-0300 (Brasilia Standard Time)
RT @carmelonetobr: A prefeitura de Fortaleza continua perseguindo os feirantes da José Avelino. Esse tratamento é absurdo e injustificável.…,"""ciro gomes""",,,1222879527019458600,JuniorS56051384,,,812,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:45 GMT-0300 (Brasilia Standard Time)
RT @carmelonetobr: A prefeitura de Fortaleza continua perseguindo os feirantes da José Avelino. Esse tratamento é absurdo e injustificável.…,"""ciro gomes""",,,1052672626672332800,SimoneTiaZap,,,812,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:43 GMT-0300 (Brasilia Standard Time)
"@Estadao Juntando as redes, o pronunciamento do Ciro Gomes sobre a crise democrática provocado por Bolsonaro já alc… https://t.co/t9bANaM5iE","""ciro gomes""",,,1410409030200266800,Alberto37565292,,,0,1,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:40 GMT-0300 (Brasilia Standard Time)
RT @carmelonetobr: Um recado para Ciro Gomes. https://t.co/AwL1VG3MjX,"""ciro gomes""",,,3662771592,carmelonetobr,,,232,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:40 GMT-0300 (Brasilia Standard Time)
RT @carmelonetobr: Um recado para Ciro Gomes. https://t.co/AwL1VG3MjX,"""ciro gomes""",,,1160518990973808600,direita2022,,,232,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:14 GMT-0300 (Brasilia Standard Time)
"RT @JacquesVillen18: Sintonize na @BandNews, para assistir a uma entrevista do pré-candidato à Presidência, Ciro Gomes.  #CiroNaBand","""ciro gomes""",,,1088602443812925400,RafaelG64084392,,,1,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:05 GMT-0300 (Brasilia Standard Time)
RT @carmelonetobr: A prefeitura de Fortaleza continua perseguindo os feirantes da José Avelino. Esse tratamento é absurdo e injustificável.…,"""ciro gomes""",,,27143025,Watson_souza,,,812,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:59 GMT-0300 (Brasilia Standard Time)
"#CiroNaBand começou 

AO VIVO: Canal Livre entrevista Ciro Gomes https://t.co/WlM6pvSSTW via 
@YouTube #CiroNaBand","""ciro gomes""",,,1332408449855074300,celiojunior87,,,0,1,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:57 GMT-0300 (Brasilia Standard Time)
"RT @vinnytavarees: Hoje eu acordei extremamente antipetista. Ciro Gomes, desça o sarrafo no Lulopetismo hoje! grato. #CiroNaBand","""ciro gomes""",,,1260300684374745000,Odespolarizante,,,9,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:55 GMT-0300 (Brasilia Standard Time)
"A primeira pergunta foi bombástica! #CiroNaBand 

AO VIVO: Canal Livre entrevista Ciro Gomes https://t.co/NOZo8vN0Nc via @YouTube @CiroGomes","""ciro gomes""",,,1303401407714820000,cicerovsampaio,,,0,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:47 GMT-0300 (Brasilia Standard Time)
AO VIVO: Canal Livre entrevista Ciro Gomes https://t.co/DZo3gnPxUa via @YouTube,"""ciro gomes""",,,43383249,Islanlex,,,0,1,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:46 GMT-0300 (Brasilia Standard Time)
"Sintonize na @BandNews, para assistir a uma entrevista do pré-candidato à Presidência, Ciro Gomes.  #CiroNaBand","""ciro gomes""",,,1416519184935276500,JacquesVillen18,,,1,0,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:44 GMT-0300 (Brasilia Standard Time)
Pré-candidato à presidência tece críticas ao governo e diz que presidente não chegará ao segundo turno; assista… https://t.co/q58k7F5VWC,"""ciro gomes""",,,31201557,BandJornalismo,,,1,2,Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:37 GMT-0300 (Brasilia Standard Time)
