text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @robertaadejesus: O PDT RJ esta motivado e engajado a eleger nosso pré-candidato a Governador @_RodrigoNeves_ , o pré-candidato a Deputa…","""ciro gomes""",,,1172451970189279200,ESeCiroFossePr1,,,39,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:16:25 GMT-0300 (Brasilia Standard Time)
"RT @VerdinoFelipe: Nada vai me fazer para demilitar pelo PND e por Ciro Gomes presidente em 2022.

NADA!

Vamos, @cirogomes !","""ciro gomes""",,,1154454927592366000,Tatiane99790318,,,2,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:16:04 GMT-0300 (Brasilia Standard Time)
@DaniloAOficial Ciro Gomes.,"""ciro gomes""",,,1319347080234664000,MilaHaddad,,,0,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:15:06 GMT-0300 (Brasilia Standard Time)
"RT @robertaadejesus: O PDT RJ esta motivado e engajado a eleger nosso pré-candidato a Governador @_RodrigoNeves_ , o pré-candidato a Deputa…","""ciro gomes""",,,926114567977041900,nemeuseiviu,,,39,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:14:00 GMT-0300 (Brasilia Standard Time)
@wanmarcal @BrunoDiegoadv Uma auditoria sem ser pelo representante legal só mostra outros indicativos que legalment… https://t.co/ErsCdT2DAW,"""ciro gomes""",Brazil,"Guaratuba, Brasil",1065777396861804500,SenhaPeterson,,,0,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:13:53 GMT-0300 (Brasilia Standard Time)
@helocruz Ciro gomes nao gostou da ideia.,"""ciro gomes""",,,1284790735,Ramon4lan,,,0,1,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:13:51 GMT-0300 (Brasilia Standard Time)
"RT @robertaadejesus: O PDT RJ esta motivado e engajado a eleger nosso pré-candidato a Governador @_RodrigoNeves_ , o pré-candidato a Deputa…","""ciro gomes""",,,438397597,GabrielPrazere8,,,39,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:13:33 GMT-0300 (Brasilia Standard Time)
"RT @robertaadejesus: O PDT RJ esta motivado e engajado a eleger nosso pré-candidato a Governador @_RodrigoNeves_ , o pré-candidato a Deputa…","""ciro gomes""",,,1130964075045883900,AgenorAlves_,,,39,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:13:05 GMT-0300 (Brasilia Standard Time)
RT @jessicxsf: 2021 e vocês ainda consideram opinião de fãs do Ciro Gomes,"""ciro gomes""",,,821471108419436500,kindosecret,,,1,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:11:10 GMT-0300 (Brasilia Standard Time)
"RT @VerdinoFelipe: Nada vai me fazer para demilitar pelo PND e por Ciro Gomes presidente em 2022.

NADA!

Vamos, @cirogomes !","""ciro gomes""",,,1310679263989895200,12111Alex,,,2,0,Thu Aug 19 2021 20:16:57 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 20:10:18 GMT-0300 (Brasilia Standard Time)
