text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @fabioederson: Depois de emagrecer para interpretar o Coringa, Joaquim Phoenix se prepara para interpretar Ciro Gomes. https://t.co/Bz8K…","""ciro gomes""",,,450949754,cadeherc,,,1012,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:13:56 GMT-0300 (Brasilia Standard Time)
"RT @fabioederson: Depois de emagrecer para interpretar o Coringa, Joaquim Phoenix se prepara para interpretar Ciro Gomes. https://t.co/Bz8K…","""ciro gomes""",,,35225292,criskvra,,,1012,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:12:36 GMT-0300 (Brasilia Standard Time)
"💣💣💣CIRO GOMES REJEITADO POR DATENA: NÃO ACEITO SER SEU VICE.
Desmoralizado com recusa, Ciro disse que só escolherá… https://t.co/EmByOot5Q2","""ciro gomes""",,,2376894935,donizetearruda7,,,1,1,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:12:24 GMT-0300 (Brasilia Standard Time)
RT @Matheus93553544: @Ticostacruz Tbm voto no Ciro Gomes.,"""ciro gomes""",,,2563624459,apaguiga,,,2,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:11:54 GMT-0300 (Brasilia Standard Time)
"RT @fabioederson: Depois de emagrecer para interpretar o Coringa, Joaquim Phoenix se prepara para interpretar Ciro Gomes. https://t.co/Bz8K…","""ciro gomes""",,,781624933,sktdraco,,,1012,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:11:42 GMT-0300 (Brasilia Standard Time)
"RT @fabioederson: Depois de emagrecer para interpretar o Coringa, Joaquim Phoenix se prepara para interpretar Ciro Gomes. https://t.co/Bz8K…","""ciro gomes""",,,117222902,amobrejas,,,1012,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:11:29 GMT-0300 (Brasilia Standard Time)
"RT @fabioederson: Depois de emagrecer para interpretar o Coringa, Joaquim Phoenix se prepara para interpretar Ciro Gomes. https://t.co/Bz8K…","""ciro gomes""",,,1413499368628527000,Wanders67503265,,,1012,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:11:20 GMT-0300 (Brasilia Standard Time)
"@PeZoeiro @CarolinaRaposA @_l3itad4s_l03n nossa hein
o brasil da gadolandia ta voando,ta parecendo o brasil do pt o… https://t.co/uf2tTs6oRn","""ciro gomes""",,,1222075415537299500,MagnoSampaio2,,,0,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:10:50 GMT-0300 (Brasilia Standard Time)
"RT @samuelborellipr: Meus parabéns, Ciro Gomes, aquela justificativa p manobra do seu partido q seria p “enterrar de vez” a grilagem acabou…","""ciro gomes""",,,2664533046,sheilaandrad,,,451,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:10:48 GMT-0300 (Brasilia Standard Time)
"RT @fabioederson: Depois de emagrecer para interpretar o Coringa, Joaquim Phoenix se prepara para interpretar Ciro Gomes. https://t.co/Bz8K…","""ciro gomes""",,,68080559,victerres,,,1012,0,Wed Aug 04 2021 22:14:05 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:10:20 GMT-0300 (Brasilia Standard Time)
