text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @LaurinhaIronic: Tadinho! O Eduardo Leite acha que está sendo colocado como pior por causa da sua orientação sexual. Meu fi. Aqui do nos…,"""eduardo leite""",,,86794450,JLJuninho,,,1025,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:08 GMT-0300 (Brasilia Standard Time)
"RT @TrumpMargareth: Pouco me importa Eduardo Leite dar o que é dele, o que não aceito é  ele tomar o que é no$$o.","""eduardo leite""",,,1165534640553242600,TBRATL1,,,422,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:04 GMT-0300 (Brasilia Standard Time)
"RT @TrumpMargareth: Pouco me importa Eduardo Leite dar o que é dele, o que não aceito é  ele tomar o que é no$$o.","""eduardo leite""",,,433201825,kalpassos,,,422,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:50 GMT-0300 (Brasilia Standard Time)
RT @LaurinhaIronic: Tadinho! O Eduardo Leite acha que está sendo colocado como pior por causa da sua orientação sexual. Meu fi. Aqui do nos…,"""eduardo leite""",,,187535642,FFrancoMNeto,,,1024,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:43 GMT-0300 (Brasilia Standard Time)
"RT @juliovschneider: Esse vitimismo patético do Eduardo Leite (PSDB), por ser um péssimo governador quer culpar sua rosca. Ninguém tem peni…","""eduardo leite""",,,1294434480212639700,MarcoMEIRELLE12,,,166,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:19 GMT-0300 (Brasilia Standard Time)
RT @LaurinhaIronic: Tadinho! O Eduardo Leite acha que está sendo colocado como pior por causa da sua orientação sexual. Meu fi. Aqui do nos…,"""eduardo leite""",,,1292966290299158500,Alessan79751750,,,1025,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:02 GMT-0300 (Brasilia Standard Time)
"@JovemPanNews @kalpassos Acredite, Eduardo Leite, você não é o pior porque é homossexual - é  porque você é péssimo… https://t.co/yd47F9qnyk","""eduardo leite""",,,1260583933097447400,AnjosEstherdos,,,0,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:25:36 GMT-0300 (Brasilia Standard Time)
"RT @TrumpMargareth: Pouco me importa Eduardo Leite dar o que é dele, o que não aceito é  ele tomar o que é no$$o.","""eduardo leite""",,,162012710,ptriste,,,422,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:25:02 GMT-0300 (Brasilia Standard Time)
"RT @juliovschneider: Esse vitimismo patético do Eduardo Leite (PSDB), por ser um péssimo governador quer culpar sua rosca. Ninguém tem peni…","""eduardo leite""",,,227072118,sandrocpv,,,166,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:24:58 GMT-0300 (Brasilia Standard Time)
RT @EsportesMaisRS: Atenção informação. Grêmio atento ao que dirá nesta sexta-feira o governador Eduardo Leite sobre a liberação de público…,"""eduardo leite""",,,1160838342,bagetiago,,,1,0,Fri Aug 13 2021 09:27:10 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:24:15 GMT-0300 (Brasilia Standard Time)
