text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,794573578826121200,lefogao1989,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,3138947296,gabriellvolpi,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:54 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,1253762212692361200,TnPalita,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:40 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1077947535078182900,JFlorenciok,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:39 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1113590746806927400,MariaElaineRam1,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:36 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,130128632,ESALESFERREIRA,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:31 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1355957837076246500,Brasili83863689,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:18 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,23467208,fabioiyda,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:17 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,100496708,Fabi_Farias,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:43 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,1154605557749301200,JaneRossi15,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:35 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1098023824736563200,ElianeReal3,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:19 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1140507369446760400,Ricardo07971487,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:59:57 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1048969739991695400,TMira11,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:59:49 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,918585950040707100,ljsimas,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:59:41 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1184874510367056000,SrgioRabelo4,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:59:28 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,42395032,RicardoRoquetti,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:59:15 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,881487469,NetoBrasil__,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:59:14 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,86232338,leandro38sa,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:59:06 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,1273576176745943000,DarlanWillian16,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:58:40 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1071901089442791400,lu_salvucci,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:58:30 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1403506973312704500,ChiramOf,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:58:28 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,2684383635,CatarinaHofer,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:58:18 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,104361607,InterAlexandre,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:57:39 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,22806184,gmmuff,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:57:15 GMT-0300 (Brasilia Standard Time)
Eduardo Leite critica polarização política do Brasil: “Precisamos de menos ataque às pessoas”” https://t.co/RGOMMTxzVd,"""eduardo leite""",,,123882884,ThiagoMoraesPB,,,0,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:56:49 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,3355079289,direitaejustica,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:56:32 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,85696235,ciancaglini_15,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:56:26 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1148378168337805300,tomfirmofotogr1,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:56:16 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1197334230235336700,SorayaTorresda1,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:56:14 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1415270627892768800,ASyntaktis,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:56:04 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,220416677,leandrodlopes,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:55:43 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1062452600287703000,BrancaVilhena,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:55:03 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1365799119361609700,BoniOliveira2,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:39 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1113831333309055000,LumaMmattos,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:36 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,595032508,Tamih19,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:28 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1286735116929323000,AnaBeat34202412,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:24 GMT-0300 (Brasilia Standard Time)
"RT @AnjoNpi: Só para esclarecer:
O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apo…","""eduardo leite""",,,44121543,alecosta_mag,,,5,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:16 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1351272268324864000,LampiaoEnvenena,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:04 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1000818241827196900,MarcosX86127534,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:56 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,999122055198109700,andreaeumais,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:51 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1114221681097216000,EliasTeodoro8,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:51 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,944714135270576100,jacksonnfilho,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:47 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,965709229611941900,WagnerBergamo31,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:32 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1000168525145821200,Juracimoreira2,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:22 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,197797047,daiseduartedd,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:22 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,192720956,ARCHIVIUM,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:20 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,1114901368261705700,Miguel18960449,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:14 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,978757808219938800,199xarty,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:13 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,111984147,piruca26,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:52:23 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""eduardo leite""",,,918964348210614300,_q_t_importa_,,,45,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:52:12 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""eduardo leite""",,,48837558,bomdeboca,,,1251,0,Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:51:51 GMT-0300 (Brasilia Standard Time)
