text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @sergiorvitoria: Frota rebate Eduardo Leite: ""Não te convidei para sair. Sou marido de uma mulher só""
Eles abandonaram a moral e envergo…","""eduardo leite""",,,1370721281776230400,Rodrigo76830626,,,1,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:51:11 GMT-0300 (Brasilia Standard Time)
RT @casaroli_joao: Que baixo nível as postagens do Alexandre Frota e o Eduardo Leite. Impressionante termos pessoas assim em cargos de coma…,"""eduardo leite""",,,1378469046535004200,AriquermeS,,,2,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:50:24 GMT-0300 (Brasilia Standard Time)
@FlavioPradela @PSDBoficial Acho mais forte vir o Eduardo Leite!,"""eduardo leite""",,,16875360,Bebebotao,,,0,1,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:49:47 GMT-0300 (Brasilia Standard Time)
"RT @ngelikassia: Tá, mas vocês viram a picuinha do Eduardo Leite e o Frota?😂😂😂 https://t.co/vyl3xockk8","""eduardo leite""",,,1312846376536080400,xapusquinha,,,184,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:49:28 GMT-0300 (Brasilia Standard Time)
"Frota rebate Eduardo Leite: ""Não te convidei para sair. Sou marido de uma mulher só""
Eles abandonaram a moral e envergonham o Brasil""!🤦‍♂️","""eduardo leite""",,,3991142595,sergiorvitoria,,,1,4,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:49:25 GMT-0300 (Brasilia Standard Time)
"RT @ngelikassia: Tá, mas vocês viram a picuinha do Eduardo Leite e o Frota?😂😂😂 https://t.co/vyl3xockk8","""eduardo leite""",,,1032042293300285400,LeitorMarcos,,,184,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:47:58 GMT-0300 (Brasilia Standard Time)
@opropriofaka @EduardoLeite_ Parece de propósito. O Frota dá mais uma declaração escrota e o Eduardo Leite ganha likes e posa de vítima...,"""eduardo leite""",,,53507079,jelias2000,,,0,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:47:32 GMT-0300 (Brasilia Standard Time)
"RT @ngelikassia: Tá, mas vocês viram a picuinha do Eduardo Leite e o Frota?😂😂😂 https://t.co/vyl3xockk8","""eduardo leite""",,,291947928,evairbiosp,,,184,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:46:30 GMT-0300 (Brasilia Standard Time)
RT @casaroli_joao: Que baixo nível as postagens do Alexandre Frota e o Eduardo Leite. Impressionante termos pessoas assim em cargos de coma…,"""eduardo leite""",,,1187147863735853000,Anderso02596365,,,2,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:45:16 GMT-0300 (Brasilia Standard Time)
"RT @Kadonasc: Ouvi dizer que Frota, Nhonhô Maia e um tal de Eduardo Leite também estão oferecendo recompensa! https://t.co/8rWioOSutK","""eduardo leite""",,,198289717,Lima_Mike,,,1,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:43:41 GMT-0300 (Brasilia Standard Time)
Que baixo nível as postagens do Alexandre Frota e o Eduardo Leite. Impressionante termos pessoas assim em cargos de… https://t.co/ydw2EgsmRj,"""eduardo leite""",,,1249508005562876000,casaroli_joao,,,2,6,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:39:56 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Infelizmente para 2021 no RS, não temos nenhum registro 🤔, contudo, deverá ser ainda pior. Agradeçam ao diretamente envolv…","""eduardo leite""",,,1387084124121440300,SampaioSilva15,,,4,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:39:43 GMT-0300 (Brasilia Standard Time)
"RT @solanfilhos: Aí gov. Eduardo Leite, uma parte do povo gaúcho, tu não enrolas mais! #BolsonaroAte2026 https://t.co/f8pQfEEjCi","""eduardo leite""",,,1114232037744042000,AguiarGerlandia,,,81,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:38:09 GMT-0300 (Brasilia Standard Time)
"RT @ngelikassia: Tá, mas vocês viram a picuinha do Eduardo Leite e o Frota?😂😂😂 https://t.co/vyl3xockk8","""eduardo leite""",,,1164272255175745500,Jorge01527699,,,184,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:37:43 GMT-0300 (Brasilia Standard Time)
"Ouvi dizer que Frota, Nhonhô Maia e um tal de Eduardo Leite também estão oferecendo recompensa! https://t.co/8rWioOSutK","""eduardo leite""",,,223326065,Kadonasc,,,1,1,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:37:32 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Infelizmente para 2021 no RS, não temos nenhum registro 🤔, contudo, deverá ser ainda pior. Agradeçam ao diretamente envolv…","""eduardo leite""",,,123645789,deninna,,,4,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:37:01 GMT-0300 (Brasilia Standard Time)
@LuizCor24841840 @Reinaldoprof Esse Eduardo Leite é muito ridículo e ainda pensa em ser Presidente.,"""eduardo leite""",,,1248301382781853700,SONIABEATRIZP10,,,0,1,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:36:22 GMT-0300 (Brasilia Standard Time)
"@felipedevargas @TExtrato @Tico_Cordeiro @EduardoLeite_ @77_frota É verdade esse billete! Notícia de HOJE: ""Prefeit… https://t.co/NQgR1r7wkO","""eduardo leite""",,,36990667,arqrebonatto,,,0,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:35:49 GMT-0300 (Brasilia Standard Time)
"RT @ngelikassia: Tá, mas vocês viram a picuinha do Eduardo Leite e o Frota?😂😂😂 https://t.co/vyl3xockk8","""eduardo leite""",,,1255167853315096600,suzanamcb,,,184,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:35:08 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Infelizmente para 2021 no RS, não temos nenhum registro 🤔, contudo, deverá ser ainda pior. Agradeçam ao diretamente envolv…","""eduardo leite""",,,149993699,pri2013,,,4,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:33:57 GMT-0300 (Brasilia Standard Time)
"Infelizmente para 2021 no RS, não temos nenhum registro 🤔, contudo, deverá ser ainda pior. Agradeçam ao diretamente… https://t.co/0kVLjt17gn","""eduardo leite""",,,1274384153186836500,Fabiano_7Cl,,,4,3,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:33:25 GMT-0300 (Brasilia Standard Time)
"RT @ngelikassia: Tá, mas vocês viram a picuinha do Eduardo Leite e o Frota?😂😂😂 https://t.co/vyl3xockk8","""eduardo leite""",,,379717974,Rosebrz,,,184,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:31:35 GMT-0300 (Brasilia Standard Time)
"RT @madruga010: O Doria, Frota, Maia, Eduardo Leite e PSDB, isso parece uma caixa de brinquedos vinda da Índia, nesse caso eu torço pra bri…","""eduardo leite""",,,1350203257487024000,David1Mdn,,,105,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:31:01 GMT-0300 (Brasilia Standard Time)
"RT @ngelikassia: Tá, mas vocês viram a picuinha do Eduardo Leite e o Frota?😂😂😂 https://t.co/vyl3xockk8","""eduardo leite""",,,919976867926609900,marcio1941,,,184,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:29:52 GMT-0300 (Brasilia Standard Time)
"RT @MEDDXXX: Frota e Eduardo leite, ambos tucanos se bicando…

Eu : https://t.co/7bX8u4Bakb","""eduardo leite""",,,70752527,laisa_rr,,,28,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:29:10 GMT-0300 (Brasilia Standard Time)
"RT @DukkaOficial: @EduardoLeite_ @brigadamilitar_ Os professores conhecem bem a atuação da @brigadamilitar_ Eduar17do Lei17te.

Para quem n…","""eduardo leite""",,,1381977804015816700,DukkaOficial,,,1,0,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:29:02 GMT-0300 (Brasilia Standard Time)
"@EduardoLeite_ @brigadamilitar_ Os professores conhecem bem a atuação da @brigadamilitar_ Eduar17do Lei17te.

Para… https://t.co/Si8dvOXwjz","""eduardo leite""",,,1381977804015816700,DukkaOficial,,,1,3,Thu Aug 19 2021 19:51:34 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:28:57 GMT-0300 (Brasilia Standard Time)
