text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @MarceloLira_ITZ: Kit Gay, Mamadeira de 🐤, Tratamento Precoce, Briga com China, Birra de adolescente vagabundo com Dória e Flávio Dino,…","""flávio dino""",,,731065422141882400,LeandroViana79,,,4,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:08:32 GMT-0300 (Brasilia Standard Time)
"O ex-presidente deve se reunir com o governador Flávio Dino e líderes partidários no Palácio dos Leões.

https://t.co/RTPR7DJ7yQ","""flávio dino""",,,1371813644049191000,portalma98,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:03 GMT-0300 (Brasilia Standard Time)
"“Nada mudou”, diz Edivaldo Holanda Júnior sobre relação com o governador Flávio Dino https://t.co/0nDPIqp2Bm","""flávio dino""",,,1606503036,DomingosBlog,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:54:39 GMT-0300 (Brasilia Standard Time)
"RT @MarceloLira_ITZ: Kit Gay, Mamadeira de 🐤, Tratamento Precoce, Briga com China, Birra de adolescente vagabundo com Dória e Flávio Dino,…","""flávio dino""",,,24906849,EduLau,,,4,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:42:21 GMT-0300 (Brasilia Standard Time)
"Engraçado que quem defende o governo Flávio Dino com unhas e dentes, sem considerar pós e contras da gestão dele, s… https://t.co/iTQcYspCPT","""flávio dino""",,,1298033177097773000,eu_andersonf,,,0,2,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:35:41 GMT-0300 (Brasilia Standard Time)
"RT @MarceloLira_ITZ: Kit Gay, Mamadeira de 🐤, Tratamento Precoce, Briga com China, Birra de adolescente vagabundo com Dória e Flávio Dino,…","""flávio dino""",,,197138645,Leon_Mota,,,4,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:12:40 GMT-0300 (Brasilia Standard Time)
@TricolorTudo @Deborah_S_1992 @guilhermehcosta @nikolas_dm Bolsonaro apoia a medida desde pelo menos 2015. Também a… https://t.co/IoTUj4D4aP,"""flávio dino""",,,27759044,VitorGrando,,,0,2,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:08:53 GMT-0300 (Brasilia Standard Time)
"RT @MarceloLira_ITZ: Kit Gay, Mamadeira de 🐤, Tratamento Precoce, Briga com China, Birra de adolescente vagabundo com Dória e Flávio Dino,…","""flávio dino""",,,2435940793,geancarlobc,,,4,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:44:07 GMT-0300 (Brasilia Standard Time)
Até meu vó não gosta do flavio dino kkkkkkkkkk,"""flávio dino""",,,1236406006952931300,livefontinele,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:40:10 GMT-0300 (Brasilia Standard Time)
"RT @craveiro_luis: ‘se governadores tiverem de bancar o Auxílio, Bolsonaro provará sua total inutilidade’
Flávio Dino","""flávio dino""",,,1564136730,ronaldofla1981,,,1,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:39:37 GMT-0300 (Brasilia Standard Time)
"Imagine Lula presidente da República, Flávio Dino presidente do Senado e Haddad presidente da Câmara.","""flávio dino""",,,100779458,aiaiai63,,,0,1,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:37:48 GMT-0300 (Brasilia Standard Time)
"Kit Gay, Mamadeira de 🐤, Tratamento Precoce, Briga com China, Birra de adolescente vagabundo com Dória e Flávio Din… https://t.co/BPzafrqLbS","""flávio dino""",,,1139597460,MarceloLira_ITZ,,,4,8,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:34:44 GMT-0300 (Brasilia Standard Time)
"É simples, é do Maranhão, explica tudo! Eles só fazem o que Flávio dino manda.  Se foda quem vier me atacar por iss… https://t.co/SzWuR7skAj","""flávio dino""",,,39374313,Heron2009,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:14:19 GMT-0300 (Brasilia Standard Time)
@bessoninho Desumano!!! 🗣 Flavio Dino resolveria essa situ,"""flávio dino""",,,2263461385,ewellinferraz,,,0,1,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:08:24 GMT-0300 (Brasilia Standard Time)
RT @maiobaoaconte: Flávio Dino reajusta pela 9° vez o preço de referência dos combustíveis https://t.co/scJJzZSWKh,"""flávio dino""",,,1359324140436676600,saudepazbem,,,2,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 03:48:04 GMT-0300 (Brasilia Standard Time)
RT @igorfalconieri: @Pedraoreclama Vantagem de governo de esquerda: pode fazer o que um governo de direita faz sem escutar encheção de saco…,"""flávio dino""",,,1202064087603122200,caodorna,,,3,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 03:02:45 GMT-0300 (Brasilia Standard Time)
"---
Flávio Dino teria alertado Lula sobre possível atentado em 2022

https://t.co/qhSBBsx1va

 (NOTÍCIA 112260)… https://t.co/i26ugQLIxq","""flávio dino""",,,1299747029556617200,DrBoTS2_,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 02:29:18 GMT-0300 (Brasilia Standard Time)
RT @igorfalconieri: @Pedraoreclama Vantagem de governo de esquerda: pode fazer o que um governo de direita faz sem escutar encheção de saco…,"""flávio dino""",,,2614125030,Erich909090,,,3,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:31:56 GMT-0300 (Brasilia Standard Time)
@ze_ranon @linpjs Tirando o Flávio Dino e olhe lá,"""flávio dino""",,,37708355,barbarapvnb,,,0,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:29:20 GMT-0300 (Brasilia Standard Time)
"RT @Tuaregcoelho: Luiza Trajano, Huck, Moro, Rodrigo Maia, R. Pacheco, Boulos, Lula, Amoedo, Ciro Bíblico, Dória, Mandetta, Renato Casagran…","""flávio dino""",,,1395011208399499300,Tery52359721,,,9,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:17:59 GMT-0300 (Brasilia Standard Time)
RT @igorfalconieri: @Pedraoreclama Vantagem de governo de esquerda: pode fazer o que um governo de direita faz sem escutar encheção de saco…,"""flávio dino""",,,181338709,thiagom123456,,,3,0,Fri Aug 06 2021 09:12:29 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:12:45 GMT-0300 (Brasilia Standard Time)
