text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,423070544,simone_jm,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:40 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,847431457,pasttor7,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:22 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,702942366366359600,ChristianPeyrot,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:21 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1088228180442443800,ManuelP27571760,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:15:05 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,1392580177457262600,BiaHadSal,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:14:06 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,2798053845,Itamar21asSousa,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:13:51 GMT-0300 (Brasilia Standard Time)
"Flávio Dino começa a colher o que plantou, daqui a pouco vai ficar famoso igual o luladrão cachaceiro,o molusculo d… https://t.co/95zdqqLwYj","""flávio dino""",,,1599527005,fernando250164,,,0,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:13:40 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,1029832514083450900,ClaudioCMaciel,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:13:38 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1254468995518017500,ScucelMarcio,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:13:04 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,1232443323832504300,MaraLeanne1,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:12:44 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,51946952,LauraCrystina,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:12:34 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,43102438,adrivass,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:11:27 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1104483850019848200,Marcogu84893818,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:11:22 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,820670314157899800,LucieneSimes2,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:11:16 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,3996985594,overgols,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:11:08 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,1405541921196449800,SergioRezende63,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:11:06 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,955958713659117600,Renata46043425,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:11:04 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,705175660751425500,erjeliza,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:10:52 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,35436932,acarce74,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:10:38 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1357361295264264200,keziajulio,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:10:30 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,80309894,hhurbano,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:10:08 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""flávio dino""",,,64687236,nanibarbosalima,,,27,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:09:57 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,80309894,hhurbano,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:09:45 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1064545230735708200,RecrutaJ,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:09:45 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,849976567010930700,suani_pilau,,,2409,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:09:20 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,833480753413492700,AraujoArmanda,,,2914,0,Mon Aug 16 2021 10:16:23 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:09:04 GMT-0300 (Brasilia Standard Time)
