text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,721115862,fabioicm25,,,1124,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:07 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,794573578826121200,lefogao1989,,,1251,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,909467759117029400,PradoOseias,,,1124,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:01 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,3138947296,gabriellvolpi,,,1251,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:54 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""flávio dino""",,,1253762212692361200,TnPalita,,,45,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:40 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,1409157515984703500,Jeferso44356408,,,1124,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:40 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1077947535078182900,JFlorenciok,,,1251,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:39 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1113590746806927400,MariaElaineRam1,,,1251,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:36 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,23467208,fabioiyda,,,1124,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:34 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""flávio dino""",,,130128632,ESALESFERREIRA,,,45,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:31 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1355957837076246500,Brasili83863689,,,1251,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:18 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""flávio dino""",,,23467208,fabioiyda,,,45,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:17 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,967277754206097400,colichesky,,,1124,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:08 GMT-0300 (Brasilia Standard Time)
RT @lucildohc: Governador do Maranhão é vaiado em Altamira do Maranhão. 14/08/2021 Flávio Dino faz uma visita em Altamira e é vaiado junto…,"""flávio dino""",,,1220134497536049200,antniohermoso11,,,995,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:07 GMT-0300 (Brasilia Standard Time)
"RT @AllanGarcs1: ATENÇÃO BRASIL
Você sabe o que é isso?
É o esgoto a céu aberto caindo na areia da praia e indo para o mar de São Luís-MA,…","""flávio dino""",,,1093924938464022500,neves_joas,,,1124,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:56 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""flávio dino""",,,100496708,Fabi_Farias,,,45,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:43 GMT-0300 (Brasilia Standard Time)
"RT @RenatoVix_: @lordivan22 O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o…","""flávio dino""",,,1154605557749301200,JaneRossi15,,,45,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:35 GMT-0300 (Brasilia Standard Time)
"RT @RafaelFontana: O Taleban ficou famoso por apedrejar mulheres até a morte e lançar gays do topo dos edifícios.

- Quem apoia o Taleban?…","""flávio dino""",,,1098023824736563200,ElianeReal3,,,1251,0,Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:19 GMT-0300 (Brasilia Standard Time)
