text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,64687236,nanibarbosalima,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:09:57 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,733335680458313700,InumanoID,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:08:59 GMT-0300 (Brasilia Standard Time)
"RT @AliceCheerschef: Governadores que assinaram nota de APOIO ao STF
DF Ibaneis Rocha 
BA Rui Costa 
MA Flávio Dino 
PE Paulo Câmara
SP Agr…","""fátima bezerra""",,,1302595046043275300,Vitoria50901012,,,2,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:03:53 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,71196101,HernaniSouza,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:02:27 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1084484666365825000,belle_grillo,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:58:47 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1254563929990271000,MariaDeFtimaMB1,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:57:15 GMT-0300 (Brasilia Standard Time)
"RT @AliceCheerschef: Governadores que assinaram nota de APOIO ao STF
DF Ibaneis Rocha 
BA Rui Costa 
MA Flávio Dino 
PE Paulo Câmara
SP Agr…","""fátima bezerra""",,,1297631378494951400,Jefersonconser1,,,2,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:56:23 GMT-0300 (Brasilia Standard Time)
"Governadores que assinaram nota de APOIO ao STF
DF Ibaneis Rocha 
BA Rui Costa 
MA Flávio Dino 
PE Paulo Câmara
SP… https://t.co/AvqdNBs1kL","""fátima bezerra""",,,1331534670765428700,AliceCheerschef,,,2,4,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:50:16 GMT-0300 (Brasilia Standard Time)
"RT @FabianoAzevdo1: Quem assina: Renan Filho(AL), Waldez Goés(AP), Rui Costa(BA), Camilo Santana(CE), Ibaneis Rocha(DF), Renato Casarande(E…","""fátima bezerra""",,,1420354546455486500,FabianoAzevdo1,,,1,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:49:35 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1519939784,ConsevatiSpider,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:48:53 GMT-0300 (Brasilia Standard Time)
"Wellington Dias (Piauí), Fátima Bezerra (Rio Grande do Norte), Eduardo Leite (Rio Grande do Sul), João Doria (São P… https://t.co/F0WHj9zO3g","""fátima bezerra""",,,1967923999,brunodePOS,,,0,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:46:38 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,72457169,AureaAp,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:46:29 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,2178094128,EBudri,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:45:48 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1144642750597554200,Neile26692034,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:44:51 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,67776389,Bolso2026,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:44:14 GMT-0300 (Brasilia Standard Time)
"Quem assina: Renan Filho(AL), Waldez Goés(AP), Rui Costa(BA), Camilo Santana(CE), Ibaneis Rocha(DF), Renato Casaran… https://t.co/vcRwTRtQw8","""fátima bezerra""",,,1420354546455486500,FabianoAzevdo1,,,1,1,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:42:38 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1141000382241550300,RozaWerginia,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:42:20 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,37414040,giovanifreitas1,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:42:20 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1072818246598967300,SspeedBrasil,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:42:13 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1414077038416351200,patriota051,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:42:02 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,601338103,evandrojpereira,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:41:40 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,2215751618,Lude7L,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:40:51 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,233611459,EUGENIOlimasant,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:40:24 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1154133234034315300,RooseveltGDeCa8,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:37:22 GMT-0300 (Brasilia Standard Time)
"14 governadores não apoiam o golpe. Em 1964 somente 2 não apoiavam.
Renan Filho, Waldez Goés, Rui Costa , Camilo Sa… https://t.co/7xCvYUsfTX","""fátima bezerra""",,,3301111499,canaldacidadan1,,,0,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:37:21 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,713218785763786800,yodainc,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:35:54 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1377969671551475700,Julimardossant6,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:35:24 GMT-0300 (Brasilia Standard Time)
"RT @brom_elisa: ⚠️Inimigos do Povo

Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis (DF),Casagrande (ES),…","""fátima bezerra""",,,1258065526972178400,Pamelajeferson1,,,27,0,Mon Aug 16 2021 10:16:32 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:35:06 GMT-0300 (Brasilia Standard Time)
