text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"QUEM É O ARTICULADOR DO GOVERNO FÁTIMA BEZERRA?
#BlogTulioLemos https://t.co/m45AWJ6Rtq","""fátima bezerra""",,,97464423,tuliolemosrn,,,0,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:01:58 GMT-0300 (Brasilia Standard Time)
"RT @PeGeovane: Fátima Bezerra lidera em todos os cenários para reeleição, aponta pesquisa | Revista Fórum https://t.co/YXlIuSY7qy","""fátima bezerra""",,,1193690355507576800,StellaR72728308,,,1,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:53:26 GMT-0300 (Brasilia Standard Time)
@BolsonaroSP Deve ser filho da Fátima bezerra ou Maria do rosario.É GORPI.... É.... GORPI .QUÊ...QUÊ..ISSO!,"""fátima bezerra""",,,1406232307908894700,Ricardo85083504,,,0,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:51:44 GMT-0300 (Brasilia Standard Time)
"RT @revistaforum: Fátima Bezerra lidera em todos os cenários para reeleição, aponta pesquisa
https://t.co/8CHh1t0ELo","""fátima bezerra""",,,32052268,MarciaCampus,,,54,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:45:06 GMT-0300 (Brasilia Standard Time)
"@jairbolsonaro @carmelonetobr Estado do Rio Grande do Norte,  governadora Fátima Bezerra PT, vejam o desespero dess… https://t.co/wGHbEkwtrf","""fátima bezerra""",,,1342776958397149200,MalyaIi,,,0,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:41:28 GMT-0300 (Brasilia Standard Time)
"RT @revistaforum: Fátima Bezerra lidera em todos os cenários para reeleição, aponta pesquisa
https://t.co/8CHh1t0ELo","""fátima bezerra""",,,1346078453452447700,Guerreiracomun1,,,54,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:58:26 GMT-0300 (Brasilia Standard Time)
RT @SOUNATALRN: Fátima Bezerra lidera pesquisa para o governo do estado (RN) em 2022 https://t.co/vC4dcJIV1U,"""fátima bezerra""",,,1122689709514416100,Roodriguuesss,,,4,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:56:12 GMT-0300 (Brasilia Standard Time)
"RT @revistaforum: Fátima Bezerra lidera em todos os cenários para reeleição, aponta pesquisa
https://t.co/8CHh1t0ELo","""fátima bezerra""",,,1132136112,msdias70,,,54,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:54:14 GMT-0300 (Brasilia Standard Time)
"RT @revistaforum: Fátima Bezerra lidera em todos os cenários para reeleição, aponta pesquisa
https://t.co/8CHh1t0ELo","""fátima bezerra""",,,54172293,moema4,,,54,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:49:21 GMT-0300 (Brasilia Standard Time)
"RT @DilmaResiste: .@fatimabezerra lidera em todos os cenários para reeleição
Em um eventual segundo turno contra o ministro Rogério Marinho…","""fátima bezerra""",,,1110181345,eri_leite,,,11,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:43:19 GMT-0300 (Brasilia Standard Time)
RT @telmamenezes: Encontro do Ministro do Supremo Alexandre de Moraes com a governadora Fátima Bezerra em Natal. 🤔🤔,"""fátima bezerra""",,,1648588687,AleSuniga,,,1,0,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:03:21 GMT-0300 (Brasilia Standard Time)
"Fátima Bezerra lidera em todos os cenários para reeleição, aponta pesquisa | Revista Fórum https://t.co/YXlIuSY7qy","""fátima bezerra""",,,77272609,PeGeovane,,,1,1,Thu Aug 19 2021 10:08:32 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 07:55:21 GMT-0300 (Brasilia Standard Time)
