text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
@brom_elisa Faltou o Hélder barbalho nessa lista!,"""helder barbalho""",,,55986193,xDuduzx,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:53:01 GMT-0300 (Brasilia Standard Time)
"@helderbarbalho Realmente, vc está fazendo a sua parte governador Helder Barbalho! Ficamos gratos.
Agora só falta o… https://t.co/SbtpSE16SW","""helder barbalho""",,,1353154666708807700,ananindeua123,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 00:12:00 GMT-0300 (Brasilia Standard Time)
meu Helder barbalho vai providenciar 🤞 https://t.co/7IvRPy7WSw,"""helder barbalho""",,,1177680241218769000,huntrluv,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 21:49:03 GMT-0300 (Brasilia Standard Time)
Helder Barbalho é amiguinho de Lularapio... https://t.co/naf0kXWYZy,"""helder barbalho""",,,1202276308765552600,CNacional01,,,0,1,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:10:21 GMT-0300 (Brasilia Standard Time)
"@abelhacarneiro @christian_ppa Helder Barbalho, Camilo, tudo dao um caldo","""helder barbalho""",,,1161711696,JeanzitoAbreu,,,0,1,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:43:34 GMT-0300 (Brasilia Standard Time)
"O governador do Pará, Helder Barbalho, é o convidado especial desta edição do É Tempo de Amazônia, que começa às 18… https://t.co/ev8tpPHOt5","""helder barbalho""",,,1235639765879451600,agromaistv,,,0,1,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:00:29 GMT-0300 (Brasilia Standard Time)
Se o Helder Barbalho e o Flavio Dino acertarem direitinho. Voltaremos a ser o Estado do Grão-Pará e Maranhão.,"""helder barbalho""",,,1377044774696419300,historiador_a,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 12:54:26 GMT-0300 (Brasilia Standard Time)
"🇧🇷estado do Pará
Confederado conforme
determinação do STF.

#Covidão
STJ bloqueia R$ 25 milhões
de #Hell'der Barbal… https://t.co/RScJbgf2nN","""helder barbalho""",,,1351188126170013700,tycho60944643,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 07:32:26 GMT-0300 (Brasilia Standard Time)
"🇧🇷estado do Pará
Confederado conforme
determinação do STF.

#Covidão
STJ bloqueia R$ 25 milhões
de #Hell'der Barbal… https://t.co/pfH32m4lfD","""helder barbalho""",,,1351188126170013700,tycho60944643,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 07:32:17 GMT-0300 (Brasilia Standard Time)
"🇧🇷estado do Pará
Confederado conforme
determinação do STF.

#Covidão
STJ bloqueia R$ 25 milhões
de #Hell'der Barbal… https://t.co/zqhCPfNG5V","""helder barbalho""",,,1351188126170013700,tycho60944643,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 07:32:08 GMT-0300 (Brasilia Standard Time)
"🇧🇷estado do Pará
Confederado conforme
determinação do STF.

#Covidão
STJ bloqueia R$ 25 milhões
de #Hell'der Barbal… https://t.co/qKZkdm1TP4","""helder barbalho""",,,1351188126170013700,tycho60944643,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 07:31:59 GMT-0300 (Brasilia Standard Time)
@frosthoec vai helder barbalho,"""helder barbalho""",,,1389243429599731700,i9joshua,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 00:49:44 GMT-0300 (Brasilia Standard Time)
"@helderbarbalho Sou Petista de carteirinha, mas torço pra haver entendimento entre nosso governador (em quem não vo… https://t.co/btAUFTorcU","""helder barbalho""",,,721645630754549800,Leopere40664190,,,0,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 18:51:00 GMT-0300 (Brasilia Standard Time)
"RT @CarlaZambelli38: O desespero deles em criar qualquer fato contra o Presidente @JairBolsonaro não é à toa...

OBS: Só para lembrar, o pa…","""helder barbalho""",,,1097544062515769300,Fernand53371822,,,1449,0,Mon Aug 16 2021 10:16:27 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 18:34:51 GMT-0300 (Brasilia Standard Time)
