text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Ontem, pela milésima vez tive que dizer que não estou em nenhum governo. A galera acha que se você está fazendo pol… https://t.co/OzYL0cSQbS","""joão azevedo""",,,73140758,matheusfirmino_,,,0,1,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:19:05 GMT-0300 (Brasilia Standard Time)
João Azevêdo anuncia ação conjunta com Conafer nesta segunda para fortalecer a pecuária da Paraíba https://t.co/wD0ele5chK,"""joão azevedo""",,,2667552116,PoliticaETC,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:59:42 GMT-0300 (Brasilia Standard Time)
João Azevêdo anuncia ação conjunta com Conafer nesta segunda para fortalecer a pecuária da Paraíba https://t.co/3zjgfyi21U,"""joão azevedo""",,,69380496,eclitonmonteiro,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:59:40 GMT-0300 (Brasilia Standard Time)
João Azevêdo anuncia ação conjunta com Conafer para fortalecer a pecuária da Paraíba https://t.co/uRekgLpJ7s,"""joão azevedo""",,,248594570,PolemicaParaiba,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:18:26 GMT-0300 (Brasilia Standard Time)
RT @Minajnogroupsx: amanhã jp vacina 21+ JOÃO AZEVEDO SEU CORNO????? PQ NÃO LOGO 20? 😭😭😭😭,"""joão azevedo""",,,925478999408762900,robot_corno,,,1,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:19:58 GMT-0300 (Brasilia Standard Time)
amanhã jp vacina 21+ JOÃO AZEVEDO SEU CORNO????? PQ NÃO LOGO 20? 😭😭😭😭,"""joão azevedo""",,,1179025444894630000,Minajnogroupsx,,,1,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:19:52 GMT-0300 (Brasilia Standard Time)
Daniel Martins Dantxbr Dan ❤️ perseu hitman47 Itszera Dantx peço que não acreditem nas mentiras de Thiago Lierfet R… https://t.co/0qpcpAQmnP,"""joão azevedo""",,,1329016534732333000,DanielM38259674,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:53:21 GMT-0300 (Brasilia Standard Time)
"RT @GilVicente_fc: 🔥 Dispara a temperatura em Portimão 🔥
Conquistamos ➕ 3 pontos
𝟐ª 𝐕𝐢𝐭𝐨́𝐫𝐢𝐚 ✅

#SomosUmSomosGil #GVFC #PSCGVFC https://t.c…","""joão azevedo""",,,860660599868596200,Joao_azevedo_7,,,23,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:14:54 GMT-0300 (Brasilia Standard Time)
"@joaoazevedolins Parabéns governador JOÃO AZEVÊDO, Deus em sua infinita misericórdia TE CUBRA DE SAÚDE E PAZ.","""joão azevedo""",,,1399681807516418000,LeiteMaxnoa,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 11:10:13 GMT-0300 (Brasilia Standard Time)
"Aliados (?), vice-governadora e irmãos Ribeiro não parabenizam publicamente João Azevêdo por aniversário https://t.co/SzVcXqs8vC","""joão azevedo""",,,105224931,portalfonte83,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 10:45:59 GMT-0300 (Brasilia Standard Time)
JOÃO AZEVEDO VC ME PROMETEU https://t.co/wwNyv9znRI,"""joão azevedo""",,,928234538,badgalanz,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 10:01:14 GMT-0300 (Brasilia Standard Time)
João Azevedo planeja isenção de imposto para moradia; Classe produtiva da PB vai pagar a conta… https://t.co/aPOlFHHKvC,"""joão azevedo""",,,1380133509206061000,blogdobgpb,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 09:44:07 GMT-0300 (Brasilia Standard Time)
João Azevedo planeja isenção de imposto para moradia; Classe produtiva da PB vai pagar a conta… https://t.co/Eza4xDbKDy,"""joão azevedo""",,,1380133509206061000,blogdobgpb,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 09:41:30 GMT-0300 (Brasilia Standard Time)
João Azevedo planeja isenção de imposto para habitação popular; Classe produtiva da PB vai pagar a conta… https://t.co/74luqtbNRN,"""joão azevedo""",,,1380133509206061000,blogdobgpb,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 09:31:46 GMT-0300 (Brasilia Standard Time)
"@vsanchesp @1bertoTargaryen @CentralEleicoes João Azevedo vai no que for melhor pra ele eleitoralmente. No caso, Lula.","""joão azevedo""",,,1288967287115047000,mendes_joana23,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 22:56:46 GMT-0300 (Brasilia Standard Time)
Políticos parabenizam aniversário de 68 anos do governador João Azevêdo https://t.co/UJmwM9pa9g,"""joão azevedo""",,,105224931,portalfonte83,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 21:18:42 GMT-0300 (Brasilia Standard Time)
"Amigo governador João Azevêdo, neste 14 de agosto, dia do seu aniversário, quero reforçar meu respeito e meus votos… https://t.co/rCl2WLMGsn","""joão azevedo""",,,1344352228124057600,prefeitaluciene,,,0,1,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 20:31:18 GMT-0300 (Brasilia Standard Time)
"Sou Daniel Martins Dantxbr Dan ❤️ perseu hitman47 Perseu Itszera sou de verdade, nunca aceitei ou concordei com est… https://t.co/uDErY0PfyF","""joão azevedo""",,,1329016534732333000,DanielM38259674,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 20:24:14 GMT-0300 (Brasilia Standard Time)
"Em meio a especulações sobre 2022, Veneziano parabeniza João Azevêdo por aniversário: ‘meu amigo’ https://t.co/HrZGNqRGJ6","""joão azevedo""",,,248594570,PolemicaParaiba,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 19:59:12 GMT-0300 (Brasilia Standard Time)
Senador Veneziano parabeniza governador João Azevedo por aniversário neste sábado https://t.co/q5aTJO8HT0,"""joão azevedo""",,,284566764,salles_marcos,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 19:38:39 GMT-0300 (Brasilia Standard Time)
Senador Veneziano parabeniza governador João Azevedo por aniversário neste sábado https://t.co/XLYmwA8IhL,"""joão azevedo""",,,60418599,ExpressoPB,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 19:38:38 GMT-0300 (Brasilia Standard Time)
"@1bertoTargaryen @CentralEleicoes O PT vai apoiar o João Azevedo, deve ir com ele, já que ele vai apoiar Lula ano que vem.","""joão azevedo""",,,1037362499786604500,vsanchesp,,,0,1,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 17:59:54 GMT-0300 (Brasilia Standard Time)
"@vsanchesp @CentralEleicoes Mesmo assim acho que vale totalmente a pena, 3 deputados estaduais e a capacidade de el… https://t.co/OwEThEfIEF","""joão azevedo""",,,4186658715,1bertoTargaryen,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 17:58:49 GMT-0300 (Brasilia Standard Time)
"@joaoazevedolins Realmente Governador João Azevedo,não existe democracia plena,sem liberdade total de imprensa.O go… https://t.co/6r6EkU7vvL","""joão azevedo""",,,1399681807516418000,LeiteMaxnoa,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 17:13:21 GMT-0300 (Brasilia Standard Time)
"RT @venezianovital: O meu abraço e o meu desejo de muita saúde, paz e vida longa ao amigo e governador João Azevedo. Que Deus lhe conceda b…","""joão azevedo""",,,110728899,arplima,,,4,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 17:03:51 GMT-0300 (Brasilia Standard Time)
"RT @venezianovital: O meu abraço e o meu desejo de muita saúde, paz e vida longa ao amigo e governador João Azevedo. Que Deus lhe conceda b…","""joão azevedo""",,,237064577,ThiagoSomak,,,4,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 16:48:14 GMT-0300 (Brasilia Standard Time)
"Parabéns Governador João Azevedo (@joaoazevedolins), desejamos um novo ciclo de muito sucesso e realizações 🎉👏👏… https://t.co/2U91w4mIhY","""joão azevedo""",,,1377261108,portocabedelo,,,0,1,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 16:37:36 GMT-0300 (Brasilia Standard Time)
"Parabéns Governador João Azevedo (@joaoazevedolins), desejamos um novo ciclo de muito sucesso e realizações 🎉👏👏… https://t.co/3uQvSNQF7Q","""joão azevedo""",,,125777632,gilmaratemoteo,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 16:30:10 GMT-0300 (Brasilia Standard Time)
"RT @venezianovital: O meu abraço e o meu desejo de muita saúde, paz e vida longa ao amigo e governador João Azevedo. Que Deus lhe conceda b…","""joão azevedo""",,,305918781,HUGO_PIRESS,,,4,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 16:22:28 GMT-0300 (Brasilia Standard Time)
@ohmresearch_ aserá que Veneziano  vai desejar feliz aniversário a João Azevedo?,"""joão azevedo""",,,111733311,tiaolucena,,,0,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 14:14:26 GMT-0300 (Brasilia Standard Time)
"Em meio a especulações, Veneziano deseja parabéns ao ""amigo"" João Azevêdo https://t.co/K7jbL7Nxeg via @1mauriliojunior","""joão azevedo""",,,380034344,1mauriliojunior,,,0,1,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 14:03:17 GMT-0300 (Brasilia Standard Time)
"RT @venezianovital: O meu abraço e o meu desejo de muita saúde, paz e vida longa ao amigo e governador João Azevedo. Que Deus lhe conceda b…","""joão azevedo""",,,1409608642593230800,pedrop_pb,,,4,0,Sun Aug 15 2021 20:02:13 GMT-0300 (Brasilia Standard Time),Sat Aug 14 2021 13:57:02 GMT-0300 (Brasilia Standard Time)
