text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
peço ajuda da polícia federal nunca aceitei ou concordei com este circo de Thiago Lierfet Rosa weiber e João Azeved… https://t.co/WRbPz19Ixw,"""joão azevedo""",,,1329016534732333000,DanielM38259674,,,0,0,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:48:44 GMT-0300 (Brasilia Standard Time)
"Novo procurador-geral de Justiça: João Azevêdo nomeia Antônio Hortêncio, mais votado da lista tríplice https://t.co/HneK6gTpgF","""joão azevedo""",,,248594570,PolemicaParaiba,,,0,1,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:41:00 GMT-0300 (Brasilia Standard Time)
João Azevêdo mantém tradição e escolhe mais votado para Procurador-Geral de Justiça https://t.co/NyqbGrzuEe via @1mauriliojunior,"""joão azevedo""",,,380034344,1mauriliojunior,,,0,1,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:37:49 GMT-0300 (Brasilia Standard Time)
João Azevêdo nomeia Antônio Hortêncio como novo procurador-geral de Justiça da Paraíba https://t.co/URme28HdZK,"""joão azevedo""",,,96815163,maispb,,,0,0,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:31:22 GMT-0300 (Brasilia Standard Time)
João Azevêdo se reúne com PT nacional na próxima semana; partido busca apoio para Lula em 2022… https://t.co/ZLtcZ1EPSA,"""joão azevedo""",,,397895126,GFSMartins19,,,0,0,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:30:33 GMT-0300 (Brasilia Standard Time)
"RT @bandsports: ""Existe a possibilidade do Santos ser negociado com o futebol árabe"" 

João Azevedo falou sobre a presença de Bento contra…","""joão azevedo""",,,277250788,FabianoClaro,,,1,0,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:52:37 GMT-0300 (Brasilia Standard Time)
"""Existe a possibilidade do Santos ser negociado com o futebol árabe"" 

João Azevedo falou sobre a presença de Bento… https://t.co/NhL2NWiG1r","""joão azevedo""",,,90697573,bandsports,,,1,2,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:44:50 GMT-0300 (Brasilia Standard Time)
"João Azevedo, comentarista da Band Curitiba, destaca desfalque de Thiago Heleno e preocupação do @AthleticoPR com a… https://t.co/DBdaiumJkq","""joão azevedo""",,,90697573,bandsports,,,0,4,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:39:10 GMT-0300 (Brasilia Standard Time)
URGENTE 🚨🚨 || Governador João Azevêdo suspende importação da vacina Sputnik-V e Paraíba deixará de receber 81 mil d… https://t.co/O6zTmlekQC,"""joão azevedo""",,,103877555,OHagnonHalberto,,,0,0,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 16:07:37 GMT-0300 (Brasilia Standard Time)
João Azevêdo anuncia ampliação do subsídio estadual para produtores de leite https://t.co/19YcVVFYQI via @govparaiba,"""joão azevedo""",,,239785142,empaergovpb,,,0,0,Thu Aug 12 2021 19:54:35 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 15:50:34 GMT-0300 (Brasilia Standard Time)
