text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"João Azevêdo nomeia irmão do ex-deputado Genival Matias para cargo no Governo
https://t.co/LfoNVfYxVw","""joão azevedo""",,,47656563,wscom,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:13:11 GMT-0300 (Brasilia Standard Time)
PORTAL FALA PARAÍBA: João Azevêdo nomeia ex-prefeito de Juazeirinho par... https://t.co/7E7zh7rcqV,"""joão azevedo""",,,1134596453727383600,05_fala,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:59:03 GMT-0300 (Brasilia Standard Time)
"João Azevêdo autoriza investimento de R$ 10,3 milhões para implantação e pavimentação da PB-293, em Vista Serrana https://t.co/jluxcq6Z7e","""joão azevedo""",,,279410827,conexaopb_,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:39:14 GMT-0300 (Brasilia Standard Time)
"João Azevêdo autoriza investimento de R$ 10,3 milhões para implantação e pavimentação da PB-293, em Vista Serrana https://t.co/mly2wE8lk8","""joão azevedo""",,,279410827,conexaopb_,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:39:10 GMT-0300 (Brasilia Standard Time)
Irmão do ex-deputado Genival Matias é nomeado por João Azevêdo no Estado https://t.co/76LPo3f2yP,"""joão azevedo""",,,105224931,portalfonte83,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:28:45 GMT-0300 (Brasilia Standard Time)
"@joaoazevedolins Muito bem Governador JOÃO AZEVEDO, vamos torcer pelos nossos atletas.O senhor sempre valoriza o no… https://t.co/uGduAEYZ7R","""joão azevedo""",,,1399681807516418000,LeiteMaxnoa,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 08:42:03 GMT-0300 (Brasilia Standard Time)
DIÁRIO OFICIAL: João Azevêdo nomeia irmão do ex-deputado Genival Matias para cargo no Governo -… https://t.co/cX5TRIP21f,"""joão azevedo""",,,70829404,GDMendoncaJP,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 08:40:13 GMT-0300 (Brasilia Standard Time)
Outra vez eu não sou uma brincadeira de Thiago Lierfet e Rosa weiber e de João Azevedo e  estou sendo perseguido el… https://t.co/5pw70GbPQy,"""joão azevedo""",,,1329016534732333000,DanielM38259674,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 07:18:17 GMT-0300 (Brasilia Standard Time)
"#VCnoJM Thaic e Vanderson bom dia, aqui na rua Pe. João Azevedo, transversal da Nilo Peçanha, agora não só chove co… https://t.co/IqBRndGzWO","""joão azevedo""",,,1321021927352393700,jayro_paixao,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 07:17:11 GMT-0300 (Brasilia Standard Time)
João Azevêdo nomeia ex-prefeito para cargo no Governo do Estado https://t.co/tq53ZKfJFj,"""joão azevedo""",,,96815163,maispb,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 06:45:00 GMT-0300 (Brasilia Standard Time)
LEIA: João Azevêdo mira aliança pró-Lula na Paraíba e garante palanque à petista. “Se quiser ele vai ter o meu” https://t.co/MrQWDnjOTW,"""joão azevedo""",,,47218017,JoseiltonGomes,,,0,0,Tue Aug 10 2021 10:15:08 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 23:05:49 GMT-0300 (Brasilia Standard Time)
