text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @palmeirasptd: Palmeiras treina hoje às 16h, e deve treinar amanhã cedo também.

Meu time pro jogo contra o SP seria:

Weverton
Marcos R…","""marcos rocha""",,,1304841521422831600,1914_david,,,5,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:04:31 GMT-0300 (Brasilia Standard Time)
@isadaSEP @palmeirasptd Uma dúvida vocês gostam do Marcos Rocha ? Ou não tem ninguém para essa posição ?,"""marcos rocha""",,,801905124675383300,matheus_karil,,,0,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 10:03:27 GMT-0300 (Brasilia Standard Time)
"RT @palmeirasptd: Palmeiras treina hoje às 16h, e deve treinar amanhã cedo também.

Meu time pro jogo contra o SP seria:

Weverton
Marcos R…","""marcos rocha""",,,1008346902482604000,guh_konig,,,5,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:57:20 GMT-0300 (Brasilia Standard Time)
"RT @palmeirasptd: Palmeiras treina hoje às 16h, e deve treinar amanhã cedo também.

Meu time pro jogo contra o SP seria:

Weverton
Marcos R…","""marcos rocha""",,,1313846234885562400,GZocoler,,,5,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:46:39 GMT-0300 (Brasilia Standard Time)
"RT @palmeirasptd: Palmeiras treina hoje às 16h, e deve treinar amanhã cedo também.

Meu time pro jogo contra o SP seria:

Weverton
Marcos R…","""marcos rocha""",,,1349342041730396200,sandim_ari,,,5,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:46:34 GMT-0300 (Brasilia Standard Time)
"RT @palmeirasptd: Palmeiras treina hoje às 16h, e deve treinar amanhã cedo também.

Meu time pro jogo contra o SP seria:

Weverton
Marcos R…","""marcos rocha""",,,1170723941792583700,William70611625,,,5,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:45:20 GMT-0300 (Brasilia Standard Time)
"Palmeiras treina hoje às 16h, e deve treinar amanhã cedo também.

Meu time pro jogo contra o SP seria:

Weverton
Ma… https://t.co/8wVvaWuQDy","""marcos rocha""",,,34181311,palmeirasptd,,,5,97,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:44:17 GMT-0300 (Brasilia Standard Time)
RT @G_Paladino_: Está se criando (mais) um delírio coletivo na torcida do Palmeiras de que o Gabriel Menino é pior que o Marcos Rocha: não…,"""marcos rocha""",,,725262384542052400,Galanteee1,,,53,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:42:41 GMT-0300 (Brasilia Standard Time)
RT @G_Paladino_: Está se criando (mais) um delírio coletivo na torcida do Palmeiras de que o Gabriel Menino é pior que o Marcos Rocha: não…,"""marcos rocha""",,,1349342041730396200,sandim_ari,,,53,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:35:28 GMT-0300 (Brasilia Standard Time)
@willcardoso1914 @bandeirapalest Cadê aqueles que tavam pedindo o fraquíssimo Gabriel Menino no lugar do Marcos Roc… https://t.co/P1WC8Dbeh3,"""marcos rocha""",,,1112575910,MarcMrcio,,,0,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 09:19:51 GMT-0300 (Brasilia Standard Time)
"@Rafameiras1993 Com uma defesa com Marcos Rocha, Luan e Felipe Melo, seria suicídio jogar encima do adversário. A n… https://t.co/35Rs09Rgkw","""marcos rocha""",Brazil,"São Caetano do Sul, Brasil",183370409,doni_zetti,,,0,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:50:34 GMT-0300 (Brasilia Standard Time)
RT @G_Paladino_: Está se criando (mais) um delírio coletivo na torcida do Palmeiras de que o Gabriel Menino é pior que o Marcos Rocha: não…,"""marcos rocha""",,,2981529742,__jeh27,,,53,0,Mon Aug 16 2021 10:16:33 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 08:43:46 GMT-0300 (Brasilia Standard Time)
