text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @G_Paladino_: Está se criando (mais) um delírio coletivo na torcida do Palmeiras de que o Gabriel Menino é pior que o Marcos Rocha: não…,"""marcos rocha""",,,56459150,maikesep,,,33,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:58:47 GMT-0300 (Brasilia Standard Time)
RT @G_Paladino_: Está se criando (mais) um delírio coletivo na torcida do Palmeiras de que o Gabriel Menino é pior que o Marcos Rocha: não…,"""marcos rocha""",,,155293391,rafadk26,,,33,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:55:50 GMT-0300 (Brasilia Standard Time)
RT @G_Paladino_: Está se criando (mais) um delírio coletivo na torcida do Palmeiras de que o Gabriel Menino é pior que o Marcos Rocha: não…,"""marcos rocha""",,,1355484790494027800,ChupaCabraSEP,,,33,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:45:40 GMT-0300 (Brasilia Standard Time)
"@HeyAlviVerde Marcos Rocha, o único lateral que marca por fora e apoia por dentro, nunca vi outro….","""marcos rocha""",,,125157733,tonisepon,,,0,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:45:13 GMT-0300 (Brasilia Standard Time)
@Artigosec Mas tecnicamente o Arana é melhor que o Marcos Rocha.,"""marcos rocha""",,,1300929931837309000,gui_girao,,,0,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:44:50 GMT-0300 (Brasilia Standard Time)
"@qcoutospfc Essa seria a minha escalação, dependendo do PE,seria essencial aquelas dobradinhas junto do Sara encima… https://t.co/kVjNmipYM7","""marcos rocha""",,,1336741479541256200,TorcedorCotia,,,0,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:37:43 GMT-0300 (Brasilia Standard Time)
@G_Paladino_ Delírio é achar que o Menino que fez  um jogo excepcional contra o River mais 6/7 jogos bons é melhor… https://t.co/VqYB4bOFof,"""marcos rocha""",,,778257762354618400,thiagoiakult,,,0,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:34:31 GMT-0300 (Brasilia Standard Time)
@amanda_isepan Pra falar que o Marcos Rocha é defensivamente fraco no mínimo não assiste aos jogos.,"""marcos rocha""",,,778257762354618400,thiagoiakult,,,0,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:32:50 GMT-0300 (Brasilia Standard Time)
RT @G_Paladino_: Está se criando (mais) um delírio coletivo na torcida do Palmeiras de que o Gabriel Menino é pior que o Marcos Rocha: não…,"""marcos rocha""",,,133435046,senna70,,,33,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:31:06 GMT-0300 (Brasilia Standard Time)
"@Lucas99palestra Se ele poupou do jogo contra o Atlético e pq deve ser titular, mas iria com o trio Rony, Wesley e… https://t.co/q2ZBtrshsp","""marcos rocha""",,,1287853525544968200,TerceiraConta8,,,0,0,Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:24:25 GMT-0300 (Brasilia Standard Time)
