text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@patmahomesfan @Vilela56761899 @obaraonews Joga bem em importantes o Marcos Rocha? Kkkkkk. No mundial a gente viu,… https://t.co/Zh42hWhyHR","""marcos rocha""",,,1402766219741216800,Gsep7912,,,0,0,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:23:32 GMT-0300 (Brasilia Standard Time)
"@Gsep7912 @Vilela56761899 @obaraonews Lateral direita temos um cara que é top 5 no Brasil (possivelmente top 3)

Re… https://t.co/JwBXH1783j","""marcos rocha""",,,4408467856,patmahomesfan,,,0,0,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:11:40 GMT-0300 (Brasilia Standard Time)
@Caualuga Marcos rocha é assim tbm kkkk,"""marcos rocha""",,,4709021242,gustavinSEP,,,0,1,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:07:18 GMT-0300 (Brasilia Standard Time)
@Palmeiras @gabrielmenino00 reserva do Marcos Rocha ae,"""marcos rocha""",,,1230157981645463600,SEPedroAndrade,,,0,0,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:57:49 GMT-0300 (Brasilia Standard Time)
@Palmeiras @gabrielmenino00 E no palmeiras é banco pro Marcos rocha,"""marcos rocha""",,,1237508913764982800,Lukas10sep,,,0,1,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:53:44 GMT-0300 (Brasilia Standard Time)
@Palmeiras @gabrielmenino00 Alguém avisa o Abel que Marcos Rocha não sabe cruzar🤔,"""marcos rocha""",,,1388263386362912800,sepitalocosta7,,,0,2,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:51:22 GMT-0300 (Brasilia Standard Time)
@Palmeiras Convocado pra seleção e banco pra marcos rocha vai entender,"""marcos rocha""",,,1237508913764982800,Lukas10sep,,,0,1,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:48:35 GMT-0300 (Brasilia Standard Time)
"@felipeandersn @diegofirmino Se for matador, contrataria só pra matar o LL, Mayke, Marcos Rocha…","""marcos rocha""",,,1348610044464689200,felipeblaesing,,,0,4,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:36:49 GMT-0300 (Brasilia Standard Time)
"@papodeporco_ @Vilela56761899 Amigo o time do Red Bull é melhor q o nosso.
Se vc acha q Marcos Rocha, Luan, Veiga,… https://t.co/iTZjoL88iP","""marcos rocha""",,,1350439048884736000,sepdivino,,,0,1,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:34:21 GMT-0300 (Brasilia Standard Time)
"Pelo Léo pele na final do paulista, nossa zaga é boa mas tbm o que pesa é a lateral direita não da pra ser feliz co… https://t.co/KbaOEZhcEh","""marcos rocha""",,,1392662902948208600,CacadorCeleste,,,0,0,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:33:58 GMT-0300 (Brasilia Standard Time)
"@_taticalizando @Israeleosantos O foda foi quando o menino Wesley entro o Dani não viu nem a cor dele.
Sabe se posi… https://t.co/uhesy007Lh","""marcos rocha""",,,2950910050,vittoriozago53,,,0,0,Thu Aug 12 2021 19:54:42 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:13:38 GMT-0300 (Brasilia Standard Time)
