text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@Sarah_reixx Se tiver falando do Marcos Rocha eu concordo, se não,  não","""marcos rocha""",,,110163364,marcosrochagf,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:44:45 GMT-0300 (Brasilia Standard Time)
"@StabolitoJumper Agora só falta Mayke, Felipe Melo, Luiz Adriano, Deyverson, Breno Lopes, Marcos Rocha, Victor Luis...","""marcos rocha""",,,2722991513,tsoukasgeorgios,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:32:51 GMT-0300 (Brasilia Standard Time)
"Ué, mas o Marcos Rocha não é parceiro do Bolsonaro? Porque ele não abaixa o preço? 🤔 🤖 🐮 🐃 🐂 🐃 https://t.co/cRJp8rC2BD","""marcos rocha""",,,240074026,cr23_unir,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:27:45 GMT-0300 (Brasilia Standard Time)
"@g1rondonia Ué, mas o Marcos Rocha não é parceiro do Bolsonaro? Porque ele não abaixa o preço? 🤔 🤖 🐮 🐃 🐂 🐃","""marcos rocha""",,,240074026,cr23_unir,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:27:29 GMT-0300 (Brasilia Standard Time)
"Felipe Jonatan: Marcos Rocha canhoto.

Quem exalta pelo número de desarmes não vê o imenso espaço que deixa nas costas.","""marcos rocha""",,,86767876,tulhinhuw,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:21:32 GMT-0300 (Brasilia Standard Time)
@Fellipe_sep Bota Marcos Rocha e deyverson aí também,"""marcos rocha""",,,970018166251425800,cornetadasep,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 18:42:16 GMT-0300 (Brasilia Standard Time)
"O presidente da Bahia Pesca, Marcelo Oliveira e o assessor Marcos Rocha estiveram hoje na Superintendência Federal… https://t.co/tDyidtoPS1","""marcos rocha""",Brazil,Largo dos Aflitos,85629873,MOliveiraBahia,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 18:34:40 GMT-0300 (Brasilia Standard Time)
"@FoxSportsBrasil Negociar o Lucas Lima é fácil... quero vê, esses:

Willian 
Felipe Melo 
Kuscevic 
Maike
Vítor Lui… https://t.co/2WZd3LSsZl","""marcos rocha""",,,726909527132614700,MJuniorR1,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 18:16:52 GMT-0300 (Brasilia Standard Time)
"O mano a mano que eu fiz ficou:

Victor
Marcos Rocha
Rever e Nathan deu empate ( Então eu escolho Nathan)
Alonso
Ar… https://t.co/eG9jbylNMi","""marcos rocha""",,,948732512527843300,ArthurJamal1,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 18:11:16 GMT-0300 (Brasilia Standard Time)
"@chefdangalhardo Meu eu não entendo vcs , tem o deyverson , Luiz Adriano , Marcos Rocha , mayke , Zé Rafael , Victo… https://t.co/txXJytbGWG","""marcos rocha""",,,1421596691539562500,Ricardo07674113,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 18:04:35 GMT-0300 (Brasilia Standard Time)
@DaniloFreitas89 @presuntinhofake @RayoVallecano @Atletico vai deixar o ídolo Marcos Rocha ser craque em um rival direto?,"""marcos rocha""",,,694499747583955000,scottfelipee,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 18:04:22 GMT-0300 (Brasilia Standard Time)
"Agora @Palmeiras falta alguns bagres ainda .
Deyversom 
Luan 
Mayke 
Luiz Adriano
Marcos Rocha
Vitor Luiz .......
Entre outros","""marcos rocha""",,,1429221182398779400,Fabiano40795300,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:55:57 GMT-0300 (Brasilia Standard Time)
"@geverdao Agora, só falta esses:

Felipe Melo 
Willian 
Danilo Barbosa 
Maike
Marcos Rocha 
Deyverson 
Luiz Adriano… https://t.co/SaAiVASxqF","""marcos rocha""",,,726909527132614700,MJuniorR1,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:55:32 GMT-0300 (Brasilia Standard Time)
@coldplay @waldezoficial @helderbarbalho @MauroMendes40 @GaldinoCedeno @celmarcosrocha @joaoazevedolins @wdiaspi… https://t.co/uD92Qts8wG,"""marcos rocha""",,,65644039,iuryml,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:54:24 GMT-0300 (Brasilia Standard Time)
"@LeLagoeiro @BoasdoPalmeiras Lucas Lima era uma zero a esquerda antes do Palmeiras, Luiz Adriano, Egídio, Scarpa, M… https://t.co/7NscY2DCvG","""marcos rocha""",,,489852781,galli_eduardo,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:36:03 GMT-0300 (Brasilia Standard Time)
"@birawill @FecKeydynnha @jaquecavinati Wesley: gol na final da copa do Brasil, vários jogos de alto nível
Rony: pri… https://t.co/vc2IGUktxb","""marcos rocha""",,,1250999167125786600,Petterson0112,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:33:42 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,179661508,galofulness,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:10:35 GMT-0300 (Brasilia Standard Time)
"Gasolina  a quase 7 reais, e o estado vai gastar quase 1 Milhão com mobília, guarda-copos e etc, para a residência… https://t.co/9RFVanccc8","""marcos rocha""",,,1371164819752124400,_MilgrauOficial,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 16:51:58 GMT-0300 (Brasilia Standard Time)
"RT @diario1914: Os vencedores dos minijogos de hoje:

Willian, Marcos Rocha, Rony, Breno Lopes, Felipe Melo, Piquerez, Danilo Barbosa, Raph…","""marcos rocha""",,,1326603462025621500,mascote_sep,,,4,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 16:00:18 GMT-0300 (Brasilia Standard Time)
"Vocês quebraram o carro do Marcos Rocha por muito menos, que que custa pegar esse carinha na porrada tbm? https://t.co/Dso3kEKzMJ","""marcos rocha""",,,1259331780160651300,tetetmoreira,,,0,2,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:55:19 GMT-0300 (Brasilia Standard Time)
Caralho eu simplesmente meti 6x0 no Grêmio em plenas quartas de final da Copa Libertadores no save com o Palmeiras… https://t.co/WFnwCmvMOs,"""marcos rocha""",,,1032421529932316700,H3nLu1z,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:54:56 GMT-0300 (Brasilia Standard Time)
"@paaulosouuza Ashuashu, inimigo do Marcos Rocha","""marcos rocha""",,,1659001694,LucasFela,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:39:19 GMT-0300 (Brasilia Standard Time)
"RT @machadolucas_ok: Possível Atlético que enfrentará Fluminense amanhã pelo jogo de ida da Copa do Brasil:

Renan Ribeiro
Patrithanos
Igor…","""marcos rocha""",,,1396252803165741000,fluminensezip,,,1,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:36:23 GMT-0300 (Brasilia Standard Time)
"Possível Atlético que enfrentará Fluminense amanhã pelo jogo de ida da Copa do Brasil:

Renan Ribeiro
Patrithanos
I… https://t.co/6J0hghcJ8N","""marcos rocha""",,,2765086761,machadolucas_ok,,,1,3,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:36:18 GMT-0300 (Brasilia Standard Time)
"@LucasFela ai você tem um ponto... só que tem marcos rocha e mayke, então n é bem assim. .. .","""marcos rocha""",,,116933102,paaulosouuza,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:35:52 GMT-0300 (Brasilia Standard Time)
"RT @diario1914: Os vencedores dos minijogos de hoje:

Willian, Marcos Rocha, Rony, Breno Lopes, Felipe Melo, Piquerez, Danilo Barbosa, Raph…","""marcos rocha""",,,1035135282,wellingtonama2,,,4,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:27:37 GMT-0300 (Brasilia Standard Time)
"Time que eu iria contra o Atlético-PR 
Weverton 
Marcos Rocha
Luan
Gomes 
Piquerez
Danilo
Pk ou ze Rafael 
Veiga
Du… https://t.co/ebVukt6Rwg","""marcos rocha""",,,1323777842421895200,palmeiras1914k,,,0,4,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:13:03 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,568381601,Betocvo,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:55:50 GMT-0300 (Brasilia Standard Time)
"RT @diario1914: Os vencedores dos minijogos de hoje:

Willian, Marcos Rocha, Rony, Breno Lopes, Felipe Melo, Piquerez, Danilo Barbosa, Raph…","""marcos rocha""",,,1304841521422831600,1914_david,,,4,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:35:39 GMT-0300 (Brasilia Standard Time)
"RT @diario1914: Os vencedores dos minijogos de hoje:

Willian, Marcos Rocha, Rony, Breno Lopes, Felipe Melo, Piquerez, Danilo Barbosa, Raph…","""marcos rocha""",,,1064507455395242000,sepalmeirasonl1,,,4,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:31:49 GMT-0300 (Brasilia Standard Time)
"Os vencedores dos minijogos de hoje:

Willian, Marcos Rocha, Rony, Breno Lopes, Felipe Melo, Piquerez, Danilo Barbo… https://t.co/egtS3a7aQj","""marcos rocha""",,,1080984880782168000,diario1914,,,4,39,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:30:27 GMT-0300 (Brasilia Standard Time)
o marcos rocha kkkkkkkkk https://t.co/XhXIgTefBi,"""marcos rocha""",,,1267567892,joaquinpiquerrz,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:26:57 GMT-0300 (Brasilia Standard Time)
@Paauloliveira_ @Palmeirasso51 Marcos Rocha anos luz melhor que João pedro,"""marcos rocha""",,,1390693814810071000,Gabriel51804094,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:23:41 GMT-0300 (Brasilia Standard Time)
@JooHenriqueMac7 @ronybr_ Como torcedor sugiro a retirada do luan e marcos rocha,"""marcos rocha""",,,1054116005201563600,Cattani1x,,,0,2,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:11:00 GMT-0300 (Brasilia Standard Time)
@vikocorrea_ @Paauloliveira_ @Palmeirasso51 Marcos rocha entra ano e sai ano toda vez esta entre os melhores da pso… https://t.co/YSKBur0W8l,"""marcos rocha""",,,190654949,NPersonal17,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 14:09:41 GMT-0300 (Brasilia Standard Time)
"@sepmemes_ Ainda falta se livrar de 
Jailson
Vinícius
Marcos Rocha
Mayke
Victor Luís
Danilo Barbosa
Felipe Melo
Lui… https://t.co/HL3dFVIcAa","""marcos rocha""",,,1112683436874051600,_g_v_n_,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 13:10:33 GMT-0300 (Brasilia Standard Time)
@SofaScoreBR @Brasileirao Dois cam Marcos Rocha e Mariano galo e foda 😍❤️,"""marcos rocha""",,,1397992198445092900,Josiane63357658,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:54:09 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,58894882,Gabrieldcar,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:47:06 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,793149894462730200,iamjoaobrandi,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:40:31 GMT-0300 (Brasilia Standard Time)
"@Palmeirasso51 Não concordo que o João Pedro seria titular. O Marcos Rocha e Menino são muito superiores a ele.
Nun… https://t.co/7eYVAEPsK5","""marcos rocha""",,,829716204076073000,andre_ferrucci,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:26:43 GMT-0300 (Brasilia Standard Time)
"@Paauloliveira_ @Palmeirasso51 João Pedro não pode nem almoçar na mesma mesa do Marcos rocha, a lateral direita e u… https://t.co/BtBnYssXJy","""marcos rocha""",,,1268395796615106600,GunsN68367440,,,0,2,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:25:55 GMT-0300 (Brasilia Standard Time)
"@JoyNascimento10 @jogoaberto Ufaaaa, obrigado San Gennaro! Agora só falta o Maike, o Marcos Rocha e o Luan zagueiro.","""marcos rocha""",,,65893728,JTNetto,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:23:14 GMT-0300 (Brasilia Standard Time)
"@opovo Ufaaaa, obrigado San Gennaro! Agora só falta o Maike, o Marcos Rocha e o Luan zagueiro.","""marcos rocha""",,,65893728,JTNetto,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:22:30 GMT-0300 (Brasilia Standard Time)
"Que eu vi jogar:

Marcos Rocha
Emerson 
Guga https://t.co/SPB1AhfRO1","""marcos rocha""",,,178553312,pedroh0911,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:19:52 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,2563562280,artur_cunha0,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:04:06 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1072907713,DerikAndreas,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:03:34 GMT-0300 (Brasilia Standard Time)
"@victoriasntos_ eu consigo kkkkk lucas lima, marcos rocha, luiz adriano, felipe melo e Victor luiz são feios","""marcos rocha""",,,777880810531717100,ingridribasss,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:00:12 GMT-0300 (Brasilia Standard Time)
"Marcos Rocha, técnico do Palmeiras, troca Sergio Ramos por Aguero para as cobranças de penalidade.","""marcos rocha""",,,4795152765,MarcelinFsc,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:00:00 GMT-0300 (Brasilia Standard Time)
@Luan030993 @JoaoKarlos_17 @virusbatatero @flumedadepresso @boliviazica pelos jogadores que tem? irmao o time é met… https://t.co/MsrUXY5ykO,"""marcos rocha""",,,3101461815,OPaixao1,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 11:53:27 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,782215007161417700,crisaraujo77,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 11:32:18 GMT-0300 (Brasilia Standard Time)
"@Palmeirasso51 João pedro nos gambas é pra comemorar sum. Ele é nivel maike e marcos rocha mesmo. Mas eles tem fagner, e nós não","""marcos rocha""",,,1308515922202820600,CornetaParla,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 11:23:01 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,2411048981,jmfc561234,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 11:11:38 GMT-0300 (Brasilia Standard Time)
"@Osvaldokkj @povotime1910 @geglobo aaa, isso ele é. meu pai e meu irmão são palmeirense e gostavam muito dele, incl… https://t.co/351SOolFHg","""marcos rocha""",,,1385572452722483200,soldier_felipe,,,0,2,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 11:01:54 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,154951551,CopaST,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 10:43:54 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,4141941875,galouca2,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 10:27:21 GMT-0300 (Brasilia Standard Time)
"@mmurilodias Depois falam que o nosso elenco é qualificado.
Se a realidade do Lucas Lima é o Fortaleza, nao quero n… https://t.co/qvAxz4M9tn","""marcos rocha""",,,1350439048884736000,sepdivino,,,0,4,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 10:20:20 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1282586642994417700,MarcusLeone9,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:39:57 GMT-0300 (Brasilia Standard Time)
@Alex10Matos @mayconfcramos @Falagalo13 @rmarques13 @AngelBaldo13 Discordo completamente. Ele é bom. Ele ainda é jo… https://t.co/6wV2N6mGuP,"""marcos rocha""",,,36285775,rodrigomolinsky,,,0,1,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:36:48 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,717454552698646500,milagre_horto,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:35:55 GMT-0300 (Brasilia Standard Time)
@Marcelo_Galao13 @brunoscarpelli Cafu é um dos jogadores mais vitoriosos do futebol mundial e sempre foi um bosta.… https://t.co/rQqyEBXafE,"""marcos rocha""",,,340014683,NArgumentos,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:31:52 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,51865305,eribaru,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:29:44 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,703745847742357500,_hvelloso,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:25:42 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,912472646775984100,mtoo_querido,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:19:26 GMT-0300 (Brasilia Standard Time)
"@franca1908_ defendi o Guga ontem, achei q fez bom jogo. Mas cada caso q vc citou, tem sua particularidade. Marcos… https://t.co/oeYCi6wP4F","""marcos rocha""",,,300842541,13Frc,,,0,2,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:18:36 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1055247487454400500,twittaDuda_,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:17:20 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1172511061469253600,Pozin_7,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:16:30 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,2248932908,peterpcampos,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:04:38 GMT-0300 (Brasilia Standard Time)
Vale lembrar que Rafael Carioca depois que saiu do Galo jogou muita bola e conquistou vários títulos importantes pe… https://t.co/YSkm6NRxL7,"""marcos rocha""",,,3087914583,cam13k,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 09:01:29 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1118043734,reislucvs,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 08:58:35 GMT-0300 (Brasilia Standard Time)
"Eu fico muito puto com o que fazem com os jogadores, essa perseguição sem motivo, e um deles é o Marcos Rocha, tem… https://t.co/9EawYWI6eG","""marcos rocha""",,,3087914583,cam13k,,,0,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 08:57:09 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,977600744906993700,Klebao_Do_Celta,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 08:47:17 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1006668700336967700,cfpds10,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 08:46:58 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,3092780614,galou2_franco,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 08:46:35 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1195810001551601700,CaetanoRogrio1,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 08:39:32 GMT-0300 (Brasilia Standard Time)
"RT @franca1908_: o que estão fazendo com o Guga, fizeram com o Rafael Carioca, com o Cazares, com o Marcos Rocha e não ironicamente todos d…","""marcos rocha""",,,1355210838811009000,lpachecooo_,,,80,0,Wed Aug 25 2021 19:47:44 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 08:28:15 GMT-0300 (Brasilia Standard Time)
