text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @GabesQueiroz: VAI TOMAR NO CU

MAURO MENDES DEFENDENDO A PORRA DO VOTO IMPRESSO

VAI A MERDA COM ESSE GOVERNADOR QUE VIVE COM AS BOLAS…","""mauro mendes""",,,235520484,letsquebora,,,2,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:17 GMT-0300 (Brasilia Standard Time)
"O ETANOL SUBIU DE NOVO!!!!!!!!!!

VAI TOMAR NO CU MAURO MENDES
VAI TOMAR NO CU BOLSONARO","""mauro mendes""",,,199785745,PedroASirtoli,,,0,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:23 GMT-0300 (Brasilia Standard Time)
"Será que o governador de Mato Grosso MT,  MAURO MENDES vai se explicar?
Nos aguarde nas urnas MAURO MENDES. 
Nós já… https://t.co/2WPM2Ztijq","""mauro mendes""",,,1090598892528455700,sirleiicometais,,,0,1,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:36:49 GMT-0300 (Brasilia Standard Time)
@GabesQueiroz Mauro Mendes é tipo a Tabata né,"""mauro mendes""",,,1055489109177831400,quietodemais,,,0,1,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:08:58 GMT-0300 (Brasilia Standard Time)
"Vai mauro mendes, posta sobre o voto impresso, que ngm pediu sua opiniao, desvia o foco do vice agressor. Vc consegue","""mauro mendes""",,,968856779739328500,lcmzrrd,,,0,2,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 00:51:15 GMT-0300 (Brasilia Standard Time)
"RT @GabesQueiroz: VAI TOMAR NO CU

MAURO MENDES DEFENDENDO A PORRA DO VOTO IMPRESSO

VAI A MERDA COM ESSE GOVERNADOR QUE VIVE COM AS BOLAS…","""mauro mendes""",,,67141795,henriquesian,,,2,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 00:24:27 GMT-0300 (Brasilia Standard Time)
"VAI TOMAR NO CU

MAURO MENDES DEFENDENDO A PORRA DO VOTO IMPRESSO

VAI A MERDA COM ESSE GOVERNADOR QUE VIVE COM AS… https://t.co/A09LqSIJEW","""mauro mendes""",,,1023265845269745700,GabesQueiroz,,,2,17,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 19:35:37 GMT-0300 (Brasilia Standard Time)
"O governador ante-bolsonarista de Mato Grosso, Mauro Mendes. Está em maus lençóis, seu braço direito, secretário da… https://t.co/99PdXpoSSk","""mauro mendes""",,,275729465,slvgm,,,0,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 15:19:23 GMT-0300 (Brasilia Standard Time)
"RT @botuzinho: Mauro Carvalho, Principal Secretário do Governo do Estado e o Governador Mauro Mendes são citados pelo MTTV em gravíssima de…","""mauro mendes""",,,1486190474,botuzinho,,,1,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 14:01:00 GMT-0300 (Brasilia Standard Time)
"Mauro Carvalho, Principal Secretário do Governo do Estado e o Governador Mauro Mendes são citados pelo MTTV em grav… https://t.co/cAHVnG8SQd","""mauro mendes""",,,1486190474,botuzinho,,,1,1,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:59:01 GMT-0300 (Brasilia Standard Time)
"mauro mendes a essa altura querendo se escorar no borsalino. esse aí não ganha nem pra síndico, canalha","""mauro mendes""",,,213389318,wrpla,,,0,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:52:53 GMT-0300 (Brasilia Standard Time)
"RT @botuzinho: Mauro Carvalho, Principal Secretário do Governo do Estado e o Governador Mauro Mendes são citados pelo MTTV em gravíssima de…","""mauro mendes""",,,1486190474,botuzinho,,,1,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:50:50 GMT-0300 (Brasilia Standard Time)
"Mauro Mendes defende voto impresso auditável e diz que sistema cria uma forma de controle e auditagem
https://t.co/dMlkAvwO7h","""mauro mendes""",,,1267597465936683000,o_documento,,,0,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:50:29 GMT-0300 (Brasilia Standard Time)
"Mauro Carvalho, Principal Secretário do Governo do Estado e o Governador Mauro Mendes são citados pelo MTTV em grav… https://t.co/1qpe6xS7lh","""mauro mendes""",,,1486190474,botuzinho,,,1,1,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:48:43 GMT-0300 (Brasilia Standard Time)
"@reportermt O governador Mauro Mendes deveria se informar do que acontecia no Mato Grosso e na capital nos anos 80,… https://t.co/appDfz6izH","""mauro mendes""",,,60157503,jomarkarrasco,,,0,1,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 12:56:40 GMT-0300 (Brasilia Standard Time)
"Mauro Mendes declara apoio ao ‘voto auditável’ e internautas reagem
https://t.co/TMyYMFmq70 https://t.co/Z66A2O1A63","""mauro mendes""",,,185729586,siteagoramt,,,0,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 12:49:03 GMT-0300 (Brasilia Standard Time)
"Mauro Carvalho, Principal Secretário do Governo do Estado e o Governador Mauro Mendes são citados pelo MTTV em grav… https://t.co/Ar6FZrpJxN","""mauro mendes""",,,211368678,ocalmon,,,0,0,Fri Aug 06 2021 09:12:31 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 12:22:00 GMT-0300 (Brasilia Standard Time)
