text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @ch3rnobia: Paulo Câmara pfvr coloque pão com mortadela no cardápio da merenda e tire aquela porra daquele risoto que claramente não é r…,"""paulo câmara""",,,1296051362632016000,joalinlesbian,,,3,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:46 GMT-0300 (Brasilia Standard Time)
RT @ch3rnobia: Paulo Câmara pfvr coloque pão com mortadela no cardápio da merenda e tire aquela porra daquele risoto que claramente não é r…,"""paulo câmara""",,,1150546681366294500,chatopacaraai,,,3,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:02:13 GMT-0300 (Brasilia Standard Time)
RT @ch3rnobia: Paulo Câmara pfvr coloque pão com mortadela no cardápio da merenda e tire aquela porra daquele risoto que claramente não é r…,"""paulo câmara""",,,1009481441116393500,yastmt,,,3,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:01:04 GMT-0300 (Brasilia Standard Time)
RT @folhape: #POLITICA - por Edmar Lyra | Paulo Câmara aposta em ações para alavancar governo - https://t.co/4LLxByNbQV https://t.co/yEvyMv…,"""paulo câmara""",,,53175849,EdmarLyra,,,1,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:31:17 GMT-0300 (Brasilia Standard Time)
#POLITICA - por Edmar Lyra | Paulo Câmara aposta em ações para alavancar governo - https://t.co/4LLxByNbQV https://t.co/yEvyMvuOWn,"""paulo câmara""",,,61752537,folhape,,,1,2,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:30:05 GMT-0300 (Brasilia Standard Time)
Márcia Conrado recepciona Paulo Câmara e comemora assinatura da ordem de serviço da adutora do Residencial Vanete A… https://t.co/YMTxuJMqqC,"""paulo câmara""",,,1086420696354435100,HojePernambuco,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 05:49:05 GMT-0300 (Brasilia Standard Time)
Márcia Conrado recepciona Paulo Câmara e comemora assinatura da ordem de serviço da adutora do Residencial Vanete A… https://t.co/iCswROcTjG,"""paulo câmara""",,,4835280603,AconteceJG,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 05:49:04 GMT-0300 (Brasilia Standard Time)
"@MiltonCoelho_PE Tenha certeza onde estiver um eleitor seu aqui em recife vamos conversar e tirar seu voto!
Boneco de Paulo Câmara!","""paulo câmara""",,,946371722508369900,PedroHe33144204,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 00:58:28 GMT-0300 (Brasilia Standard Time)
lembrando aqui de quando Paulo câmara comeu quase 30 conto q EU tinha carregado de passagem no meu vem estudantil,"""paulo câmara""",,,1213237058229035000,webentinho,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 00:53:03 GMT-0300 (Brasilia Standard Time)
"@DosErilan @ivermectinatha 3 de Pernambuco pqp é lascar o povo mesmo !!!

Protegendo a ""eleição"" do Paulo Câmara a todo custo.","""paulo câmara""",,,1210202313975050200,Zerovapor1,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 00:06:44 GMT-0300 (Brasilia Standard Time)
"RT @Indiabonora: Perdemos mais um Policial Militar em Pernambuco. Mais uma mãe que chora.  Um dos únicos heróis, que juram proteger a socie…","""paulo câmara""",,,162091513,paslacerda,,,2,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:58:13 GMT-0300 (Brasilia Standard Time)
"No Sertão, Paulo Câmara inspeciona obras e autoriza novos serviços https://t.co/2c3ZK4cs8j https://t.co/Zt0Q1oRUip","""paulo câmara""",,,39242814,MarcioQueen,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:15:04 GMT-0300 (Brasilia Standard Time)
"RT @diegoketriri: O voto impresso não interfere somente nas eleições para presidente da república, interfere na eleição para governadores.…","""paulo câmara""",,,870062705184579600,rrbaquino,,,1,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:14:38 GMT-0300 (Brasilia Standard Time)
"O voto impresso não interfere somente nas eleições para presidente da república, interfere na eleição para governad… https://t.co/1dGoltoJha","""paulo câmara""",,,3133561904,diegoketriri,,,1,16,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:00:50 GMT-0300 (Brasilia Standard Time)
Paulo Câmara dá continuidade a compromissos no Sertão do Pajeú - Por Dárcio Rabelo https://t.co/9BFxhEpMsI,"""paulo câmara""",,,131681651,darciorabelo,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 21:55:29 GMT-0300 (Brasilia Standard Time)
"O brasileiro vota errado? Será?
Boulos e D'ávila no 2º turno.
João Campos (PSB) e Marilia Arraes (PT) em Recife dis… https://t.co/YHczAnVhej","""paulo câmara""",,,706090580,JLBIASE,,,1,1,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 21:53:56 GMT-0300 (Brasilia Standard Time)
"O vereador Irmão Ronaldo, através de Requerimento aprovado faz apelo ao governador de Pernambuco, Paulo Câmara, e a… https://t.co/kUUidzAG3s","""paulo câmara""",,,401059117,blogdoedvaldo,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 21:48:35 GMT-0300 (Brasilia Standard Time)
@folhape Só não vai devolver os 70 milhões que desviaram da Saúde.   Só não vai aparecer  o dinheiro dos Respirador… https://t.co/vVXDPxMJop,"""paulo câmara""",,,1233564905615351800,TheTerror32,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 21:11:45 GMT-0300 (Brasilia Standard Time)
"@radiojornalpe O bebê da mamãe da prefeitura se vacina com Pfizer, Paulo câmara e seus asseclas com AZ, e no cu da… https://t.co/QrvR0egUiN","""paulo câmara""",,,101915905,gugaduque,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 20:32:17 GMT-0300 (Brasilia Standard Time)
"Que azar ter nascido nesse lixo de pais. O pobre só se lasca. Paulo Câmara, tu és um inútil.","""paulo câmara""",,,474060584,Rizia_Mendonca,,,0,0,Fri Aug 06 2021 09:12:34 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 20:28:54 GMT-0300 (Brasilia Standard Time)
