text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @MarcusASoares: Confira a lista de governadores que assinaram o documento:
Rui Costa (PT-BA);
Flávio Dino (PSB-MA);
Paulo Câmara (PSB-PE…","""paulo câmara""",,,4644419008,SCoimb,,,1,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:34:53 GMT-0300 (Brasilia Standard Time)
"Confira a lista de governadores que assinaram o documento:
Rui Costa (PT-BA);
Flávio Dino (PSB-MA);
Paulo Câmara (P… https://t.co/wYC3KkCKlV","""paulo câmara""",,,1059081124910121000,MarcusASoares,,,1,1,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:32:04 GMT-0300 (Brasilia Standard Time)
AÍ me aparece um pseudo cientista político falar que Paulo Câmara tá gastando dinheiro público com um jantar pra Lu… https://t.co/PHgHe554hy,"""paulo câmara""",,,1034884336343035900,_limaapedro,,,0,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:15:27 GMT-0300 (Brasilia Standard Time)
"finalmente sou parte de uma piada de vacinado
bom demais obg doutor paulo câmara https://t.co/NFnRCuWKwK","""paulo câmara""",,,99325736,ccajanuscajan,,,0,1,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:12:01 GMT-0300 (Brasilia Standard Time)
@raphael_barza @matheuscomunica Ela vai ficar neutra igual a última eleição do Paulo Câmara,"""paulo câmara""",,,1390523791,Ijoaol,,,0,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:07:12 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio Assinam o documento os governadores do Distrito Federal, Ibaneis Rocha (MDB); da Bahia, Rui Costa (PT);…","""paulo câmara""",,,1105275851577397200,stefanovilarim,,,8,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:05:38 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""paulo câmara""",,,1250906697197125600,RighiRoselene,,,29,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:58:48 GMT-0300 (Brasilia Standard Time)
"RT @gleisi: Encontro de Lula, em PE, c/ governador Paulo Camara, prefeito João Campos e lideranças do PSB foi p/ conversar s/ o momento atu…","""paulo câmara""",,,1423188637349515300,JuLooversOfc,,,177,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:56:07 GMT-0300 (Brasilia Standard Time)
"Os que apoiam o STF, não reeleger:
RUI COSTA BA
FLÁVIO DINO MÁ
PAULO CÂMARA PÉ
JOÃO DORIA SP
EDUARDO LEITE RS
CAMIL… https://t.co/0agfZ3IqAs","""paulo câmara""",,,4784149340,olivo_altamir,,,0,1,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:52:38 GMT-0300 (Brasilia Standard Time)
"RT @Sandroka131: Lula tem encontro hoje (15/8) com Paulo Câmara (PSB/PE), governador de Pernambuco. Que o PSB pare de fazer média com a tal…","""paulo câmara""",,,87421436,MarcosTil,,,61,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:51:27 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""paulo câmara""",,,1365898412911132700,Daniela00973721,,,29,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:46:19 GMT-0300 (Brasilia Standard Time)
@fec5588fm Ele tá escondido. Estamos doido pra ver esse matg8nal nas ruas mas eke já disse q não sairá nas ruas. Tá… https://t.co/EDTPY5GTjg,"""paulo câmara""",,,1180910832227631000,Alfredo18581452,,,0,1,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:42:32 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""paulo câmara""",,,1296402037073207300,ArieliAguiar7,,,29,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:40:47 GMT-0300 (Brasilia Standard Time)
"@MarcosQuezado1 Paulo Câmara, cretino!","""paulo câmara""",,,1106738526018854900,AgraNunes,,,0,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:37:39 GMT-0300 (Brasilia Standard Time)
"Além de Casagrande, assinam a nota os governadores de Alagoas, Renan Filho (MDB); Amapá, Waldez Góes (PDT); Bahia,… https://t.co/j3X9vOKY8E","""paulo câmara""",,,1426778218170835000,ElberFidelis4,,,0,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:37:34 GMT-0300 (Brasilia Standard Time)
"@Vicente18148387 Paulo Câmara, cretino!","""paulo câmara""",,,1106738526018854900,AgraNunes,,,0,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:37:22 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""paulo câmara""",,,53664668,IbsenGR,,,29,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:36:42 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""paulo câmara""",,,1256978721157898200,MarciaMenegas,,,29,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:31:36 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio Assinam o documento os governadores do Distrito Federal, Ibaneis Rocha (MDB); da Bahia, Rui Costa (PT);…","""paulo câmara""",,,1410753902996246500,SharaAraujo6,,,8,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:30:49 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""paulo câmara""",,,1189372291563643000,BiaNubes,,,29,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:27:59 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio Assinam o documento os governadores do Distrito Federal, Ibaneis Rocha (MDB); da Bahia, Rui Costa (PT);…","""paulo câmara""",,,1113849801353965600,ArineChristiane,,,8,0,Mon Aug 16 2021 18:36:14 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:26:25 GMT-0300 (Brasilia Standard Time)
