text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Como o gov Paulo Câmara não toma providências a fim de conter a corrida da morte nas estradas, à precariedade das r… https://t.co/JWBlQ1HCW4","""paulo câmara""",,,1375624143245283300,JosBenignoDaSi1,,,0,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:45:08 GMT-0300 (Brasilia Standard Time)
"RT @mzconteudo: 👉Dezessete meses depois, deputados aprovam lei que proíbe despejos na pandemia em Pernambuco

✒️De autoria das codeputadas…","""paulo câmara""",,,221180823,smbuarque,,,4,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 19:18:07 GMT-0300 (Brasilia Standard Time)
Deputada Roberta Arraes e governador Paulo Câmara oficializam cedência do prédio onde funcionará o Hospital do Cânc… https://t.co/QlwkX32muu,"""paulo câmara""",,,53175849,EdmarLyra,,,0,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:49:30 GMT-0300 (Brasilia Standard Time)
Governador Paulo Câmara PSB PERNAMBUCO. Inútil https://t.co/rX6kdNbYlv,"""paulo câmara""",,,1284618852630962200,CarlosR68909486,,,0,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:41:22 GMT-0300 (Brasilia Standard Time)
"nada como um brt entupido pra alinhas os chakras no fim do dia 
obrigado paulo câmara pelos mimos 🥰🥰❤️❤️❤️👊🏻👊🏻👊🏻😍😍😍😍👍🏻👍🏻👍🏻","""paulo câmara""",,,934393261992697900,daniloveig,,,0,2,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:36:13 GMT-0300 (Brasilia Standard Time)
O motivo de eu ter vendido minha moto foi por causa dos ipva's atrasados q eu não tava podendo pagar. Eu já tinha m… https://t.co/ldmTWiERHS,"""paulo câmara""",,,54728447,DarthHeyder,,,0,1,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:17:43 GMT-0300 (Brasilia Standard Time)
"RT @cavalcanti_jo: Agora que o mais difícil passou, nossa nossa PL segue para sanção do Governador Paulo Câmara, não podemos deixar para de…","""paulo câmara""",,,204146777,Tomaz_ribeiro,,,4,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:14:53 GMT-0300 (Brasilia Standard Time)
"RT @CentralEleicoes: 🍝🗳️ O ex-Presidente Lula jantou hoje no palácio Campos das Princesas, em Recife, com o governador Paulo Câmara e prefe…","""paulo câmara""",,,1087882294931656700,zenetolacerda,,,32,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:14:36 GMT-0300 (Brasilia Standard Time)
"RT @mzconteudo: 👉Dezessete meses depois, deputados aprovam lei que proíbe despejos na pandemia em Pernambuco

✒️De autoria das codeputadas…","""paulo câmara""",,,56354687,guscherubina,,,4,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:13:43 GMT-0300 (Brasilia Standard Time)
"RT @jc_pe: Mendonça Filho diz que o PSB, de Paulo Câmara, ''já deu o que tinha de dar'' em Pernambuco

https://t.co/bwyLzhaWeG","""paulo câmara""",,,1057705832199176200,Maroca54303142,,,2,0,Thu Aug 19 2021 20:16:43 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 18:12:56 GMT-0300 (Brasilia Standard Time)
