text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"O documento foi assinado nesta quinta-feira (5) pelo governador Ratinho Junior e é válido por 90 dias, pela permanê… https://t.co/F6oZfTIkLd","""ratinho junior""",,,1374349952021885000,pdcParanavai,,,0,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:58:46 GMT-0300 (Brasilia Standard Time)
@gabriel_strapa Ratinho Júnior,"""ratinho junior""",,,52825647,Pablo_A_Souza,,,0,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:17:04 GMT-0300 (Brasilia Standard Time)
@degradepcolorir ratinho junior governador do paraná,"""ratinho junior""",,,1246235364353867800,petistindemerda,,,0,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:04:48 GMT-0300 (Brasilia Standard Time)
ratinho junior,"""ratinho junior""",,,1246235364353867800,petistindemerda,,,0,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 22:52:02 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: URGENTE: Ratinho Junior oferece 1.182 km de rodovias para pedágio de Jair Bolsonaro https://t.co/yTa7GdM57h 
#PedágioÉRou…","""ratinho junior""",,,1376971385482920000,Getulio79193105,,,27,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 20:03:15 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: URGENTE: Ratinho Junior oferece 1.182 km de rodovias para pedágio de Jair Bolsonaro https://t.co/yTa7GdM57h 
#PedágioÉRou…","""ratinho junior""",,,919465872,nadiaprado7,,,27,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 18:34:24 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: URGENTE: Ratinho Junior oferece 1.182 km de rodovias para pedágio de Jair Bolsonaro https://t.co/yTa7GdM57h 
#PedágioÉRou…","""ratinho junior""",,,2402848185,Falaqteescuto1x,,,27,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 18:29:15 GMT-0300 (Brasilia Standard Time)
"RT @tribunapr: O governador do Paraná, Carlos Massa Ratinho Junior (PSD), sancionou projeto de lei que pune com multa as pessoas que furare…","""ratinho junior""",,,1393095374194237400,CatervaNews,,,1,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 18:18:54 GMT-0300 (Brasilia Standard Time)
"O governador do Paraná, Carlos Massa Ratinho Junior (PSD), sancionou projeto de lei que pune com multa as pessoas q… https://t.co/mqqvvOfTes","""ratinho junior""",,,112786548,tribunapr,,,1,3,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 18:04:38 GMT-0300 (Brasilia Standard Time)
Ratinho Junior sanciona lei que pune quem furar fila da vacina contra Covid-19 https://t.co/JXWRgeh332,"""ratinho junior""",,,637345642,gppoliticapr,,,0,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 16:33:33 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: Ratinho Junior mente sobre negociata do pedágio com governo Bolsonaro [vídeo] https://t.co/VwBe0OfXzU 
@arilsonchiorato h…","""ratinho junior""",,,71636852,ivancarlomoraes,,,5,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 15:14:10 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: URGENTE: Ratinho Junior oferece 1.182 km de rodovias para pedágio de Jair Bolsonaro https://t.co/yTa7GdM57h 
#PedágioÉRou…","""ratinho junior""",,,172390144,DarioPendragon,,,27,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 14:31:29 GMT-0300 (Brasilia Standard Time)
"no Forte do Pinheirinho, em Curitiba (PR), da cerimônia de troca de comando da 5ª Divisão do Exército (5ª DE). O go… https://t.co/fZG453WS30","""ratinho junior""",,,1001446278667096000,EzequiasCostaS1,,,0,1,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 14:21:41 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: Ratinho Junior mente sobre negociata do pedágio com governo Bolsonaro [vídeo] https://t.co/VwBe0OfXzU 
@arilsonchiorato h…","""ratinho junior""",,,66441340,ChikJeitoso,,,5,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:57:21 GMT-0300 (Brasilia Standard Time)
Precisamos das vacinas para não perdermos nossas vagas e bolsas!! @ratinho_junior @governoparana @curitiba_pmc… https://t.co/hbxx2wmWIq,"""ratinho junior""",,,1090550589061255200,maripublio_,,,0,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:51:56 GMT-0300 (Brasilia Standard Time)
Olha a minha cara de quem vai parar pra sentar e conversar com Ratinho Júnior.,"""ratinho junior""",,,1013780737,ACoscoski,,,0,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:18:10 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: Ratinho Junior mente sobre negociata do pedágio com governo Bolsonaro [vídeo] https://t.co/VwBe0OfXzU 
@arilsonchiorato h…","""ratinho junior""",,,105254732,joaomaringa,,,5,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 11:37:05 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: Ratinho Junior mente sobre negociata do pedágio com governo Bolsonaro [vídeo] https://t.co/VwBe0OfXzU 
@arilsonchiorato h…","""ratinho junior""",,,463871515,PrBeneAlves,,,5,0,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 11:35:10 GMT-0300 (Brasilia Standard Time)
Ratinho Junior mente sobre negociata do pedágio com governo Bolsonaro [vídeo] - Núcleo Luciano Lepera | Rede PT -… https://t.co/cMt3jGE8q4,"""ratinho junior""",,,33615996,ptribeirao,,,0,1,Fri Aug 06 2021 09:12:35 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 11:33:49 GMT-0300 (Brasilia Standard Time)
