text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Pelo amor de deus um monte de professor que mal assinou contrato e começa as aulas e eles n conseguem acessar o sis… https://t.co/qBXfRPp9h4,"""ratinho junior""",,,957391704,ViniCroix,,,0,1,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:32:37 GMT-0300 (Brasilia Standard Time)
"Gosto assim, mandou um: chamo vocês pra essa luta e quase chamou o Ratinho Junior de fdp porque é mesmo :) https://t.co/GhuA3AnMeQ","""ratinho junior""",,,1120860481605054500,gi_ttoliveira,,,0,1,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 11:32:39 GMT-0300 (Brasilia Standard Time)
Sério isso é canalhice pura do Sr Ratinho Júnior.... Canalha que sucateia a universidade pública,"""ratinho junior""",,,957391704,ViniCroix,,,0,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 10:34:02 GMT-0300 (Brasilia Standard Time)
https://t.co/hcJjiME6Ib para requiao filho persegui ratinho junior de humildade eu balsonaro ratinho tamos junto😆😆😈,"""ratinho junior""",,,1373720512900309000,Anacristinapde1,,,0,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 09:42:55 GMT-0300 (Brasilia Standard Time)
O governador Ratinho Júnior segue gastando em propaganda e até hoje não fez nada pelo Estado além de vender as empr… https://t.co/X54CJvFNQE,"""ratinho junior""",,,1076399425063452700,tecnoanologica,,,0,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 08:18:24 GMT-0300 (Brasilia Standard Time)
"RT @AlvaroPenerotti: Ratinho Junior, se você fosse um governador qual seria?","""ratinho junior""",,,782322665927413800,_Evelini_,,,1,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 18:16:59 GMT-0300 (Brasilia Standard Time)
"Ratinho Junior, se você fosse um governador qual seria?","""ratinho junior""",,,44972488,AlvaroPenerotti,,,1,19,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sun Aug 08 2021 18:16:27 GMT-0300 (Brasilia Standard Time)
"@naysoaress Ih amiga, aqui na minha cidade no ritmo que tá eu vacino só no natal... 
Do ano que vem 
Ratinho Júnior… https://t.co/qJKzFDWB42","""ratinho junior""",,,1196500823133638700,CenouraCabeluda,,,0,1,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 18:12:05 GMT-0300 (Brasilia Standard Time)
"Blog do Esmael: Lula prevê vitória de Requião na polarização com Ratinho Junior no Paraná.
https://t.co/Kwk5R6TFxJ

via @GoogleNews","""ratinho junior""",,,2882817201,PetucioS,,,0,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 18:01:29 GMT-0300 (Brasilia Standard Time)
@wvlllllll ratinho junior,"""ratinho junior""",,,1388546704115388400,weinbergggg,,,0,1,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 16:08:21 GMT-0300 (Brasilia Standard Time)
"@alinefelf baixei o app aqui dai eu ja tenho o numero do cartão, basta isso pra tomar a picada do ratinho junior?","""ratinho junior""",,,2734871976,gobbbbo,,,0,1,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 12:56:02 GMT-0300 (Brasilia Standard Time)
"@profeborto PSD - Gilberto Kassab
Vice-presidentes: Alfredo Cotait Neto
Belivaldo Chagas
Carlos Viana
Guilherme Cam… https://t.co/MwX56bqoXO","""ratinho junior""",,,66897911,gizabuso,,,1,2,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 11:40:45 GMT-0300 (Brasilia Standard Time)
RT @LeilaGermano: O PARÁ VACINANDO AS QUINHANÇA E OS COROA DE CURITIBA AGUARDANDO NAS MÃOS DE RATINHO JUNIOR,"""ratinho junior""",,,737054425857069000,yaszzxx,,,60,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 10:07:04 GMT-0300 (Brasilia Standard Time)
RT @esmaelmorais: Lula prevê vitória de Requião na polarização com Ratinho Junior no Paraná https://t.co/k1Dftg5cAY,"""ratinho junior""",,,876475416,osoriomarques1,,,1,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 09:31:39 GMT-0300 (Brasilia Standard Time)
Lula prevê vitória de Requião na polarização com Ratinho Junior no Paraná https://t.co/k1Dftg5cAY,"""ratinho junior""",,,19657485,esmaelmorais,,,1,4,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 09:20:19 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: Lula prevê vitória de Requião na polarização com Ratinho Junior no Paraná https://t.co/k1Dftg5cAY 
#LulaeRequião
#Bolsona…","""ratinho junior""",,,48181921,SeraSeSobrevive,,,3,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 09:09:08 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: Lula prevê vitória de Requião na polarização com Ratinho Junior no Paraná https://t.co/k1Dftg5cAY 
#LulaeRequião
#Bolsona…","""ratinho junior""",,,220353446,arilsonchiorato,,,3,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 09:04:25 GMT-0300 (Brasilia Standard Time)
RT @LeilaGermano: O PARÁ VACINANDO AS QUINHANÇA E OS COROA DE CURITIBA AGUARDANDO NAS MÃOS DE RATINHO JUNIOR,"""ratinho junior""",,,2776821819,temp0raria,,,60,0,Mon Aug 09 2021 13:39:16 GMT-0300 (Brasilia Standard Time),Sat Aug 07 2021 08:34:21 GMT-0300 (Brasilia Standard Time)
