text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@orlando_nl2 Aqui no Paraná, Ratinho Junior não quiz baixar o imposto. Governador que não pensa no povo.","""ratinho junior""",,,1120336055549481000,Regina57072617,,,0,0,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:03:52 GMT-0300 (Brasilia Standard Time)
Ratinho Junior e Chico Brasileiro destacam potencial de Foz do Iguaçu na Expo Dubai https://t.co/DjiXjLbH9g,"""ratinho junior""",,,61076349,RonildoPimentel,,,0,0,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:00:15 GMT-0300 (Brasilia Standard Time)
Ratinho Junior e Chico Brasileiro destacam potencial de Foz do Iguaçu na Expo Dubai https://t.co/OvKq4Z5uSW,"""ratinho junior""",,,1116331461253247000,NewsCabeza,,,0,0,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 10:00:15 GMT-0300 (Brasilia Standard Time)
"Carlos Massa Ratinho Júnior, governador do Paraná (@governoparana), fala na abertura do Seminário do Pacto Nacional… https://t.co/Bmrbl75ogx","""ratinho junior""",,,126364474,CNJ_oficial,,,0,1,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 09:40:13 GMT-0300 (Brasilia Standard Time)
"cadê a vacina p 20 anos, vc me prometeu governador ratinho júnior","""ratinho junior""",,,967088391128002600,apenasmatheusfr,,,0,1,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:48:23 GMT-0300 (Brasilia Standard Time)
"RT @esmaelmorais: Obra de R$ 31,66 milhões vai ajudar Ratinho Junior chegar 15 minutos mais cedo em casa, segundo prefeito Rafael Greca htt…","""ratinho junior""",,,66441340,ChikJeitoso,,,1,0,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 23:34:37 GMT-0300 (Brasilia Standard Time)
Vou até fazer uma caipirinha aqui para esquecer que vivo no Brasil de Bolsonaro e no Paraná de Ratinho Junior https://t.co/sg2QwfPgpO,"""ratinho junior""",,,1105956941229162500,cancerianer,,,0,8,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 20:55:48 GMT-0300 (Brasilia Standard Time)
"Só queria me vacinar, vou sempre reclamar do Ratinho Junior aqui até eu tomar minha vacina, principalmente pq essa… https://t.co/nmuY1dg4tM","""ratinho junior""",,,1105956941229162500,cancerianer,,,0,14,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 20:19:44 GMT-0300 (Brasilia Standard Time)
"@SandroVerago @Haddad_Fernando Ratinho Junior, sem vergonha, 

Congelou a progressão dos servidores e agora está da… https://t.co/tgWzgjSADF","""ratinho junior""",,,1248986130692878300,Alter75896591,,,0,1,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:46:05 GMT-0300 (Brasilia Standard Time)
Ratinho Junior e Chico Brasileiro destacam potencial de Foz do Iguaçu na Expo Dubai https://t.co/l5ziycHWUV https://t.co/xGGbysVzoa,"""ratinho junior""",,,2304538825,elofoz,,,0,0,Thu Aug 19 2021 10:08:30 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:43:09 GMT-0300 (Brasilia Standard Time)
