text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@onconaras Esse desgraçado essa destruindo meu MS, o nome dele é Reinaldo Azambuja mas aqui ele é conhecido como Propinaldo Azambuja","""reinaldo azambuja""",,,1250293300344418300,Bolsokid02,,,0,1,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:03:54 GMT-0300 (Brasilia Standard Time)
"No aniversário do São Julião, governador anuncia recursos para criação do #HospitaldoIdoso: O governador Reinaldo A… https://t.co/OHa5VzxA1r","""reinaldo azambuja""",,,865924822324457500,tererenewsms,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 16:08:07 GMT-0300 (Brasilia Standard Time)
"https://t.co/hLtEmlTZKf 

*Cumprindo agenda na manhã desta quinta feira (05) com o governador Reinaldo Azambuja em… https://t.co/95DNVqsghl","""reinaldo azambuja""",,,177221949,itaporamsnews,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 11:50:16 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja anuncia novas Escolas de Autoria em Mato Grosso do Sul https://t.co/52rK9Kl6Ih https://t.co/ZtzYSZunYr,"""reinaldo azambuja""",,,46162753,CapitalNews,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 04:29:56 GMT-0300 (Brasilia Standard Time)
"Reinaldo Azambuja: orgulho de Mato Grosso do Sul, o Estado que mais vacina – GRITO MS https://t.co/bNjNRNO1lx","""reinaldo azambuja""",,,1303091455645360000,CGritoms,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 14:23:34 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja orgulho de Mato Grosso do Sul o Estado que mais vacina https://t.co/yJ4OaADeIb,"""reinaldo azambuja""",,,68833388,hosanadelurdes,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 10:47:29 GMT-0300 (Brasilia Standard Time)
"Mais um concurso da área da Educação vem aí! O governador do Mato Grosso do Sul, Reinaldo Azambuja, anunciou novo c… https://t.co/B7ni2FJ354","""reinaldo azambuja""",,,1417228951181738000,EmAudioConcurso,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 10:20:17 GMT-0300 (Brasilia Standard Time)
"Reinaldo Azambuja: orgulho de Mato Grosso do Sul, o Estado que mais vacina - https://t.co/TyaZ9fnqII https://t.co/5ReT4WvXtl","""reinaldo azambuja""",,,1125479023847583700,MidiaNewsBR,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 08:20:30 GMT-0300 (Brasilia Standard Time)
"Reinaldo Azambuja: orgulho de Mato Grosso do Sul, o Estado que mais vacina - Acesse https://t.co/pfNxU0B2Uj https://t.co/iuy6J7oLeQ","""reinaldo azambuja""",,,1204113401326256000,msnoticias_ms,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 07:16:58 GMT-0300 (Brasilia Standard Time)
"Reinaldo Azambuja: orgulho de Mato Grosso do Sul, o Estado que mais vacina
https://t.co/T8iZNEFHiT","""reinaldo azambuja""",,,1118529656800653300,ms_olhar,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 07:00:27 GMT-0300 (Brasilia Standard Time)
"Em reunião com secretários, Reinaldo Azambuja pede esforço concentrado para cumprimento dos contratos de gestão https://t.co/sCiCukfh0y","""reinaldo azambuja""",,,987735675897249800,MSHoje_combr,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 16:20:41 GMT-0300 (Brasilia Standard Time)
"Durante visita a uma escola pública em Campo Grande, o governador Reinaldo Azambuja anunciou a abertura de concurso… https://t.co/wWKba5dv4c","""reinaldo azambuja""",,,44422086,bomdiadourados,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 15:07:38 GMT-0300 (Brasilia Standard Time)
"PERDEU MAIS UMA;
com derrotas seguidas na justiça o Governador Corrupto, Canalha e Bandido do REINALDO AZAMBUJA (PS… https://t.co/VlYFdA9LlJ","""reinaldo azambuja""",,,1121230319875706900,tiagovargasms,,,0,2,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 12:05:58 GMT-0300 (Brasilia Standard Time)
"Na volta às aulas, Reinaldo Azambuja destaca investimento de R$ 289 milhões em reformas de escolas: Mais de 200 mil… https://t.co/2gTfUc9pcp","""reinaldo azambuja""",,,865924822324457500,tererenewsms,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 16:42:03 GMT-0300 (Brasilia Standard Time)
"Depois de 16 meses os alunos da Rede Estadual de Ensino estão de volta às aulas presenciais. Durante esse período,… https://t.co/o8ab9CEBF4","""reinaldo azambuja""",,,233659698,GovernoMS,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 15:45:01 GMT-0300 (Brasilia Standard Time)
"Na volta às aulas, Reinaldo Azambuja destaca investimento de R$ 289 milhões em reformas de escolas https://t.co/EH7Kby0ZOc","""reinaldo azambuja""",,,987735675897249800,MSHoje_combr,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 15:40:52 GMT-0300 (Brasilia Standard Time)
"Na volta às aulas, Reinaldo Azambuja destaca investimento de R$ 289 milhões em reformas de escolas https://t.co/bMuAqYGaxj","""reinaldo azambuja""",,,2848626149,Maracajuemfoco,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 15:07:28 GMT-0300 (Brasilia Standard Time)
"Na volta às aulas, Reinaldo Azambuja destaca investimento de R$ 289 milhões em reformas de escolas https://t.co/BgtEiaI8jk","""reinaldo azambuja""",,,2848626149,Maracajuemfoco,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 15:07:14 GMT-0300 (Brasilia Standard Time)
Governador de MS abriu diálogo com os EUA em busca de investimentos internacionais em reunião organizada pela Funda… https://t.co/P1f6gvskek,"""reinaldo azambuja""",,,1405613245617119200,mspostnoticias,,,0,1,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 11:34:47 GMT-0300 (Brasilia Standard Time)
Nossos gestores participaram de uma reunião organizada pela Fundação R20 em parceria com os “governadores pelo clim… https://t.co/8c3XKgBqf2,"""reinaldo azambuja""",,,233659698,GovernoMS,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 10:33:49 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja abre diálogo com governo americano para investimentos no Pantanal e Rio Taquari https://t.co/bYebNyFaM2,"""reinaldo azambuja""",,,987735675897249800,MSHoje_combr,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Sat Jul 31 2021 11:33:16 GMT-0300 (Brasilia Standard Time)
Governo reestrutura funções da Segurança Patrimonial para melhorar qualidade dos serviços: O governador Reinaldo Az… https://t.co/rWjP0R1Mip,"""reinaldo azambuja""",,,865924822324457500,tererenewsms,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Sat Jul 31 2021 10:50:36 GMT-0300 (Brasilia Standard Time)
@Ce_Go_Mo O governador tucano (Reinaldo Azambuja) e o prefeito tucano (Ângelo Guerreiro) também.,"""reinaldo azambuja""",,,718071712,GabrielIssao,,,0,1,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Fri Jul 30 2021 21:33:22 GMT-0300 (Brasilia Standard Time)
Governador quer investimento americano para o #Pantanal e Bacia do Rio Taquari: O governador Reinaldo Azambuja abri… https://t.co/Y6RSf5UoG3,"""reinaldo azambuja""",,,865924822324457500,tererenewsms,,,0,0,Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time),Fri Jul 30 2021 19:41:05 GMT-0300 (Brasilia Standard Time)
