text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@Reinaldo45psdb Governo de Reinaldo Azambuja trazendo emprego e renda para a população de MS , promovendo  bem esta… https://t.co/c8EquCsiFL","""reinaldo azambuja""",,,1422340373041533000,patravaglia,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 15:55:36 GMT-0300 (Brasilia Standard Time)
O governador @Reinaldo45psdb propôs um projeto de lei que reduz ICMS da conta de luz para zerar impacto na bandeira… https://t.co/GbCtEzR2xU,"""reinaldo azambuja""",,,39931528,PSDBoficial,,,0,6,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 15:31:00 GMT-0300 (Brasilia Standard Time)
"RT @VeigaJuscelina: @Viviane09892890 No Estado onde moro MS é o Reinaldo Azambuja, aqui é difícil político bom, um pior que o outro","""reinaldo azambuja""",,,1401283285876084700,conservadorded4,,,3,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 11:00:45 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja reduz ICMS da conta de luz para zerar impacto do imposto na bandeira vermelha https://t.co/f0nO8wyNT0,"""reinaldo azambuja""",,,210432753,jornaldanova,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 08:25:25 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja reduz ICMS da conta de luz para zerar impacto do imposto na bandeira vermelha -… https://t.co/7aFmlzF32p,"""reinaldo azambuja""",,,1125479023847583700,MidiaNewsBR,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Thu Aug 19 2021 07:56:56 GMT-0300 (Brasilia Standard Time)
"RT @VeigaJuscelina: @Viviane09892890 No Estado onde moro MS é o Reinaldo Azambuja, aqui é difícil político bom, um pior que o outro","""reinaldo azambuja""",,,67865633,tovaga,,,3,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:23:09 GMT-0300 (Brasilia Standard Time)
"RT @VeigaJuscelina: @Viviane09892890 No Estado onde moro MS é o Reinaldo Azambuja, aqui é difícil político bom, um pior que o outro","""reinaldo azambuja""",,,1288953941678534700,nascime89,,,3,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 19:04:55 GMT-0300 (Brasilia Standard Time)
"Após seis adiamentos e por unanimidade, ministros negam agravo do Ministério Público Federal - MPF e mantém desmemb… https://t.co/Oa5ZAJ5Y0B","""reinaldo azambuja""",,,153482894,edibitencourt,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 18:54:24 GMT-0300 (Brasilia Standard Time)
"@Viviane09892890 No Estado onde moro MS é o Reinaldo Azambuja, aqui é difícil político bom, um pior que o outro","""reinaldo azambuja""",,,1332716569680601000,VeigaJuscelina,,,3,6,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 18:51:50 GMT-0300 (Brasilia Standard Time)
"Na Famasul, Reinaldo Azambuja anuncia equipamentos e programas para garantir segurança e produtividade – GRITO MS https://t.co/HHvIeycMtn","""reinaldo azambuja""",,,1303091455645360000,CGritoms,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 15:07:09 GMT-0300 (Brasilia Standard Time)
"Na Famasul, Reinaldo Azambuja anuncia equipamentos e programas para garantir segurança e produtividade: Na posse da… https://t.co/he0xDW2PZQ","""reinaldo azambuja""",,,865924822324457500,tererenewsms,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 11:58:03 GMT-0300 (Brasilia Standard Time)
"Reinaldo Azambuja cumpre agenda pública no interior com entrega de obras
https://t.co/AhQNE99YZV https://t.co/ihW3vxvEVd","""reinaldo azambuja""",,,246745437,siteconjuntura,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Wed Aug 18 2021 07:35:37 GMT-0300 (Brasilia Standard Time)
"Lista dos governadores contra o STF:

Gladson Cameli (AC)
Wilson Lima  (AM)
Caiado (GO)
Mauro Mendes (MT)
Reinaldo… https://t.co/FOLCdSeNO9","""reinaldo azambuja""",,,1415046072838332400,Avery89586650,,,0,2,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 18:34:26 GMT-0300 (Brasilia Standard Time)
RT @fabiofelixdf: A informação mais importante dessa notícia é: 13 governadores não assinaram a carta em solidariedade ao STF contra os ata…,"""reinaldo azambuja""",,,280699961,folkloresadness,,,85,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 17:42:30 GMT-0300 (Brasilia Standard Time)
"Na Famasul, Reinaldo Azambuja anuncia equipamentos e programas para garantir segurança e produtividade https://t.co/BwDb8TATB8","""reinaldo azambuja""",,,987735675897249800,MSHoje_combr,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 15:31:14 GMT-0300 (Brasilia Standard Time)
"RT @curimim: Não endossaram o manifesto os governadores Gladson Cameli (PP) do Acre, Wilson Lima (PSC) do Amazonas, Ronaldo Caiado (DEM) de…","""reinaldo azambuja""",,,1918176578,cludio_top02,,,3,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 15:19:48 GMT-0300 (Brasilia Standard Time)
"RT @curimim: Não endossaram o manifesto os governadores Gladson Cameli (PP) do Acre, Wilson Lima (PSC) do Amazonas, Ronaldo Caiado (DEM) de…","""reinaldo azambuja""",,,1256394769808404500,SoaresBaima,,,3,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 14:50:22 GMT-0300 (Brasilia Standard Time)
"RT @curimim: Não endossaram o manifesto os governadores Gladson Cameli (PP) do Acre, Wilson Lima (PSC) do Amazonas, Ronaldo Caiado (DEM) de…","""reinaldo azambuja""",,,1254800869801017300,FabioIzFe,,,3,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 14:46:14 GMT-0300 (Brasilia Standard Time)
"Não endossaram o manifesto os governadores Gladson Cameli (PP) do Acre, Wilson Lima (PSC) do Amazonas, Ronaldo Caia… https://t.co/kQ9nva9GyU","""reinaldo azambuja""",,,216515869,curimim,,,3,11,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 14:45:30 GMT-0300 (Brasilia Standard Time)
@pombo_miope Faltou o Reinaldo Azambuja no lugar do Moisés 😥,"""reinaldo azambuja""",,,929717859080724500,LuccaScaranello,,,0,1,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 11:28:37 GMT-0300 (Brasilia Standard Time)
"Reinaldo Azambuja (PSDB) do Mato Grosso do Sul, Romeu Zema (NOVO) de Minas Gerais, Helder Barbalho (MDB) do Pará, R… https://t.co/Ethu6aourW","""reinaldo azambuja""",,,1040695592937250800,liabarroso6,,,0,1,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 10:36:50 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja também não https://t.co/norhGxHlmG,"""reinaldo azambuja""",,,15901008,_junz,,,0,0,Thu Aug 19 2021 19:51:25 GMT-0300 (Brasilia Standard Time),Tue Aug 17 2021 10:35:13 GMT-0300 (Brasilia Standard Time)
