text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
Reinaldo Azambuja destaca efetividade no controle aos incêndios e condena a destruição de pontes… https://t.co/KsZt0d8KBX,"""reinaldo azambuja""",,,1405643345842614300,ValdovirJose,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 18:14:28 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja promove oficiais do Corpo de Bombeiros por merecimento e antiguidade https://t.co/rCRxhfHcbg,"""reinaldo azambuja""",,,987735675897249800,MSHoje_combr,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:31:22 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja destaca efetividade no controle aos incêndios e condena a destruição de pontes https://t.co/YjsMiq17z4,"""reinaldo azambuja""",,,987735675897249800,MSHoje_combr,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:22:44 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja firma convênio com universidades para abrir 250 vagas de estágio no governo https://t.co/AoAyGwtAEc,"""reinaldo azambuja""",,,987735675897249800,MSHoje_combr,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 17:11:14 GMT-0300 (Brasilia Standard Time)
"Mato Grosso do Sul lança campanha de promoção nacional e internacional, anuncia credenciados do “Incentiva  MS Turi… https://t.co/GsOjXW8QWR","""reinaldo azambuja""",,,74446821,visitmsoficial,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 16:20:42 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja destaca efetividade no controle aos incêndios e condena a destruição de pontes -… https://t.co/w3xbrFtXdK,"""reinaldo azambuja""",,,1125479023847583700,MidiaNewsBR,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 16:15:42 GMT-0300 (Brasilia Standard Time)
Reinaldo Azambuja firma convênio com universidades para abrir 250 vagas de estágio no governo… https://t.co/hmIVSEaYTO,"""reinaldo azambuja""",,,1975379574,JORNALCORREIOMS,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 15:19:07 GMT-0300 (Brasilia Standard Time)
"@padilhando Em Mato Grosso do Sul, foi Reinaldo Azambuja. Esse é o maior genocida do Estado de mato grosso do Sul,","""reinaldo azambuja""",,,2769103426,VandolimaL,,,0,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:50:08 GMT-0300 (Brasilia Standard Time)
"RT @horamsnoticias: Reinaldo Azambuja sai otimista de encontro com o presidente do Paraguai, Mário Abdo https://t.co/DTzLVfl1yp","""reinaldo azambuja""",,,183881744,MariaLuzPy,,,1,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 12:22:02 GMT-0300 (Brasilia Standard Time)
"Reinaldo Azambuja sai otimista de encontro com o presidente do Paraguai, Mário Abdo https://t.co/DTzLVfl1yp","""reinaldo azambuja""",,,1087463595527598100,horamsnoticias,,,1,0,Wed Aug 25 2021 19:47:37 GMT-0300 (Brasilia Standard Time),Tue Aug 24 2021 20:37:33 GMT-0300 (Brasilia Standard Time)
