text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,174101972,hawkeyepierce57,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:12:06 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,170818922,telmamenezes,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:06:37 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,975750149464117200,CarlosSobrinh14,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:49:25 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,813967874,OrlandoReis4,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:47:51 GMT-0300 (Brasilia Standard Time)
"@kin_euzebio @alexaguiarpoa @alexandre @STF_oficial Ameaça que esses bandidos como Rui Costa, Helder Barbalho, Fáti… https://t.co/stn4eXMWGf","""renan filho""",,,1199572678543368200,Blankazangadao1,,,0,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:45:20 GMT-0300 (Brasilia Standard Time)
"@STF_oficial Eu tô querendo saber é dos processos dos bandidos ( Renan, filho do Renan, Aziz ) que o STF engavetou no fundo das  gavetas….","""renan filho""",,,61479926,Vmppamp,,,0,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:37:04 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,109995613,Sao4545,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:36:24 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,149355990,brazil1936,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:35:32 GMT-0300 (Brasilia Standard Time)
"@Collor Último mandato dele!!! Essa é a razão dele tentar puxar  saco do presidente, tem apenas uma vaga para o sen… https://t.co/nAq6rqiDG9","""renan filho""",,,371583451,MaisabarraMaia,,,0,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 08:22:52 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,4780532952,JoelPsic,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:35:41 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,449194238,BambinoSergio,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:13:12 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,355900046,RGLAMOUNIER,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:09:52 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,948859644365164500,ademir_strutz,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:05:42 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1170476984239108000,InaraBirnfeld,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:02:44 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,282189557,YonneSantiago,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:02:17 GMT-0300 (Brasilia Standard Time)
"Vc sabia? Renan, filho de Bolsonaro, usou de graça empresa contratada pelo governo 
 https://t.co/3pteeXB9n2","""renan filho""",,,1310544008377229300,BolsonarosFatos,,,0,1,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:00:17 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,2164465716,LeonardoRagram,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 07:00:07 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1424704696577630200,VElavadores,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:54:39 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1353288318394445800,CgcdeCamargo,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:48:04 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1382793181360754700,yasmin38conta2,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:46:36 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1419046593567854600,Aparecida101964,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:45:46 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1159800257565331500,ChristinaFonse7,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:41:56 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,337591551,lssposito,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:36:22 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,918763567,nelsonf555,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:34:35 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1053425375265677300,mgpd1955,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 06:22:21 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1344280814977167400,dariocorrea1728,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 05:46:28 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1406194267467534300,DEUSPtriaeFaml3,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 05:45:29 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,733678814660841500,Rita58BR,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 05:22:17 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,3063640900,mariomil691,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 05:19:44 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,705457182,CarlosStama,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 05:19:14 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1932159206,mineisandrade,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 04:49:30 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,2871269956,afatti391,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 04:33:04 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1081407529605890000,NeoSzymanski,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 04:32:33 GMT-0300 (Brasilia Standard Time)
"RT @nelsonpaffi: Esse discurso foi na cara dos membros da CPI:
- Renan (filho e irmão envolvidos em corrupção da Saúde);
- Omar Aziz (espos…","""renan filho""",,,1202101624912720000,JosBarbosadeAn2,,,158,0,Fri Aug 13 2021 09:26:53 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 04:16:42 GMT-0300 (Brasilia Standard Time)
