text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Fátima Bezerra (PT-RN);
Renan Filho (MDB-AL);
Belivaldo Chagas (PSD-SE);
Ibaneis Rocha (MDB-DF);
Waldez Goés (PDT-AP).","""renan filho""",,,1059081124910121000,MarcusASoares,,,0,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:32:37 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, Wellington D…","""renan filho""",,,1105275851577397200,stefanovilarim,,,5,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:05:41 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1250906697197125600,RighiRoselene,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:58:48 GMT-0300 (Brasilia Standard Time)
"Os que apoiam o STF, não reeleger:
RUI COSTA BA
FLÁVIO DINO MÁ
PAULO CÂMARA PÉ
JOÃO DORIA SP
EDUARDO LEITE RS
CAMIL… https://t.co/0agfZ3IqAs","""renan filho""",,,4784149340,olivo_altamir,,,0,1,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:52:38 GMT-0300 (Brasilia Standard Time)
"RT @MarcosQuezado1: NOTA/APOIO AO ŠŤF,ASSINAM:
DF, Ibaneis Rocha; BA, Rui Costa; MA,Flávio Dino; PE-Paulo Câmara; SP,Doria; RS, Eduardo Lei…","""renan filho""",,,770282259727413200,deiag1973,,,14,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:48:51 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1365898412911132700,Daniela00973721,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:46:19 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1296402037073207300,ArieliAguiar7,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:40:47 GMT-0300 (Brasilia Standard Time)
"RT @AlexBrasil_1414: Governadores fechados com o STF:

COSTA (PT-BA), DINO (PCdoB-MA),  CÂMARA (PSB-PE), DÓRIA (PSDB-SP), LEITE (PSDB-RS),…","""renan filho""",,,1368581527353892900,TonPolitica,,,20,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:40:31 GMT-0300 (Brasilia Standard Time)
"Além de Casagrande, assinam a nota os governadores de Alagoas, Renan Filho (MDB); Amapá, Waldez Góes (PDT); Bahia,… https://t.co/j3X9vOKY8E","""renan filho""",,,1426778218170835000,ElberFidelis4,,,0,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:37:34 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,53664668,IbsenGR,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:36:42 GMT-0300 (Brasilia Standard Time)
"RT @MarcosQuezado1: NOTA/APOIO AO ŠŤF,ASSINAM:
DF, Ibaneis Rocha; BA, Rui Costa; MA,Flávio Dino; PE-Paulo Câmara; SP,Doria; RS, Eduardo Lei…","""renan filho""",,,3396407717,miro_douglas,,,14,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:31:54 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1256978721157898200,MarciaMenegas,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:31:36 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1189372291563643000,BiaNubes,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:27:59 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: O escândalo do #RenanSabiaDeTudo trouxe mais uma vez o GABAS p/ os holofotes

Proteger Gabas significa:
-Não investigar os res…","""renan filho""",,,1236162994943516700,BolsonaroRosane,,,3955,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:16:39 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,3179258764,pcatuba,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:14:22 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: Camilo Santana (PT);
 da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, Well…","""renan filho""",,,164291244,MarciaGraminhan,,,1,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:06:23 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, Wellington D…","""renan filho""",,,833480753413492700,AraujoArmanda,,,5,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:57:29 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1223778515805442000,DestraGatinha,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:56:52 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, Wellington D…","""renan filho""",,,1100824195502624800,Rosemei34368445,,,5,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:55:40 GMT-0300 (Brasilia Standard Time)
"RT @MarcosQuezado1: NOTA/APOIO AO ŠŤF,ASSINAM:
DF, Ibaneis Rocha; BA, Rui Costa; MA,Flávio Dino; PE-Paulo Câmara; SP,Doria; RS, Eduardo Lei…","""renan filho""",,,64765373,7RicardoMiranda,,,14,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:54:57 GMT-0300 (Brasilia Standard Time)
Renan Filho assina nota de solidariedade a ministros do STF - Jornal Extra de Alagoas https://t.co/wPkg00cGpj via @ExtraAlagoas,"""renan filho""",,,48335824,ExtraAlagoas,,,0,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:52:57 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1276572727823020000,Lucasde19256078,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:51:33 GMT-0300 (Brasilia Standard Time)
"@Jambock67 Belivaldo Chagas  SE
Helder Barbalho PA
Ibaneis Rocha  DF
Flávio Dino  MA
Wellington Dias PI
Paulo Câmar… https://t.co/pzzfexiSIi","""renan filho""",,,33576610,Lysbella,,,0,1,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:50:01 GMT-0300 (Brasilia Standard Time)
"RT @RobertoRJBrasil: Estão com o STF / contra o povo:

Governadores que assinam apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Do…","""renan filho""",,,1354432437565186000,CesarNi85939384,,,10,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:46:15 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, Wellington D…","""renan filho""",,,1299898779009679400,BOLSOFLOWER,,,5,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:45:50 GMT-0300 (Brasilia Standard Time)
"TRAIDORES:
Renan Filho AL
Waldez Góes AP 
Camilo Santana CE
Renato Casagrande ES Flávio Dino MA
Helder Barbalho PA… https://t.co/IOBCOowmtz","""renan filho""",,,171589483,paulotcosta,,,0,1,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:44:00 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1150790746460557300,SimoneC89986861,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:42:47 GMT-0300 (Brasilia Standard Time)
"RT @iracemafaulhab1: @ValVega71 @AlanLopesRio 🐀Guardem esses nomes🐀
Governadores fechados com o STF
COSTA(PT-BA)
DINO(PCdoB-MA)
CÂMARA (PSB…","""renan filho""",,,844404597347225600,ValVega71,,,1,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:42:13 GMT-0300 (Brasilia Standard Time)
"Camilo Santana (PT);
 da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, W… https://t.co/x8hKuz7IWj","""renan filho""",,,1321495964776075300,SidneyO76289993,,,1,3,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:42:09 GMT-0300 (Brasilia Standard Time)
"@AlanLopesRio da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, Wellingto… https://t.co/dauZryBksT","""renan filho""",,,1321495964776075300,SidneyO76289993,,,5,11,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:40:45 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1217110470622138400,Sol26928127,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:38:31 GMT-0300 (Brasilia Standard Time)
"@patriota051 @revistaoeste Renan Filho (AL), Waldez Goés (AP), Rui Costa (BA), Camilo Santana (CE), Ibaneis Rocha (… https://t.co/PTJMrNBFjE","""renan filho""",,,79570535,BarrigaVerde_RS,,,0,2,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:35:29 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1259305899824484400,BastosJusmari,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:30:56 GMT-0300 (Brasilia Standard Time)
"da Paraíba, João Azevêdo (Cidadania);
do Espírito Santo, Renato Casagrande (PSB);
do Piauí, Wellington Dias (PT);
d… https://t.co/kNHSaEFpOp","""renan filho""",,,1361735480774193200,LuizGonzagadeL1,,,0,1,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:30:37 GMT-0300 (Brasilia Standard Time)
"RT @iracemafaulhab1: @Rodrigoraf08 @AlanLopesRio 🐀Guardem esses nomes🐀
Governadores fechados com o STF
COSTA(PT-BA)
DINO(PCdoB-MA)
CÂMARA (…","""renan filho""",,,1211990096062238700,LuFF1209,,,1,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:13:30 GMT-0300 (Brasilia Standard Time)
"RT @RobertoRJBrasil: Estão com o STF / contra o povo:

Governadores que assinam apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Do…","""renan filho""",,,847474641849405400,Genunca,,,10,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:11:51 GMT-0300 (Brasilia Standard Time)
"@bionic_trainer @AlanLopesRio @claudiocastroRJ 🐀Guardem esses nomes🐀
Governadores fechados com o STF
COSTA(PT-BA)
D… https://t.co/3qBkG6RO3a","""renan filho""",,,1548119138,iracemafaulhab1,,,0,1,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:10:26 GMT-0300 (Brasilia Standard Time)
"RT @MarcosQuezado1: NOTA/APOIO AO ŠŤF,ASSINAM:
DF, Ibaneis Rocha; BA, Rui Costa; MA,Flávio Dino; PE-Paulo Câmara; SP,Doria; RS, Eduardo Lei…","""renan filho""",,,847474641849405400,Genunca,,,14,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:10:24 GMT-0300 (Brasilia Standard Time)
"@ValVega71 @AlanLopesRio 🐀Guardem esses nomes🐀
Governadores fechados com o STF
COSTA(PT-BA)
DINO(PCdoB-MA)
CÂMARA (… https://t.co/l6gS9q7iRD","""renan filho""",,,1548119138,iracemafaulhab1,,,1,1,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:10:02 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…","""renan filho""",,,1284570665606090800,AdemirR75303179,,,29,0,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:09:48 GMT-0300 (Brasilia Standard Time)
"@Rodrigoraf08 @AlanLopesRio 🐀Guardem esses nomes🐀
Governadores fechados com o STF
COSTA(PT-BA)
DINO(PCdoB-MA)
CÂMAR… https://t.co/czuwdJz49d","""renan filho""",,,1548119138,iracemafaulhab1,,,1,1,Mon Aug 16 2021 18:35:48 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 16:09:46 GMT-0300 (Brasilia Standard Time)
