text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @Tuaregcoelho: Luiza Trajano, Huck, Moro, Rodrigo Maia, R. Pacheco, Boulos, Lula, Amoedo, Ciro Bíblico, Dória, Mandetta, Renato Casagran…","""renato casagrande""",,,1395011208399499300,Tery52359721,,,9,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:17:59 GMT-0300 (Brasilia Standard Time)
"RT @masterWCP1: #trocadepasses desinteresse do Renato, Casagrande? Por favor, vai falar merda assim la no Corinthians, meu Deus. Não tem o…","""renato casagrande""",,,1399523979862368300,corinthianszip,,,1,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:45:42 GMT-0300 (Brasilia Standard Time)
"#trocadepasses desinteresse do Renato, Casagrande? Por favor, vai falar merda assim la no Corinthians, meu Deus. Nã… https://t.co/XpWtbAsuZD","""renato casagrande""",,,233358295,masterWCP1,,,1,2,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:45:37 GMT-0300 (Brasilia Standard Time)
Renato Casagrande acha q o futebol hoje em dia é igual ao que ele praticava em 1980,"""renato casagrande""",,,46217624,maxbatera,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:42:28 GMT-0300 (Brasilia Standard Time)
"amanhã eu não estudo, vou passar o dia todo deitado obg renato casagrande","""renato casagrande""",,,1315109862628626400,kaheidior,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 22:22:04 GMT-0300 (Brasilia Standard Time)
Renato Casagrande e bancada capixaba se reúnem com ministros do Governo Federal em Brasília - Clique para ver també… https://t.co/OQdFxy4LAT,"""renato casagrande""",,,1144325204224684000,aimprensaonline,,,0,1,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 22:01:10 GMT-0300 (Brasilia Standard Time)
📷 Reposted from @brasileiro_support81 MAIS UM “PRESENTE” DO GOVERNADOR COMUNISTA RENATO CASAGRANDE! O “GOVERNADOR D… https://t.co/cog3P5VJc7,"""renato casagrande""",,,2949652317,biancabiancard1,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 19:37:33 GMT-0300 (Brasilia Standard Time)
"O governador do Estado, Renato Casagrande, junto com integrantes da bancada capixaba no Congresso Nacional, reuniu-… https://t.co/LL1oOrg35s","""renato casagrande""",,,159638345,andreczero,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 15:24:50 GMT-0300 (Brasilia Standard Time)
"O governador do Estado, Renato Casagrande, junto com integrantes da bancada capixaba no Congresso Nacional, se reun… https://t.co/tWfKhpZ9gm","""renato casagrande""",,,37757178,GovernoES,,,0,3,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 14:45:22 GMT-0300 (Brasilia Standard Time)
RT @GilvanDaFederal: Fora COMUNISTAS! 2022 temos o dever de derrotar o Desgovernador Socialista Renato Casagrande . #ForaCasagrande #VotoIm…,"""renato casagrande""",,,1401139180990779400,jana_bolsonaro,,,5,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 13:08:09 GMT-0300 (Brasilia Standard Time)
RT @GilvanDaFederal: Fora COMUNISTAS! 2022 temos o dever de derrotar o Desgovernador Socialista Renato Casagrande . #ForaCasagrande #VotoIm…,"""renato casagrande""",,,1286719590815412200,GDOcapixaba,,,5,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 12:57:50 GMT-0300 (Brasilia Standard Time)
RT @GilvanDaFederal: Fora COMUNISTAS! 2022 temos o dever de derrotar o Desgovernador Socialista Renato Casagrande . #ForaCasagrande #VotoIm…,"""renato casagrande""",,,32607650,nelsontavares,,,5,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 12:48:44 GMT-0300 (Brasilia Standard Time)
RT @GilvanDaFederal: Fora COMUNISTAS! 2022 temos o dever de derrotar o Desgovernador Socialista Renato Casagrande . #ForaCasagrande #VotoIm…,"""renato casagrande""",,,772218985194647600,Marques20IvoMax,,,5,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 12:02:15 GMT-0300 (Brasilia Standard Time)
Fora COMUNISTAS! 2022 temos o dever de derrotar o Desgovernador Socialista Renato Casagrande . #ForaCasagrande… https://t.co/yP6jIuJ4Fg,"""renato casagrande""",,,1273299541786349600,GilvanDaFederal,,,5,13,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 12:00:06 GMT-0300 (Brasilia Standard Time)
@kaheidior eu to todo dia        explode renato casagrande,"""renato casagrande""",,,1399372130056351700,4ng1e____,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 11:09:16 GMT-0300 (Brasilia Standard Time)
revezamentos dia sim e dia não é horrível      explode renato casagrande,"""renato casagrande""",,,1315109862628626400,kaheidior,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 10:47:49 GMT-0300 (Brasilia Standard Time)
"Por falar em pen drive, Renato Casagrande me bloqueou! kkkkkkkkkkkkkk https://t.co/R5nk7ArwLI","""renato casagrande""",,,928376231632035800,NeyRibeiro86,,,1,2,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 22:54:42 GMT-0300 (Brasilia Standard Time)
"GOVERNADOR RENATO CASAGRANDE INICIOU NESTA SEMANA A
ENTREGA DE 60 MIL COMPUTADORES PARA ALUNOS DA REDE ESTADUAL https://t.co/Magh1lvlxn","""renato casagrande""",,,4920141502,TCricare,,,0,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 19:58:04 GMT-0300 (Brasilia Standard Time)
Acabei de pousar em Brasília e o Governador Renato Casagrande pegou uma carona no meu vôo. :B,"""renato casagrande""",,,16379760,mducasble,,,0,1,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 08:03:34 GMT-0300 (Brasilia Standard Time)
"RT @Tuaregcoelho: Luiza Trajano, Huck, Moro, Rodrigo Maia, R. Pacheco, Boulos, Lula, Amoedo, Ciro Bíblico, Dória, Mandetta, Renato Casagran…","""renato casagrande""",,,124931598,WandaWanderblit,,,9,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 18:38:57 GMT-0300 (Brasilia Standard Time)
"RT @Tuaregcoelho: Luiza Trajano, Huck, Moro, Rodrigo Maia, R. Pacheco, Boulos, Lula, Amoedo, Ciro Bíblico, Dória, Mandetta, Renato Casagran…","""renato casagrande""",,,952330961521397800,Twuitterjuliak1,,,9,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 18:31:39 GMT-0300 (Brasilia Standard Time)
"RT @Tuaregcoelho: Luiza Trajano, Huck, Moro, Rodrigo Maia, R. Pacheco, Boulos, Lula, Amoedo, Ciro Bíblico, Dória, Mandetta, Renato Casagran…","""renato casagrande""",,,1353032534511251500,MarchiJalille,,,9,0,Fri Aug 06 2021 09:12:27 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 18:10:16 GMT-0300 (Brasilia Standard Time)
