text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,1032637037202034700,SebastioRegina1,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:09 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,1233417213606056000,_PatriotaBR_,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:49 GMT-0300 (Brasilia Standard Time)
"RT @brasil247: Arthur Lira veta nomeação de Rodrigo Maia como vice-líder da oposição
https://t.co/7bZ3Qvcmj2","""rodrigo maia""",,,1096798380,GustavoM2014,,,18,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:38 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,866095743307829200,RaCampos1,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:26:20 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,707612988,luizejani,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:25:15 GMT-0300 (Brasilia Standard Time)
@CriztinaCaztro O resultado do almoço com o Rodrigo Maia e o vice governador do dória!,"""rodrigo maia""",,,1031992068195921900,LeomardaConsol1,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:25:06 GMT-0300 (Brasilia Standard Time)
"RT @BobJeffRoadKing: Rodrigo Maia se tornou vice-líder da oposição na Câmara, em bloco comandado por Molon e que tem deputados do Psol e PT…","""rodrigo maia""",,,2306577752,marcosrsousa,,,552,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:24:55 GMT-0300 (Brasilia Standard Time)
@revistaoeste O que será que Xande conversou no almoço com Rodrigo Maia!,"""rodrigo maia""",,,1354732960898031600,Ficticio13,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:24:19 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,566308325,JOAOPDEUS,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:23:56 GMT-0300 (Brasilia Standard Time)
@o_antagonista O mesmo ministro que estava em reunião com Rodrigo Maia e prefeito de sp agora prende um ex deputado… https://t.co/JGKzapNiSj,"""rodrigo maia""",,,1270829381208989700,mrheisember,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:23:42 GMT-0300 (Brasilia Standard Time)
"Programa Então! 

Tem um muito de tudo, papo reto do procurador Rodrigo Maia, jornalista Flávia Regina no previsíve… https://t.co/ZBEHlAa0KY","""rodrigo maia""",,,165567995,felipeklamt,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:23:04 GMT-0300 (Brasilia Standard Time)
Rodrigo Maia fala agora de ameaças às eleições e pedidos de impeachment | UOL News (13/08/2021)… https://t.co/kwdie4XAj1,"""rodrigo maia""",,,1283084926406086700,videoslegaison,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:23:03 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,1194952793364283400,messiasrc1963,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:22:52 GMT-0300 (Brasilia Standard Time)
@revistaoeste @FATeAtualizei Xandao se reúne com Rodrigo Maia para esta patidaria 13 de agosto de 61 se inicia a co… https://t.co/4js5aU2XIb,"""rodrigo maia""",,,1653935264,JesuinoYahoo,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:22:26 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,1387084124121440300,SampaioSilva15,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:22:07 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,2883920581,GacheMarcos,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:21:44 GMT-0300 (Brasilia Standard Time)
@RodrigoMaia Rodrigo Maia é uma piada!,"""rodrigo maia""",,,2181137972,prwgomes,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:20:58 GMT-0300 (Brasilia Standard Time)
@Rconstantino 13 de 61 inicia se a contrução do muro de berlin algum simbologismo com a data a reunião do xandao co… https://t.co/ULSEXofFX5,"""rodrigo maia""",,,1653935264,JesuinoYahoo,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:20:01 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,1057752391754412000,Ronaldo11_15,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:19:39 GMT-0300 (Brasilia Standard Time)
"RT @ToninhoDeNovo: Assunto de Corredores

Corre nos corredores do congresso que, o prato principal do almoço entre Rodrigo Maia e Alexandre…","""rodrigo maia""",,,1056057725111676900,luluzinhapreci1,,,179,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:19:29 GMT-0300 (Brasilia Standard Time)
"RT @ToninhoDeNovo: Assunto de Corredores

Corre nos corredores do congresso que, o prato principal do almoço entre Rodrigo Maia e Alexandre…","""rodrigo maia""",,,47093037,JoaoPaulo1206,,,179,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:19:27 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,1270874172693057500,BetyoliverLeite,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:18:52 GMT-0300 (Brasilia Standard Time)
"RT @BolsonaroSP: Se Rodrigo Maia entrasse na piscina o deputado federal morreria afogado.

Agora os moleques lançam o novo pão com mortadel…","""rodrigo maia""",,,1283405752770666500,WES_Oliveira_W,,,311,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:18:50 GMT-0300 (Brasilia Standard Time)
"@br_distrito @KimKataguiri Ser humano, ele está nessa luta desde 2015, inclusive tomando a frente do tema. Em vídeo… https://t.co/TdMsz94Ppu","""rodrigo maia""",,,1397678817972560000,SandroJSPassos1,,,0,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:18:48 GMT-0300 (Brasilia Standard Time)
"RT @FabioTalhari: Última do dia: Rodrigo Maia viajou para São Paulo, encontrar-se com Alexandre de Moraes e mais um, em um jatinho de Micha…","""rodrigo maia""",,,3440054212,lucasibu86,,,2005,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:18:33 GMT-0300 (Brasilia Standard Time)
"RT @tercalivre: Alexandre de Moraes, Rodrigo Maia e vice-governador almoçam juntos em São Paulo - https://t.co/X8F6xZCFa3 https://t.co/PXkz…","""rodrigo maia""",,,3440054212,lucasibu86,,,204,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:18:24 GMT-0300 (Brasilia Standard Time)
"RT @FabioTalhari: Última do dia: Rodrigo Maia viajou para São Paulo, encontrar-se com Alexandre de Moraes e mais um, em um jatinho de Micha…","""rodrigo maia""",,,47093037,JoaoPaulo1206,,,2005,0,Fri Aug 13 2021 09:27:16 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:18:22 GMT-0300 (Brasilia Standard Time)
