text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @g11memes: Caso não consiga se reeleger, Rodrigo Maia pode fazer parte do time de baleias do Parque SeaWorld  da Disney, dizem sites de…","""rodrigo maia""",,,210034442,jrdalmolim,,,1,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:01:14 GMT-0300 (Brasilia Standard Time)
RT @alencaramatos: Não é à toa que Moraes foi visto em reunião com Rodrigo Maia. Essa turma sabe que só tem chance de voltar ao poder se in…,"""rodrigo maia""",,,1266869318102454300,Fernand36924319,,,64,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:00:39 GMT-0300 (Brasilia Standard Time)
"RT @LidiaConta: Ora ora!
Quer dizer q Aécio Neves se  absteve de votar na PEC 135?
Foi retirado da comissão, sendo trocado por Rodrigo Maia…","""rodrigo maia""",,,1873658467,MagnavitaSilvia,,,177,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:58:29 GMT-0300 (Brasilia Standard Time)
"RT @marcofeliciano: E não é que o “falecido” Rodrigo Maia, agora sem relevância alguma, avança dando pitacos até sobre impeachment? Por fav…","""rodrigo maia""",,,1328471586517749800,ednalealferrei1,,,1994,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:57:07 GMT-0300 (Brasilia Standard Time)
"@MBLivre @arthurmoledoval Chamem o Rodrigo Maia! Que é amiguinho do Kim gamer, Ele é próximo do Xande e ele pode aj… https://t.co/N7X2GbdYVo","""rodrigo maia""",,,1329213274802499600,Rororo70184456,,,0,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:55:52 GMT-0300 (Brasilia Standard Time)
"RT @LidiaConta: Ora ora!
Quer dizer q Aécio Neves se  absteve de votar na PEC 135?
Foi retirado da comissão, sendo trocado por Rodrigo Maia…","""rodrigo maia""",,,529645252,rosamariaferr10,,,177,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:54:16 GMT-0300 (Brasilia Standard Time)
"RT @LidiaConta: Ora ora!
Quer dizer q Aécio Neves se  absteve de votar na PEC 135?
Foi retirado da comissão, sendo trocado por Rodrigo Maia…","""rodrigo maia""",,,1395398875624714200,Carlos86388563,,,177,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:53:09 GMT-0300 (Brasilia Standard Time)
RT @alencaramatos: Não é à toa que Moraes foi visto em reunião com Rodrigo Maia. Essa turma sabe que só tem chance de voltar ao poder se in…,"""rodrigo maia""",,,51344306,mbbarreiros,,,64,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:50:24 GMT-0300 (Brasilia Standard Time)
"RT @LidiaConta: Ora ora!
Quer dizer q Aécio Neves se  absteve de votar na PEC 135?
Foi retirado da comissão, sendo trocado por Rodrigo Maia…","""rodrigo maia""",,,1415155144157696000,william49903951,,,177,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:46:36 GMT-0300 (Brasilia Standard Time)
"RT @LidiaConta: Ora ora!
Quer dizer q Aécio Neves se  absteve de votar na PEC 135?
Foi retirado da comissão, sendo trocado por Rodrigo Maia…","""rodrigo maia""",,,977593139606294500,Cristiana_Rebel,,,177,0,Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:44:36 GMT-0300 (Brasilia Standard Time)
