text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
E o presidente Rui costa não faz acontecer o Bernardo no Benfica por empréstimo com o City a cobrir grande parte do salário?,"""rui costa""",,,761745643413049300,jamudeioarroba,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:20 GMT-0300 (Brasilia Standard Time)
@maldsuado E tem o Rui Costa,"""rui costa""",,,2148681992,SeromenhoVasco,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:05:42 GMT-0300 (Brasilia Standard Time)
"Governador Rui Costa lamenta suspensão da compra da vacina Sputnik-V #chicosabetudo 

https://t.co/RuhqKahP0C","""rui costa""",,,250804213,chicosabetudo,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:54:30 GMT-0300 (Brasilia Standard Time)
"@metropole Esse verme tornou a vacina Pfizer , não quis a Xing ling q ele defende chinesa, Ah tá Rui Costa, filé pr… https://t.co/YHoAZ8bv2i","""rui costa""",,,1233478093899214800,ArtemiaSouza,,,0,1,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:54:29 GMT-0300 (Brasilia Standard Time)
"RT @icedinho: Enquanto isso na Bahia, o governador Rui Costa, tem a fórmula pra abaixar o preço do combustível... Vergonha ninguém tem. htt…","""rui costa""",,,1219937534601564200,FabioCa65820621,,,1,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:52:38 GMT-0300 (Brasilia Standard Time)
"RT @Dimaruca13: Rui Costa queres votos não é?

Bring Bernardo Home.","""rui costa""",,,1348031522645946400,vileliinha1,,,4,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:50:08 GMT-0300 (Brasilia Standard Time)
"Enquanto isso na Bahia, o governador Rui Costa, tem a fórmula pra abaixar o preço do combustível... Vergonha ningué… https://t.co/ZkxgAaI4Na","""rui costa""",,,180040549,icedinho,,,1,2,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:47:59 GMT-0300 (Brasilia Standard Time)
"A equipa UAE Emirates, onde atual já Rui Costa, Ivo e Rui Oliveira, anunciou esta sexta-feira a contratação de João… https://t.co/Xn3TnFJGax","""rui costa""",,,1257663757129580500,bizarras_de,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:36:45 GMT-0300 (Brasilia Standard Time)
"Após desistência do Consórcio Nordeste, Rui Costa praticamente 'joga a toalha' sobre vacinas russas https://t.co/mxSJFXVA3L","""rui costa""",,,126725433,metropole,,,0,2,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:36:01 GMT-0300 (Brasilia Standard Time)
"Café da Manhã do DCM com Rui Costa Pimenta - 06/08/21

https://t.co/falhiMswUH","""rui costa""",,,1195883858547429400,pohamila,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:32:54 GMT-0300 (Brasilia Standard Time)
"RT @Dimaruca13: Rui Costa queres votos não é?

Bring Bernardo Home.","""rui costa""",,,1035475412,daniferreira286,,,4,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:30:30 GMT-0300 (Brasilia Standard Time)
Rui Costa nomeia Caetano para o Conselho  da Companhia de Desenvolvimento e Ação Regional - https://t.co/SPfDPg4dY6 https://t.co/AmwY8t7HPb,"""rui costa""",,,110733622,bahianoar,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:26:16 GMT-0300 (Brasilia Standard Time)
"Rui Costa publicou decreto que encerra o toque de recolher na Bahia.

Shows e festas seguem proibidas.","""rui costa""",,,28108748,rafaelvelame,,,0,36,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:23:12 GMT-0300 (Brasilia Standard Time)
Rui Costa fortalece poder de Luiz Caetano e nomeia secretário para conselho da Companhia de Desenvolvimento e Ação… https://t.co/ZTLckssohd,"""rui costa""",,,185816093,bnews_oficial,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:15:06 GMT-0300 (Brasilia Standard Time)
@SLBenfica é avisar aí o presidente Rui Costa para abrir a pestana e começar a trabalhar o Messi. Vamos embora!! https://t.co/BTe24mlW0N,"""rui costa""",,,1318470186383671300,stickmypiece,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:09:45 GMT-0300 (Brasilia Standard Time)
"RT @juweyll: *URGENTE, VÍDEO LIBERADO para REPASSAR de 5 em 5. Contrato da VIA BAHIA ACOMUNADA com o GOVERNO PETISTA do Sr. RUI COSTA na BA…","""rui costa""",,,1393564265227985000,NancyBarbosade2,,,1089,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:01:45 GMT-0300 (Brasilia Standard Time)
Caetanos: Rui Costa entrega estádio de futebol e autoriza novos investimentos - https://t.co/t4wkjyyr6n,"""rui costa""",,,213357262,achei_sudoeste,,,0,0,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:00:06 GMT-0300 (Brasilia Standard Time)
Rui Costa critica Anvisa e Ministério da Saúde após suspensão no contrato para compra da Sputink V https://t.co/GFz000UypF,"""rui costa""",,,2977077706,TodaBahia,,,0,1,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:54:44 GMT-0300 (Brasilia Standard Time)
"@_JoaocFaria_ Mesmo. O Rui Costa é o pai deles todos, o Ayuso é o puto mais novo e o Pogacar é o que faz bullying com eles todos","""rui costa""",Portugal,"Sesimbra, Portugal",1292471175113773000,FredoliveiraC,,,0,1,Fri Aug 06 2021 09:12:24 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:42:30 GMT-0300 (Brasilia Standard Time)
