text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @atarde: Bolsonaro e João Roma sobem tom de críticas contra Rui Costa: 'Grande fiasco do PT' https://t.co/SnTfDYfXRO https://t.co/1zA106…,"""rui costa""",,,1134477010296877000,Thereza12979987,,,5,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:38:12 GMT-0300 (Brasilia Standard Time)
"@Pacifista1904 @goncicritini ""Talvez o Rui Costa não seja inocente"". Não é preciso acrescentar mais nada.","""rui costa""",,,1233848689220866000,CarlosFonte13,,,0,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:21:32 GMT-0300 (Brasilia Standard Time)
"@Prof_Adelino_ @DilmaResiste Passamos pelo mesmo aqui na Bahia, Rui Costa desmontou todo o serviço público, aqui pe… https://t.co/cbWCuw4OlT","""rui costa""",,,308014918,CRehem,,,0,1,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:17:39 GMT-0300 (Brasilia Standard Time)
"RT @Sandroka131: Incentivo ao esporte e lazer do governo Rui Costa na Bahia: Faz Atleta, Bolsa Esporte, Escolinhas de Esporte, Caravana do…","""rui costa""",,,3506114175,Gabriel6828,,,13,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:17:23 GMT-0300 (Brasilia Standard Time)
"Os bandidos  ptralhas, Rui Costa governador da Bahia zombando do povo baiano. #FORAPT 
👇👇👇👇👇👇… https://t.co/6XpOHZVQPV","""rui costa""",,,1402285453139759000,Cristia27760122,,,0,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:11:05 GMT-0300 (Brasilia Standard Time)
"RT @Estefano_lopes: O presidente Bolsonaro mandou uma indireta para o Doria.

Quanto o governador gastou com publicidade?

A entrevista foi…","""rui costa""",,,79757767,zane2109,,,4,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:08:43 GMT-0300 (Brasilia Standard Time)
"RT @Estefano_lopes: O presidente Bolsonaro mandou uma indireta para o Doria.

Quanto o governador gastou com publicidade?

A entrevista foi…","""rui costa""",,,1321868211424383000,LiraStevens1,,,4,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:04:25 GMT-0300 (Brasilia Standard Time)
"RT @Estefano_lopes: O presidente Bolsonaro mandou uma indireta para o Doria.

Quanto o governador gastou com publicidade?

A entrevista foi…","""rui costa""",,,1300877531458003000,NdiaBaptistell3,,,4,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 13:03:44 GMT-0300 (Brasilia Standard Time)
"RT @Estefano_lopes: O presidente Bolsonaro mandou uma indireta para o Doria.

Quanto o governador gastou com publicidade?

A entrevista foi…","""rui costa""",,,1414077038416351200,patriota051,,,4,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:58:43 GMT-0300 (Brasilia Standard Time)
"O presidente Bolsonaro mandou uma indireta para o Doria.

Quanto o governador gastou com publicidade?

A entrevista… https://t.co/krZ5pp1L0y","""rui costa""",,,754450453778272300,Estefano_lopes,,,4,11,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:57:48 GMT-0300 (Brasilia Standard Time)
"RT @Estefano_lopes: O presidente Bolsonaro mandou uma indireta para o Doria.

Quanta o governador gastou com publicidade?

A entrevista foi…","""rui costa""",,,1237483666194010000,mrkdefreitas2,,,1,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:56:43 GMT-0300 (Brasilia Standard Time)
"O presidente Bolsonaro mandou uma indireta para o Doria.

Quanta o governador gastou com publicidade?

A entrevista… https://t.co/PsYbMK4Rmx","""rui costa""",,,754450453778272300,Estefano_lopes,,,1,8,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:54:08 GMT-0300 (Brasilia Standard Time)
"Bolsonaro diz que PEC do voto impresso deve ser derrotada e culpa Barroso https://t.co/8thUjvDNqE

Falando a rádio… https://t.co/d0hneS6nz1","""rui costa""",,,19249489,correio24horas,,,0,6,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:45:00 GMT-0300 (Brasilia Standard Time)
BOLSONARO DESMASCARA GOVERNADOR RUI COSTA DO PT EM ENTREVISTA A RÁDIO BR... https://t.co/NWO27oQSLi via @YouTube,"""rui costa""",,,845270669508128800,jreis1958,,,0,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:35:05 GMT-0300 (Brasilia Standard Time)
"O ministro da Cidadania, @joaoromaneto, voltou a acusar o governador Rui Costa (PT) de se apropriar de obras do gov… https://t.co/WcpQbnkUkr","""rui costa""",,,1376655362300985300,OffNewsNoticias,,,0,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:25:44 GMT-0300 (Brasilia Standard Time)
"@goncicritini @ToqueJonas @ironefixe_sl E mesmo que votasse LFV não seríamos menos benfiquistas que esse Bartolo.
E… https://t.co/kVFaV55WOa","""rui costa""",,,894364546172952600,naoazies,,,0,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:20:18 GMT-0300 (Brasilia Standard Time)
vacinacao 26 ainda anos q demora rui costa 😕😕😕,"""rui costa""",,,1023014586952425500,jinunic,,,0,1,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:19:48 GMT-0300 (Brasilia Standard Time)
BOLSONARO DESMASCARA GOVERNADOR RUI COSTA DO PT EM ENTREVISTA A RÁDIO BR... https://t.co/DLSjaY8Ozo via @YouTube,"""rui costa""",,,1932755906,alcontreiras,,,0,2,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:17:51 GMT-0300 (Brasilia Standard Time)
RT @atarde: Bolsonaro e João Roma sobem tom de críticas contra Rui Costa: 'Grande fiasco do PT' https://t.co/SnTfDYfXRO https://t.co/1zA106…,"""rui costa""",,,1142971511034318800,Telma37313958,,,5,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:13:27 GMT-0300 (Brasilia Standard Time)
"@ToqueJonas @naoazies @ironefixe_sl Engraçado que eu não votei no vieira mas vou votar no rui costa, olha só 😁","""rui costa""",,,1322314720158896000,goncicritini,,,0,1,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:12:14 GMT-0300 (Brasilia Standard Time)
Agenda de Rui Costa em Monte Santo é transferida para a quarta-feira https://t.co/dOEUCrQ2lQ,"""rui costa""",,,67018874,calilanoticias,,,0,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:07:45 GMT-0300 (Brasilia Standard Time)
"O Rui Costa ainda está a ponderar se vale a pena ou não comentar.

Ele é só um homem muito ponderado.

Vocês só sab… https://t.co/8TR42vvgLX","""rui costa""",,,741013653294551000,Dimaruca13,,,0,3,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:04:45 GMT-0300 (Brasilia Standard Time)
RT @atarde: Bolsonaro e João Roma sobem tom de críticas contra Rui Costa: 'Grande fiasco do PT' https://t.co/SnTfDYfXRO https://t.co/1zA106…,"""rui costa""",,,177219032,asales7,,,5,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:02:26 GMT-0300 (Brasilia Standard Time)
RT @atarde: Bolsonaro e João Roma sobem tom de críticas contra Rui Costa: 'Grande fiasco do PT' https://t.co/SnTfDYfXRO https://t.co/1zA106…,"""rui costa""",,,72559638,blogdafeira,,,5,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:02:16 GMT-0300 (Brasilia Standard Time)
RT @atarde: Bolsonaro e João Roma sobem tom de críticas contra Rui Costa: 'Grande fiasco do PT' https://t.co/SnTfDYfXRO https://t.co/1zA106…,"""rui costa""",,,330614994,jornaldomacico,,,5,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:01:52 GMT-0300 (Brasilia Standard Time)
Bolsonaro e João Roma sobem tom de críticas contra Rui Costa: 'Grande fiasco do PT' https://t.co/SnTfDYfXRO https://t.co/1zA106i3TR,"""rui costa""",,,97281059,atarde,,,5,11,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 12:01:14 GMT-0300 (Brasilia Standard Time)
"@dancordeiro505 @GringaBrazilien Não há apóio à prisão do Galo, ela é ilegal, abusiva, arbitrária. Agora daí a conc… https://t.co/KC9rv7XpKa","""rui costa""",Brazil,"Recife, Brazil",326799964,sandraffarias,,,0,1,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 11:58:28 GMT-0300 (Brasilia Standard Time)
RT @curtolloedna: BOLSONARO DESMASCARA GOVERNADOR RUI COSTA DO PT EM ENTREVISTA A RÁDIO BR... https://t.co/Zxj3gJHx47 via @YouTube,"""rui costa""",,,482329757,ngsampa,,,1,0,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 11:58:25 GMT-0300 (Brasilia Standard Time)
"@naoazies @goncicritini @ironefixe_sl A campanha anti Rui Costa não precisa de se fazer. Os seus atos falam por si,… https://t.co/fMZeBPdJJ6","""rui costa""",,,1193324979821125600,ToqueJonas,,,0,1,Mon Aug 09 2021 13:39:06 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 11:58:07 GMT-0300 (Brasilia Standard Time)
