text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Sobre a ditadura sanitária do petista Rui Costa, um aviso: vou adotar todas as medidas possíveis, pelas vias formai… https://t.co/VcLWYL6RHn","""rui costa""",,,1025358551726940200,alexmoreirabr,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:53:50 GMT-0300 (Brasilia Standard Time)
"RT @CabineSport: Conference League: Nunca a alcunha ""Bravos Açorianos"" fez tanto sentido!

O. Ljubljana 0-1 Santa Clara (Rui Costa 73')
Agr…","""rui costa""",,,1264545240414687200,Corona_SSYT,,,18,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:45:02 GMT-0300 (Brasilia Standard Time)
"RT @CabineSport: Conference League: Nunca a alcunha ""Bravos Açorianos"" fez tanto sentido!

O. Ljubljana 0-1 Santa Clara (Rui Costa 73')
Agr…","""rui costa""",,,1090306805421539300,Fpires051,,,18,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:43:55 GMT-0300 (Brasilia Standard Time)
@joaoromaneto @AnaMariaRezen11 @jairbolsonaro @govbr Empregos que o governador e prefeito destruiram na sua maioria… https://t.co/z67Y3JZiZb,"""rui costa""",,,1405591224363401200,Luciola68148379,,,1,1,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:42:31 GMT-0300 (Brasilia Standard Time)
RT @deputadatalita: Qualquer político eleito pelo povo deve assumir a linha de frente de qualquer situação com coragem. O governador Rui Co…,"""rui costa""",,,1381788895378030600,VichtWill,,,6,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:38:41 GMT-0300 (Brasilia Standard Time)
@benfica_fm Nessa época de 19/20 em janeiro já o Rui Costa dizia em reuniões que o Lage já estava fora... um plano… https://t.co/5o8JzLTFd5,"""rui costa""",,,53187775,andrefspinto,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:31:10 GMT-0300 (Brasilia Standard Time)
"RT @CabineSport: Conference League: Nunca a alcunha ""Bravos Açorianos"" fez tanto sentido!

O. Ljubljana 0-1 Santa Clara (Rui Costa 73')
Agr…","""rui costa""",,,3974151413,shaquiri20,,,18,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:29:50 GMT-0300 (Brasilia Standard Time)
"Tudo indica que quarta vou tomar minha vacininha

fonte: pfvr bruno reis e rui costa não me tombem","""rui costa""",,,1302807566733451300,itsladybursin,,,0,4,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:29:49 GMT-0300 (Brasilia Standard Time)
"RT @CabineSport: Conference League: Nunca a alcunha ""Bravos Açorianos"" fez tanto sentido!

O. Ljubljana 0-1 Santa Clara (Rui Costa 73')
Agr…","""rui costa""",,,1043261789578911700,ivanilhas,,,18,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:26:40 GMT-0300 (Brasilia Standard Time)
"Kaka, Ronaldinho, Henry, Rui Costa and Cristiano.
My favourites.","""rui costa""",,,63507582,bizzll_,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:26:15 GMT-0300 (Brasilia Standard Time)
@ferreira_rol Ridículo esse Rui Costa escroto,"""rui costa""",,,1044591844087214100,Patyb172018,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:24:13 GMT-0300 (Brasilia Standard Time)
Deputado Prisco denuncia os contratos milionarios do governo Rui Costa do PT da Bahia e da violencia e que ja tem 7… https://t.co/iZWchAhKfT,"""rui costa""",,,745434942159544300,ricardoesanto51,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:19:58 GMT-0300 (Brasilia Standard Time)
Parece que houve benfiquistas que criticaram o Rui Costa por festejar a vitória do Benfica no jogo do Moreirense. M… https://t.co/5PUyYoDIgR,"""rui costa""",,,11862072,Gouveia,,,0,3,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:11:59 GMT-0300 (Brasilia Standard Time)
"@157ontologico4 Acho engraçado que o ato foi praticado por um grupo chamado revolução periferica, e teve preto de q… https://t.co/61p3XANs4B","""rui costa""",,,1403975156612149200,marighellamarca,,,0,1,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:09:14 GMT-0300 (Brasilia Standard Time)
"RT @VieiraSemFuturo: Findou-se o primeiro mês da presidência de Rui Costa. A bola já rola, com o regresso dos donos do clube ao seu estádio…","""rui costa""",,,1349104334009753600,NFSPEED12,,,17,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:08:39 GMT-0300 (Brasilia Standard Time)
Bahia – Rui Costa estuda fazer restrições para os que não se vacinarem https://t.co/igX6cRv0Ff,"""rui costa""",,,20913287,jorgeroriz,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:01:38 GMT-0300 (Brasilia Standard Time)
"RT @CabineSport: Conference League: Nunca a alcunha ""Bravos Açorianos"" fez tanto sentido!

O. Ljubljana 0-1 Santa Clara (Rui Costa 73')
Agr…","""rui costa""",,,1186412262757666800,s1m4o,,,18,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:01:38 GMT-0300 (Brasilia Standard Time)
"@priscilapprrii @DaniloGentili Aqui na Bahia em 2018 alguns partidos apoiaram o BolsoRui, Bolsonaro (PSL) e Rui Cos… https://t.co/PPr85Lm8Qx","""rui costa""",,,1396706448130945000,GustavoCSimoes,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 19:00:54 GMT-0300 (Brasilia Standard Time)
"BOM Debate sobre a crise política brasileira, com Rui Costa Pimenta e Nildo ... https://t.co/mhikiGDiCo via @YouTube","""rui costa""",,,110049789,SAGGIO_2,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:55:40 GMT-0300 (Brasilia Standard Time)
😠 CORNETOU! GOVERNADOR RUI COSTA FALOU DO PESO DE RODALLEGA E DO MOMENTO... https://t.co/XlDOHQ7QfZ via @YouTube,"""rui costa""",,,1319023963377422300,Lazinho19440067,,,0,0,Thu Aug 12 2021 19:54:23 GMT-0300 (Brasilia Standard Time),Thu Aug 12 2021 18:51:59 GMT-0300 (Brasilia Standard Time)
