text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"Jair Bolsonaro critica aumento de ICMS no governo Rui Costa: “faz demagogia, proselitismo e mente”; assista

https://t.co/x3u0Dl3PgW","""rui costa""",,,4482458597,TVdoSERVIDOR,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:15:24 GMT-0300 (Brasilia Standard Time)
"Jair Bolsonaro critica aumento de ICMS no governo Rui Costa: “faz demagogia, proselitismo e mente”; assista

https://t.co/yYR3oOPoze","""rui costa""",,,1273308598903419000,apbbahiaoficial,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:15:22 GMT-0300 (Brasilia Standard Time)
"Jair Bolsonaro critica aumento de ICMS no governo Rui Costa: “faz demagogia, proselitismo e mente”; assista

https://t.co/RdQqEl7Wxq","""rui costa""",,,252252657,mathiasjaimes10,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:15:19 GMT-0300 (Brasilia Standard Time)
"RT @deputadatalita: Enquanto o governador Rui Costa, do PT, põe peso nas costas do baiano, o Governo Bolsonaro busca desafogar o povo. Exce…","""rui costa""",,,2798565311,Oliverra_pintad,,,2,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:14:33 GMT-0300 (Brasilia Standard Time)
"@damadanoite14 @mauronasc1 @costa_rui @costa_rui como todo petista, tu é um bbb, né ?

burro, besta e bosta !","""rui costa""",,,896182811366969300,RSuguis,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:10:36 GMT-0300 (Brasilia Standard Time)
"Enquanto o governador Rui Costa, do PT, põe peso nas costas do baiano, o Governo Bolsonaro busca desafogar o povo.… https://t.co/ZCznvMxuVU","""rui costa""",,,1055640991200411600,deputadatalita,,,2,5,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:10:04 GMT-0300 (Brasilia Standard Time)
"RT @TecoTecoSLB: Sr. Toni, Sr. Shéu, João Vieira Pinto, Simão Sabrosa, Valdo e muitas outras glórias no Estádio da Luz, com Rui Costa a com…","""rui costa""",,,1147243159346438100,PauloVaz03,,,6,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:03:31 GMT-0300 (Brasilia Standard Time)
Rui Costa diz que Bolsonaro tem 70% de rejeição na Bahia; 'poucos partidos apoiarão o presidente nas eleições'… https://t.co/wbwOkggryn,"""rui costa""",,,29993665,feiradesantana,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:00:06 GMT-0300 (Brasilia Standard Time)
"RT @TecoTecoSLB: Sr. Toni, Sr. Shéu, João Vieira Pinto, Simão Sabrosa, Valdo e muitas outras glórias no Estádio da Luz, com Rui Costa a com…","""rui costa""",,,1101269060074029000,Big_Dvddy_,,,6,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 19:55:45 GMT-0300 (Brasilia Standard Time)
rui costa desgraçado te odeiofd,"""rui costa""",,,1183344860339802000,joshg4u,,,0,0,Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 19:54:14 GMT-0300 (Brasilia Standard Time)
