text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @o_antagonista: Ex-coordenador da Lava Jato diz que proposta mostra ""verdadeiro pavor"" da classe política em relação a Sérgio Moro e tod…","""sergio moro""",,,1317865298121396200,MarioMo85635965,,,140,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:47 GMT-0300 (Brasilia Standard Time)
"@DemocrataBR Eu quero saber qual será a narrativa que vai predominar de agora em diante, já que Bolsonaro está envo… https://t.co/eVO1POtn1U","""sergio moro""",,,23606100,drebm,,,0,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:47:20 GMT-0300 (Brasilia Standard Time)
"RT @Cristin15324344: Bom dia a todos os apoiadores e grupos de Sergio Moro
#SergioMoroVemAi
23/08/2021 https://t.co/ddZuofPAtC","""sergio moro""",,,2893471527,mvianar,,,29,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:46:02 GMT-0300 (Brasilia Standard Time)
@gabriellopes_l @ODuquedeSantana @atabyrium @wdgomes Em um sistema monárquico tradicional nunca teríamos uma Operaç… https://t.co/JbzrST9mha,"""sergio moro""",,,1232680511723708400,CartoonDiscover,,,0,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:45:12 GMT-0300 (Brasilia Standard Time)
"RT @edumilsonpapo10: Essa lei que quer impedir que Sérgio Moro seja candidato a presidente, será um grande tiro no pé dos vagabundos do con…","""sergio moro""",,,273670186,gardenhomee,,,44,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:44:56 GMT-0300 (Brasilia Standard Time)
"RT @Regina_goiana: É isso aí: Terceira via dispara.
Pra mim só existe uma única via: Sergio Moro em 2022.
#QueroMoroEm2022 https://t.co/HZc…","""sergio moro""",,,1312889824165138400,Eduardo95174250,,,16,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:44:20 GMT-0300 (Brasilia Standard Time)
"RT @opovo: Projeto que prevê novo Código Eleitoral pode impedir candidatura de Sérgio Moro em 2022.
https://t.co/fGEoN8gJpk","""sergio moro""",,,69712655,jlfleite,,,3,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:44:01 GMT-0300 (Brasilia Standard Time)
"@aguedescartoon André, você fala em ""canetada"", mas ignora deliberadamente as inúmeras irregularidades que colocara… https://t.co/ur46BtqANA","""sergio moro""",,,1144812869273489400,tatuturema,,,0,1,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:43:36 GMT-0300 (Brasilia Standard Time)
RT @alvarodias_: A proposta que pretende subtrair direitos de juízes e procuradores é inconstitucional e deve ser rechaçada. https://t.co/R…,"""sergio moro""",,,902254882488508400,ALEXANDRE141828,,,4,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:43:20 GMT-0300 (Brasilia Standard Time)
"RT @hfmagnus5: Sergio Moro censurado pelo TSE… Quem não gosta de Bolsonaro, quem não gosta de Moro, quem gosta de Lula… etc etc. Estão todo…","""sergio moro""",,,1028792524805234700,mariang24373446,,,17,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:43:05 GMT-0300 (Brasilia Standard Time)
"RT @alvarodias_: Enquanto enfraquece a lei da ficha limpa e briga para aumentar o fundão eleitoral, a Câmara tenta impedir, a toque de caix…","""sergio moro""",,,2187005844,AzFarias,,,29,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:42:54 GMT-0300 (Brasilia Standard Time)
@claudioedantas @SF_Moro @LulaOficial @jairbolsonaro Lula medo do Sérgio moro viajou meu irmão,"""sergio moro""",Brazil,"Fortaleza, Brazil",994355594810323000,Mychael041,,,0,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:42:54 GMT-0300 (Brasilia Standard Time)
"RT @edumilsonpapo10: Essa lei que quer impedir que Sérgio Moro seja candidato a presidente, será um grande tiro no pé dos vagabundos do con…","""sergio moro""",,,1292219611686023200,Agostin70006319,,,44,0,Wed Aug 25 2021 19:47:57 GMT-0300 (Brasilia Standard Time),Wed Aug 25 2021 19:41:35 GMT-0300 (Brasilia Standard Time)
