text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @PauloArana: Como eu moro na zona rural nenhuma empresa faz entrega a domicílio. Os Correios oferecem o serviço de caixa postal que é a…,moro,,,833375540342091800,boaveis,,,19,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:30 GMT-0300 (Brasilia Standard Time)
"@Rconstantino Rachadinhas, MP irá intimar investigados a apresentar provas:
""Das 27 superintendências quero apenas… https://t.co/sgjRgdE3vX",moro,,,1404760441545502700,Antonio88900903,,,0,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:15 GMT-0300 (Brasilia Standard Time)
@y2kdabi MINHAAAA INTERNEEEET ACAAABOUUU QUERIDA EU MORO NA ROÇA,moro,,,1336836302554210300,I4WIFELUC,,,0,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:14 GMT-0300 (Brasilia Standard Time)
"@sergiokaito @felipeneto Exatamente, cara eu moro no centro, CENTRO da minha cidade e eles simplesmente nao entrega… https://t.co/B2opcGeh8m",moro,,,1309563245565542400,NobodyCost,,,0,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:10 GMT-0300 (Brasilia Standard Time)
RT @oswaldojor: Sérgio Moro traiu Bolsonaro aconselhado por sua amiga maluca Joice Hasselmann. Fugiu para os Estados Unidos e quer ser cand…,moro,,,1231396111522377700,Antonio93478878,,,2262,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:08 GMT-0300 (Brasilia Standard Time)
RT @slewispng: moro num país infernal amaldiçoado por deus,moro,,,756291316196180000,sashpmtch,,,100,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:07 GMT-0300 (Brasilia Standard Time)
@sharingonyou @diogofig24 bro tou rodeado de labregos onde moro ngl,moro,,,903196215646539800,montvnv_yk,,,0,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:07 GMT-0300 (Brasilia Standard Time)
"Incrível, quando eu vou começar minha lojinha, vem a privatização dos correios, e o pior?? Moro bo c* do mundo do C… https://t.co/drXZT2eXwE",moro,,,2722288061,BugBoo1D,,,0,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:12:01 GMT-0300 (Brasilia Standard Time)
"@jaeyunpie o cabelinho mds, moro aqui.🏡",moro,,,1418682462931144700,live4beom,,,0,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:56 GMT-0300 (Brasilia Standard Time)
RT @PauloArana: Como eu moro na zona rural nenhuma empresa faz entrega a domicílio. Os Correios oferecem o serviço de caixa postal que é a…,moro,,,79786156,pretamands,,,19,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:53 GMT-0300 (Brasilia Standard Time)
"RT @mylaura_m: Carla Zambelli falando de mim.Fia,vai lá chorar no wats do Moro p proteger o governo corrupto q vc faz parte;governo esse ac…",moro,,,1313919934255239200,NeiraneteM,,,194,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:44 GMT-0300 (Brasilia Standard Time)
onde eu moro pega 01 operadora e pega mal https://t.co/fAM0WItnil,moro,,,882696860590276600,gustodie,,,0,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:29 GMT-0300 (Brasilia Standard Time)
"@JuniorManoDep Sou cearense e moro em Brasília, meus familiares e amigos vão saber o que vc fez. 2022 lembraremos de vc, inútil.",moro,,,1050207785374376000,MeloSoaresJV1,,,0,1,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:27 GMT-0300 (Brasilia Standard Time)
RT @rubiasales29: @zehdeabreu Não pode criticar as jornalistas dondocas fãs do moro pq é machismo! O que elas ajudaram a fazer com a Dilma…,moro,,,5952632,dokbr,,,2,0,Fri Aug 06 2021 09:12:49 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 09:11:12 GMT-0300 (Brasilia Standard Time)
