text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
@o_antagonista Porque será para o Moro 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,moro,,,727418634,ergodoi,,,0,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:46 GMT-0300 (Brasilia Standard Time)
"RT @LueltonB: Bolsonaro transformou o falso heroísmo de Moro em pó, afundou o MBL, eviscerou a política podre de Brasília e de governadores…",moro,,,1097560242664210400,4Edyalmeida,,,2154,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:35 GMT-0300 (Brasilia Standard Time)
@painelpolitico @diogomainardi @LulaOficial @SF_Moro Que merda heim,moro,,,87819224,darkbiel,,,0,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:33 GMT-0300 (Brasilia Standard Time)
"@anelimso amiga depende das suas intenções, se for pra frequentar a ufs eu acho que jabotiana, eu moro perto e gost… https://t.co/wH0gaPpyh5",moro,,,1129748719681888300,kikanemoyo,,,0,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:32 GMT-0300 (Brasilia Standard Time)
"RT @CentralCR7_: O mundo seria melhor se 3 pessoas seguissem aqui, tipo.... do nada, moro? https://t.co/DgriC9RuEM",moro,,,1396540413427822600,CentralDoBayern,,,2,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:22 GMT-0300 (Brasilia Standard Time)
@FernandacomPh ??? Ah eh moro fora do Brasil,moro,,,172380826,fferreiraborges,,,0,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:13 GMT-0300 (Brasilia Standard Time)
"Gasolina acabo no moro subindo ainda c passageiro, mlc quase se jogo da moto",moro,,,869705604214005800,limaafp,,,0,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:07 GMT-0300 (Brasilia Standard Time)
desculpa mas onde moro isso nao existe nao!! eh uma bengala so pra tudo https://t.co/nb5hlrgiSm,moro,,,899455709787586600,orangetheoc,,,0,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:05 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,1147997918902849500,kalgehring,,,2721,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:01 GMT-0300 (Brasilia Standard Time)
@bbhluvier KKKKSKSJKKKKK moro em sergipe alias,moro,,,937400255565500400,myghoney_,,,0,0,Mon Aug 16 2021 18:36:54 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:01 GMT-0300 (Brasilia Standard Time)
