text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @sensacionalista: Hacker que interferiu nas eleições de 2018 se chama Sérgio Moro, diz especialista
https://t.co/vIT44Dx7Rl",moro,,,219626691,_felipe_leal,,,1463,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: E percebam que os procuradores já acham ""NORMAL"" os atropelos do Sérgio Moro

O estado policialesco foi extremamente intensifi…",moro,,,1115420952156876800,MariaClaudiaTe7,,,32,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time)
"RT @sensacionalista: Hacker que interferiu nas eleições de 2018 se chama Sérgio Moro, diz especialista
https://t.co/vIT44Dx7Rl",moro,,,1101141446231580700,GalassiMarcos,,,1463,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:29 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,1087088655888511000,carla93125898,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,1211297934,nibazim,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:28 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,121551447,Josegarcian,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,772095840676610000,cesaraasantana,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time)
Moro aprontou algo hoje?,moro,,,1347382697262461000,onconaras,,,0,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:26 GMT-0300 (Brasilia Standard Time)
@jisooflowr e olha que eu moro no cu do mundo,moro,,,1248553155622768600,rosietout,,,0,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:22 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,369776468,MaxwellM_F,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:18 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,1357151978904825900,Adria75746382,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:16 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,1368590721297563600,CostaGabriel51,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:16 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,484124768,assistecquali,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,1404604724284887000,ketpfs1977,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:15 GMT-0300 (Brasilia Standard Time)
"@Michaelmouracpx @pedroquelindo @RR_VASCO @Braveelion @poetasfla1 Mlc ali viajou legal, eu nem moro na favela e n e… https://t.co/w3I3BnsHRa",moro,,,1259328106919276500,Nerez_ffc,,,0,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:14 GMT-0300 (Brasilia Standard Time)
RT @_joaodesiderio: vocês de férias no Algarve e eu moro aqui 🥱 https://t.co/orsOpQYpY7,moro,,,847925127719383000,ivoestteves,,,1,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:12 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,222936747,MavPatriota,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:12 GMT-0300 (Brasilia Standard Time)
"RT @kimpaim: Até então a MAIOR CONQUISTA da Lava-jato tinha sido PRENDER o LULA

Lula foi SOLTO e nenhum dos LAVAJATISTAS reclamou, pelo co…",moro,,,1394394483404546000,MarizaZelak,,,169,0,Sun Aug 15 2021 20:02:31 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:08 GMT-0300 (Brasilia Standard Time)
