text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"@gomes_welleson Na cidade em que eu moro atualmente não. Mas eu era feliz em BH, talvez eu volte para lá.",moro,,,4892970573,b2_dinhow,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:46 GMT-0300 (Brasilia Standard Time)
"@SammuelDSam @smurfdomuca Aqui no RJ isso dae é normalzão, kkkkk pelo menos pelos cantos que eu moro tbm é",moro,,,774961982315302900,Matheus_0260,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:38 GMT-0300 (Brasilia Standard Time)
As vezes eu esqueço que eu moro do lado do Paraguai sabe,moro,,,959618516700758000,ncldgsrch,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:36 GMT-0300 (Brasilia Standard Time)
caindo na real aqui que moro no Ceará e sou pobre então não vou no show 🤧,moro,,,1145539639291367400,bytaoso,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:36 GMT-0300 (Brasilia Standard Time)
@EdySchade se o tinder me mostrasse gente ne pq parece q moro numa cidade fantasma,moro,,,2892732083,ViciousVipere,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:31 GMT-0300 (Brasilia Standard Time)
"RT @MestreRoceiro: República de bananas de bolsonaro, de Guedes, de Moro, de Dalagnol et caterva, de Barroso da CC5 &amp; cia, de todos os jorn…",moro,,,1306422506945949700,mariangellabc,,,3,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:17 GMT-0300 (Brasilia Standard Time)
"@gomes_welleson Olha amigo, eu moro atualmente moro em Minas, com todas as características que acabou de citar. Par… https://t.co/FRbVv3xDvB",moro,,,4892970573,b2_dinhow,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:14 GMT-0300 (Brasilia Standard Time)
"@AELINSTHR0NE Ribeirão preto e região amg, mas eu moro em matão. (SP)",moro,,,1376532262758539300,maaluhcalore,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:14 GMT-0300 (Brasilia Standard Time)
"Aliás, onde eu moro hoje fica à duas quadras de um lugar que assisti um show da Fresno. Rolou uns dias antes do Tavares sair da banda.",moro,,,238107784,pabsarmento,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:11 GMT-0300 (Brasilia Standard Time)
"chega a ser cômico que quando eu to na merda e vou pedir ajuda pro meu pai, ele diz ""eu e sua mãe somos separados,… https://t.co/VuiLAFnZbc",moro,,,974105723033530400,bornfreeone_cau,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:05 GMT-0300 (Brasilia Standard Time)
Aí gnt sério tem que ter muita paciência pra morar na cidadezinha que eu moro viu,moro,,,1051885429564280800,srtanayarakaren,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:18:00 GMT-0300 (Brasilia Standard Time)
"[10/8 20:12] Manu: Eu moro em Maricá
[10/8 20:13] Manu: Aqui é uma roça em expansão
[10/8 20:13] Manu: Não tô prepa… https://t.co/IAS9vauAdv",moro,,,744953554310422500,emanuelle_gonc,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:17:35 GMT-0300 (Brasilia Standard Time)
"Onde eu moro pobre tem inveja de pobre
#TDG",moro,,,931605776833146900,xaopai_Rebeca,,,0,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:17:09 GMT-0300 (Brasilia Standard Time)
RT @manausmemess: Inimiga do frio essa cidade que eu moro,moro,,,1078339967867334700,vbeckyss,,,186,0,Tue Aug 10 2021 20:18:52 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 20:17:08 GMT-0300 (Brasilia Standard Time)
