text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @fabiofelixdf: A informação mais importante dessa notícia é: 13 governadores não assinaram a carta em solidariedade ao STF contra os ata…,"""wilson lima""",,,1330369697334911000,_Just_a_fool_,,,76,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:31:27 GMT-0300 (Brasilia Standard Time)
RT @fabiofelixdf: A informação mais importante dessa notícia é: 13 governadores não assinaram a carta em solidariedade ao STF contra os ata…,"""wilson lima""",,,1967923999,brunodePOS,,,76,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:10:50 GMT-0300 (Brasilia Standard Time)
RT @fabiofelixdf: A informação mais importante dessa notícia é: 13 governadores não assinaram a carta em solidariedade ao STF contra os ata…,"""wilson lima""",,,930651960235130900,douglas33963194,,,76,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:07:04 GMT-0300 (Brasilia Standard Time)
RT @vocativo: Governadores de 13 estados e do DF assinam carta de solidariedade ao STF contra ameaças de golpe de estado do presidente Bols…,"""wilson lima""",,,790303704427688000,EnioHerculano,,,2,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:03:55 GMT-0300 (Brasilia Standard Time)
"RT @CapitaoAte2026: 👉🏽🇧🇷 O GOVERNADOR DO AMAZONAS WILSON LIMA NÃO É DOIDO DE ASSINAR ESSA PORRA ... 

ASSINOU SE FODE EM 2022. PONTO! 

htt…","""wilson lima""",,,416606633,G0625,,,1,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:00:41 GMT-0300 (Brasilia Standard Time)
"👉🏽🇧🇷 O GOVERNADOR DO AMAZONAS WILSON LIMA NÃO É DOIDO DE ASSINAR ESSA PORRA ... 

ASSINOU SE FODE EM 2022. PONTO! 

https://t.co/2WR3Gab0WL","""wilson lima""",,,1357860559803285500,CapitaoAte2026,,,1,1,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:00:16 GMT-0300 (Brasilia Standard Time)
RT @fabiofelixdf: A informação mais importante dessa notícia é: 13 governadores não assinaram a carta em solidariedade ao STF contra os ata…,"""wilson lima""",,,1377607814949048300,vacinaja4,,,76,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:59:19 GMT-0300 (Brasilia Standard Time)
RT @fabiofelixdf: A informação mais importante dessa notícia é: 13 governadores não assinaram a carta em solidariedade ao STF contra os ata…,"""wilson lima""",,,1104766853908480000,helioassis1,,,76,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:45:27 GMT-0300 (Brasilia Standard Time)
"RT @vocativo: O prefeito David Almeida e o governador Wilson Lima são bolsonaristas, mas são tímidos pra exibir isso. Só o fazem quando ele…","""wilson lima""",,,183869726,gabssetub,,,9,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:41:36 GMT-0300 (Brasilia Standard Time)
"@DeputadoFederal Vamos lá, ...segue lista de seis que assinaram até o momento (complete a lista):
Romeu Zema - MG
W… https://t.co/21dvbOoRAA","""wilson lima""",,,1178828935,MaschioRS,,,0,0,Mon Aug 16 2021 18:35:50 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:31:55 GMT-0300 (Brasilia Standard Time)
