text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @ronodyy: ROUBARAM A CHUTEIRA DO WILSON LIMA KKKKKKKKKKKKKKKKKKKKKKKKJ OS CARA NÃO PERDOA,"""wilson lima""",,,1222117374423457800,DiulheM,,,1,0,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 17:35:10 GMT-0300 (Brasilia Standard Time)
"RT @MascarenhasT: Papo Antagonista Aug 13, 2021
“O Leão Enjaulado”

‘O Bob Jeff - o leão do bolsonarismo - tem dois irmãos abrigados no gov…","""wilson lima""",,,53379935,MascarenhasT,,,1,0,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 16:15:00 GMT-0300 (Brasilia Standard Time)
Wilson Lima também fez um apelo para que as pessoas que tomaram a primeira dose e estão no prazo de receber a segun… https://t.co/ozztlxwqpZ,"""wilson lima""",,,249234849,g1amazonas,,,0,7,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 15:41:30 GMT-0300 (Brasilia Standard Time)
passaram a mão na chuteira do wilson lima kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,"""wilson lima""",,,3409119345,joselysandro1,,,0,0,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 15:35:16 GMT-0300 (Brasilia Standard Time)
ROUBARAM A CHUTEIRA DO WILSON LIMA KKKKKKKKKKKKKKKKKKKKKKKKJ OS CARA NÃO PERDOA,"""wilson lima""",,,1358178354868936700,ronodyy,,,1,2,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 14:45:45 GMT-0300 (Brasilia Standard Time)
"@marceloramosam Tu não me representa aí nessa bancada! Outra coisa, oxigênio faltou devido a péssima gestão Wilson… https://t.co/FHCj6GNW6d","""wilson lima""",,,1331630073011724300,JlioAra88431506,,,0,0,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 13:35:55 GMT-0300 (Brasilia Standard Time)
Wilson Lima joga bola no CDC da Compensa e anuncia reforma do espaço https://t.co/AWpg4n83x5 https://t.co/4akXaZQiVO,"""wilson lima""",,,107751841,portalemtempo,,,0,6,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 13:23:25 GMT-0300 (Brasilia Standard Time)
"Papo Antagonista Aug 13, 2021
“O Leão Enjaulado”

‘O Bob Jeff - o leão do bolsonarismo - tem dois irmãos abrigados… https://t.co/fBeSAgNm7e","""wilson lima""",,,53379935,MascarenhasT,,,1,0,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 04:51:27 GMT-0300 (Brasilia Standard Time)
"@OmarAzizSenador Obrigado governador Wilson Lima, pelo início dos trabalhos de reconstrução da AM-010. Oportunistas… https://t.co/0nmR8NFROr","""wilson lima""",,,1352427393160532000,MuriloV03469096,,,0,0,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 01:14:21 GMT-0300 (Brasilia Standard Time)
Amazonas | Primeiro dia de vacinação em adolescentes levou milhares de estudantes aos postos https://t.co/3XUB3EgAVE,"""wilson lima""",,,884066356299264000,blogdaamazonia,,,0,0,Sun Aug 15 2021 20:02:02 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 00:59:25 GMT-0300 (Brasilia Standard Time)
