text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
STJ marca para 20 de setembro julgamento de denúncia contra Wilson Lima https://t.co/QSMyB7nsUx,"""wilson lima""",,,1064525116506280000,FolhaMaues,,,0,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:08:19 GMT-0300 (Brasilia Standard Time)
STJ marca para 20 de setembro julgamento de denúncia contra Wilson Lima https://t.co/qGFybitMau,"""wilson lima""",,,865308420961951700,agoraamoficial,,,0,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:06:47 GMT-0300 (Brasilia Standard Time)
"Além de Manaus, devem iniciar a imunização: Parintins, Benjamin Constant, Itapiranga, São Gabriel da Cachoeira, San… https://t.co/wBb9JCGDV6","""wilson lima""",,,842837066631340000,PortalAmazonas1,,,0,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:56:00 GMT-0300 (Brasilia Standard Time)
Superior Tribunal de Justiça (STJ) marcou o julgamento da ação penal contra Wilson Lima para 20 de setembro. O gove… https://t.co/rZJt4ByZjP,"""wilson lima""",,,33612275,vocativo,,,1,3,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:55:52 GMT-0300 (Brasilia Standard Time)
Wilson Lima anuncia vacinação contra Covid-19 para público de 12 a 17 anos e segunda dose para trabalhadores da edu… https://t.co/F9HoFTr47n,"""wilson lima""",,,2846192806,fvsamoficial,,,0,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:38:30 GMT-0300 (Brasilia Standard Time)
Amazonas | Intensificação para segunda dose começa amanhã e imunização de adolescentes na sexta-feira https://t.co/reRWCvDh30,"""wilson lima""",,,884066356299264000,blogdaamazonia,,,0,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:00:52 GMT-0300 (Brasilia Standard Time)
"@randolfeap Senador, salva sua carreira, rompe com Aziz, Calheiros, traz o Gabas pra Cpi, traz os governadores, Wit… https://t.co/B4Soe2AsaP","""wilson lima""",Brazil,"Sao Paulo, Brazil",849766637167411200,Phillipecm,,,0,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 08:57:00 GMT-0300 (Brasilia Standard Time)
TERREIRO DA FAZENDA COM WILSON LIMA-  10/08/2021 https://t.co/qVlp7Rki6S,"""wilson lima""",,,111124471,87FMNatal,,,0,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 04:35:06 GMT-0300 (Brasilia Standard Time)
RT @afolhaparintins: Wilson Lima anuncia vacinação contra Covid-19 para público de 12 a 17 anos e segunda dose para trabalhadores da educaç…,"""wilson lima""",,,1328058068383510500,soufuracoes,,,1,0,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 01:48:05 GMT-0300 (Brasilia Standard Time)
Wilson Lima anuncia vacinação contra Covid-19 para público de 12 a 17 anos e segunda dose para trabalhadores da edu… https://t.co/p616kn4mm7,"""wilson lima""",,,402424567,afolhaparintins,,,1,1,Tue Aug 10 2021 10:14:58 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 01:32:37 GMT-0300 (Brasilia Standard Time)
