text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
@freu_rodrigues @29Mattos O aras é cria do pt o Pacheco outro alcolumbre só que mais covarde,alcolumbre,Brazil,"Marabá, Brasil",1399844417310167000,DarciCosta12,,,0,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 08:57:06 GMT-0300 (Brasilia Standard Time)
@marcio37 CLONE.                                         DO ALCOLUMBRE.                     UMA  NOTA PRA ELE     0… https://t.co/fhA8DHwFKu,alcolumbre,,,1381337810481856500,diogenes_elisio,,,0,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 07:15:26 GMT-0300 (Brasilia Standard Time)
"@SenadoFederal @rpsenador Pacheco tu é muito burro igual o davi  alcolumbre era pra tu ficar do lado do povo, tu é cego é?",alcolumbre,,,280515233,jssmetal,,,0,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 05:57:33 GMT-0300 (Brasilia Standard Time)
"RT @LeoCamposLP: Do dia 1° de janeiro de 2019 até hj, alguém viu a AGU ou Ministro da Justiça(escolhido para o STF) abrir algum processo co…",alcolumbre,,,1018769078,eacompras1,,,1,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 05:50:01 GMT-0300 (Brasilia Standard Time)
"RT @malupatriota: @OsvaldoLucaF1 @davialcolumbre Saudades do Davi Alcolumbre?
Os dois e a maioria dos senadores, são mais dos mesmos. 
#Sen…",alcolumbre,,,1401440134126506000,OVigilante11,,,1,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 03:06:46 GMT-0300 (Brasilia Standard Time)
"RT @HETthePumpking: AMAZONAS
Eduardo Braga (MDB) - @EduardoBraga_AM 
Omar Aziz (PSD) - @OmarAzizSenador 
Plínio Valério (PSDB) - @PlinioVal…",alcolumbre,,,787469974176669700,Alelexaz,,,5,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 02:08:26 GMT-0300 (Brasilia Standard Time)
"RT @malupatriota: @OsvaldoLucaF1 @davialcolumbre Não existe nenhum que tenha prestado. 
Cada um pior que o outro. José Sarney, Renan Calhei…",alcolumbre,,,1032427686222876700,JamesRo01533449,,,1,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:49:05 GMT-0300 (Brasilia Standard Time)
"@OsvaldoLucaF1 @davialcolumbre Não existe nenhum que tenha prestado. 
Cada um pior que o outro. José Sarney, Renan… https://t.co/yb46FUn2cw",alcolumbre,,,1253827334555213800,malupatriota,,,1,1,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:42:55 GMT-0300 (Brasilia Standard Time)
RT @marilia_fiorini: @BobJeffRoadKing Rodrigo Pacheco é capacho do Alcolumbre que o leva pelo cabresto,alcolumbre,,,1413997328462143500,Laurinha_2050,,,1,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:31:57 GMT-0300 (Brasilia Standard Time)
@BobJeffRoadKing Rodrigo Pacheco é capacho do Alcolumbre que o leva pelo cabresto,alcolumbre,,,1412206752750309400,marilia_fiorini,,,1,6,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:18:27 GMT-0300 (Brasilia Standard Time)
"@OsvaldoLucaF1 @davialcolumbre Saudades do Davi Alcolumbre?
Os dois e a maioria dos senadores, são mais dos mesmos.… https://t.co/TVaXch5U9W",alcolumbre,,,1253827334555213800,malupatriota,,,1,1,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 01:18:05 GMT-0300 (Brasilia Standard Time)
"RT @HETthePumpking: AMAZONAS
Eduardo Braga (MDB) - @EduardoBraga_AM 
Omar Aziz (PSD) - @OmarAzizSenador 
Plínio Valério (PSDB) - @PlinioVal…",alcolumbre,,,1109142691529535500,jinflouers,,,5,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Fri Aug 06 2021 00:46:46 GMT-0300 (Brasilia Standard Time)
@BobJeffRoadKing @MLuchiari Pacheco e o Alcolumbre ensaboado,alcolumbre,,,1258463079811158000,marcoalmeida55,,,0,1,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:48:44 GMT-0300 (Brasilia Standard Time)
"Eu achava que seria impossivel alguem superar o Alcolumbre como o pior presidente do Senado, mas Pacheco levou o troféu.",alcolumbre,,,1088530549550051300,AlexAlm39194861,,,0,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:22:46 GMT-0300 (Brasilia Standard Time)
"Um ESCÂNDALO  e o Senado quieto  o Pacheco morto. Afinal,para que serve esse débil mental do Pacheco? Protótipo piorado do Alcolumbre.",alcolumbre,,,796699030420078600,Biluca12,,,0,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 23:17:20 GMT-0300 (Brasilia Standard Time)
"@BobJeffRoadKing @CelesteBrasil2 Não adianta Rodrigo Pacheco é FRACO, omisso, uma figura deplorável no senado, sena… https://t.co/mLfG77U5b4",alcolumbre,,,724531088215969800,nk050708,,,0,1,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 22:35:30 GMT-0300 (Brasilia Standard Time)
"RT @HETthePumpking: AMAZONAS
Eduardo Braga (MDB) - @EduardoBraga_AM 
Omar Aziz (PSD) - @OmarAzizSenador 
Plínio Valério (PSDB) - @PlinioVal…",alcolumbre,,,50471107,dougferr,,,5,0,Fri Aug 06 2021 09:12:45 GMT-0300 (Brasilia Standard Time),Thu Aug 05 2021 22:29:11 GMT-0300 (Brasilia Standard Time)
