text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @saulchristos: Lembram desse outro encontro, quando o STF estava prestes a decidir sobre a reeleição de Maia e Alcolumbre na Presidência…",alcolumbre,,,533584674,Carlos19931Ruan,,,610,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:47:11 GMT-0300 (Brasilia Standard Time)
@randolfeap Cadê o Senador do Amapá Alcolumbre ? @davialcolumbre,alcolumbre,,,1373055724289466400,EdilmarPessanha,,,0,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:37:31 GMT-0300 (Brasilia Standard Time)
RT @igorgadelham: Os motivos da mágoa de Alcolumbre com Bolsonaro👇🏽⁦@Metropoles⁩  https://t.co/pkpxNmiwI6,alcolumbre,,,266743730,junioralencar05,,,12,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:35:35 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,1256293731835281400,Ricardo64266735,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:30:23 GMT-0300 (Brasilia Standard Time)
@Lacerda92433676 @luluh_jinx @khuro3000 @tarcisiobenicio @arthurmoledoval @jairbolsonaro Alcolumbre não quis porque… https://t.co/4jtiFoClYf,alcolumbre,,,184424779,humanuserbot,,,0,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:27:06 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,4832483097,MaxBrasil2000,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:26:49 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,995657565907320800,EdimilsonNunes5,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:26:28 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,142869942,LoraZam,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:21:55 GMT-0300 (Brasilia Standard Time)
"RT @saulchristos: Lembram desse outro encontro, quando o STF estava prestes a decidir sobre a reeleição de Maia e Alcolumbre na Presidência…",alcolumbre,,,1231204129873199000,DuarteRomilda,,,610,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:21:11 GMT-0300 (Brasilia Standard Time)
"RT @saulchristos: Lembram desse outro encontro, quando o STF estava prestes a decidir sobre a reeleição de Maia e Alcolumbre na Presidência…",alcolumbre,,,866058788691902500,PRCS1961,,,610,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:21:09 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,1116804086408646700,Mariattlaureano,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:19:44 GMT-0300 (Brasilia Standard Time)
"RT @saulchristos: Lembram desse outro encontro, quando o STF estava prestes a decidir sobre a reeleição de Maia e Alcolumbre na Presidência…",alcolumbre,,,149669583,macedoerick,,,610,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:17:57 GMT-0300 (Brasilia Standard Time)
Coisa que todos nos perguntamos nesses últimos dias... https://t.co/q5AKdGDO9f,alcolumbre,,,1030645819333111800,l_alcolumbre,,,0,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:16:59 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,338640777,FischerHelga,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:07:16 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,893955247244288000,jluqueiroz,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:04:27 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,1238152350994518000,Joaquim30147111,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 19:02:10 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,484124768,assistecquali,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:59:09 GMT-0300 (Brasilia Standard Time)
Os impeachment tem dois obstáculos no senado: Pacheco e Alcolumbre Batoré https://t.co/H5gURNgXDh,alcolumbre,,,1006120256,Ccguima54Celso,,,0,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:56:46 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,1158200381459091500,Viviane80917412,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:41:47 GMT-0300 (Brasilia Standard Time)
"RT @Fabiano_7Cl: Estamos mergulhados nessa crise porque temos representantes do naipe de Alcolumbre, Maia e agora Pacheco!",alcolumbre,,,347570205,Cynthiahad,,,29,0,Sun Aug 15 2021 20:02:27 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 18:41:38 GMT-0300 (Brasilia Standard Time)
