text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"RT @WagnerVasconc: Inimigos declarados eram Alcolumbre e Maia; não podiam maquinar contra o presidente. Trocaram por Lira e Pacheco, que se…",alcolumbre,,,1404189459109789700,HildaFe47717533,,,2,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 10:11:46 GMT-0300 (Brasilia Standard Time)
RT @DelfinoTuito: O Alcolumbre é o maior defensor da democracia. Comprou aquele monte de trator pra montar o batalhão Cid Gomes de resistên…,alcolumbre,,,50763255,lednef,,,1,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:58:25 GMT-0300 (Brasilia Standard Time)
O Alcolumbre é o maior defensor da democracia. Comprou aquele monte de trator pra montar o batalhão Cid Gomes de resistência.,alcolumbre,,,1302358432394162200,DelfinoTuito,,,1,5,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:48:30 GMT-0300 (Brasilia Standard Time)
"RT @WagnerVasconc: Inimigos declarados eram Alcolumbre e Maia; não podiam maquinar contra o presidente. Trocaram por Lira e Pacheco, que se…",alcolumbre,,,1060589827782000600,SilasBa05720063,,,2,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 09:01:08 GMT-0300 (Brasilia Standard Time)
"Inimigos declarados eram Alcolumbre e Maia; não podiam maquinar contra o presidente. Trocaram por Lira e Pacheco, q… https://t.co/59UioRXh6k",alcolumbre,,,1187494776838545400,WagnerVasconc,,,2,7,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 08:29:08 GMT-0300 (Brasilia Standard Time)
Quando Alcolumbre marcará a sabatina de André Mendonça. https://t.co/WNP1rSu494,alcolumbre,,,113410319,jornalistavitor,,,0,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 08:27:19 GMT-0300 (Brasilia Standard Time)
"RT @bernardokuster2: Em fev/2019, quando Alcolumbre foi eleito presidente do Senado, houve 1 voto extra durante a eleição. A votação foi re…",alcolumbre,,,1052182350933708800,Cututa1,,,3736,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 08:14:06 GMT-0300 (Brasilia Standard Time)
"@laurojardim Que furo espetacular, hem, o Alcolumbre deu um golpe rsrsrsrsrsrs",alcolumbre,,,1412916404517576700,Fabiozacharia13,,,0,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 07:50:10 GMT-0300 (Brasilia Standard Time)
"RT @Levi_de_melo: @AguiarEdil @Mariada56261630 Magno Malta faz um falta tremenda nesse senado se Renan, Pacheco, FalaFina, Alcolumbre…. o e…",alcolumbre,,,1272100731974189000,AdilsonMarcosS3,,,3,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 07:41:15 GMT-0300 (Brasilia Standard Time)
@Biakicis Querem o exemplo de uma eleição com VOTO MANUAL e AUDITÁVEL? Eleição de Alcolumbre AO VIVO CONTAGEM IMEDI… https://t.co/AagC3aRPRh,alcolumbre,,,1234856330847977500,Rita15160958,,,0,0,Tue Aug 10 2021 10:15:22 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 07:10:59 GMT-0300 (Brasilia Standard Time)
