text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
@radardamidia @allanldsantos @jairbolsonaro O Barroso e o carrasco Alexandre de Moraes perderam a credibilidade mor… https://t.co/XK6u6PoEvz,alcolumbre,,,1407744030579085300,HLDERTEIXEIRA10,,,0,2,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 21:57:54 GMT-0300 (Brasilia Standard Time)
"RT @bernardokuster2: Em fev/2019, quando Alcolumbre foi eleito presidente do Senado, houve 1 voto extra durante a eleição. A votação foi re…",alcolumbre,,,1370801018238288000,BrasilJemanuel,,,3732,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 21:48:50 GMT-0300 (Brasilia Standard Time)
"RT @bernardokuster2: Em fev/2019, quando Alcolumbre foi eleito presidente do Senado, houve 1 voto extra durante a eleição. A votação foi re…",alcolumbre,,,1211707497863467000,HableOmar,,,3732,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 21:45:48 GMT-0300 (Brasilia Standard Time)
"@SenadoFederal @rpsenador Presidente do senado é um bosta, um inválido, um morto, poste, é outro que com votos impr… https://t.co/ya8Ogt74YX",alcolumbre,,,198157328,Gantzbr,,,0,1,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 21:10:45 GMT-0300 (Brasilia Standard Time)
"@guilherme_oreti @salimmattarbr @fabriciotst02 Kkkkk, cara Alcolumbre aliado de Bolsonaro, não sei em que mundo vc vive.",alcolumbre,,,51419011,CacaAlencar,,,0,1,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 21:10:00 GMT-0300 (Brasilia Standard Time)
@CacaAlencar @salimmattarbr @fabriciotst02 O alcolumbre só foi eleito por conta do apoio do Bolsonaro. Se não pauta… https://t.co/j5ppIRshQn,alcolumbre,,,725443946126651400,guilherme_oreti,,,0,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 20:50:42 GMT-0300 (Brasilia Standard Time)
"RT @SdAncelmo: @jdoriajr Lamentável vc ter ganho as eleições na carona do Presidente.
Agora se aliando com Maia e Alcolumbre.
Tira seu cava…",alcolumbre,,,803231497142632400,JosdosSantosPi5,,,6,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 18:54:13 GMT-0300 (Brasilia Standard Time)
"@guilherme_oreti @salimmattarbr @fabriciotst02 Uma coisa eu sei, Alcolumbre jamais abriria essa CPI, então, se algu… https://t.co/k1fpu93uYV",alcolumbre,,,51419011,CacaAlencar,,,0,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 18:25:41 GMT-0300 (Brasilia Standard Time)
"Alcolumbre se manifesta por escada que lhe renderá votos, mas os pedidos de impeachment dos ministros do STF que ag… https://t.co/XHUAovID6l",alcolumbre,,,1271792917816971300,Temido9,,,0,1,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 18:06:02 GMT-0300 (Brasilia Standard Time)
"@laurojardim Affif
.. esse alcolumbre não passa de. Porco imundo",alcolumbre,,,1178485053363490800,MarciaA02219012,,,0,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:53:45 GMT-0300 (Brasilia Standard Time)
@laurojardim Quem é Alcolumbre?,alcolumbre,,,1890953654,enggersoncunha,,,0,1,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:53:27 GMT-0300 (Brasilia Standard Time)
"RT @laurojardim: Para Bolsonaro, Alcolumbre está 'cada vez menos forte' | Lauro Jardim - O Globo https://t.co/02kTCnPLH5",alcolumbre,,,392806258,JSPendot,,,3,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:36:48 GMT-0300 (Brasilia Standard Time)
"RT @laurojardim: Para Bolsonaro, Alcolumbre está 'cada vez menos forte' | Lauro Jardim - O Globo https://t.co/02kTCnPLH5",alcolumbre,,,1208033564434059300,ValterdoPT,,,3,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:32:18 GMT-0300 (Brasilia Standard Time)
"RT @laurojardim: Para Bolsonaro, Alcolumbre está 'cada vez menos forte' | Lauro Jardim - O Globo https://t.co/02kTCnPLH5",alcolumbre,,,50365655,gramscista,,,3,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:27:32 GMT-0300 (Brasilia Standard Time)
"@renatobarrosbr Essa senhora concorrerá ao Senado em 2022. Tenho certeza absoluta que será chutada do Senado, assim… https://t.co/cRMOElGwhq",alcolumbre,,,1407744030579085300,HLDERTEIXEIRA10,,,0,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:24:58 GMT-0300 (Brasilia Standard Time)
"@allanldsantos Se depender do Alcolumbre 2.0 (ops, Rodrigo Pacheco) já passou.
Estamos chegando num ponto onde vai… https://t.co/G4lu3D7EPY",alcolumbre,,,1407176775046779000,Muleketransant5,,,0,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:23:18 GMT-0300 (Brasilia Standard Time)
"Para Bolsonaro, Alcolumbre está 'cada vez menos forte' | Lauro Jardim - O Globo https://t.co/02kTCnPLH5",alcolumbre,,,204368952,laurojardim,,,3,17,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:21:54 GMT-0300 (Brasilia Standard Time)
"@CoronelTadeu Um médico foi assassinado diante da esposa e filhos em Guarujá, Perequê, após almoçar por um ""jovem""… https://t.co/Hn3ybchRf4",alcolumbre,,,1264264599878209500,eustaquio_celso,,,0,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:16:12 GMT-0300 (Brasilia Standard Time)
"Com articulação d Davi Alcolumbre, o Mini d Defesa liberou ontem (2) recursos p a aquisição de veículos utilitários… https://t.co/ePsmqgdPPN",alcolumbre,,,316382336,Rudinho3,,,0,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:16:03 GMT-0300 (Brasilia Standard Time)
"RT @Muleketransant5: @mitags Se depender do Alcolumbre 2.0 (ops, Rodrigo Pacheco) vai passar !!!",alcolumbre,,,16461476,egty,,,1,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:15:50 GMT-0300 (Brasilia Standard Time)
"deve ser difícil o presidente falar nesses discursos de posse, rasgando elogios para Ciro Nogueira, Alcolumbre e Pa… https://t.co/b1Wau6TuGk",alcolumbre,,,1189625661729788000,RosanaA80357793,,,0,2,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:10:52 GMT-0300 (Brasilia Standard Time)
"@mitags Se depender do Alcolumbre 2.0 (ops, Rodrigo Pacheco) vai passar !!!",alcolumbre,,,1407176775046779000,Muleketransant5,,,1,2,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:09:32 GMT-0300 (Brasilia Standard Time)
“Davi Alcolumbre cada vez menos forte. Ainda bem!” kkkkkkkkk,alcolumbre,,,706612781185945600,olucasmensil,,,0,1,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:04:39 GMT-0300 (Brasilia Standard Time)
"Bolsonaro ligou o modo simpaticão e falsiane.
Ahahahhahahahaha
Elogiando a perda de peso do Alcolumbre.",alcolumbre,Brazil,"Goiânia, Brazil",1142544021283381200,nath_barbosa,,,0,1,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 17:04:03 GMT-0300 (Brasilia Standard Time)
"RT @Pikkasonse: Tava na cara, desde a época em que ele pedia pra não criticar o Rodrigo Maia, o Alcolumbre e até o pessoal do 57F.

Esquece…",alcolumbre,,,1252184034857410600,dmvp20,,,5,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 16:24:47 GMT-0300 (Brasilia Standard Time)
"RT @Pikkasonse: Tava na cara, desde a época em que ele pedia pra não criticar o Rodrigo Maia, o Alcolumbre e até o pessoal do 57F.

Esquece…",alcolumbre,,,30585720,mmpalha64,,,5,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 16:20:32 GMT-0300 (Brasilia Standard Time)
@rpsenador Esse está pior que o Alcolumbre,alcolumbre,,,1350418209430777900,Ferreir10546414,,,0,1,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 16:12:37 GMT-0300 (Brasilia Standard Time)
"RT @Pikkasonse: Tava na cara, desde a época em que ele pedia pra não criticar o Rodrigo Maia, o Alcolumbre e até o pessoal do 57F.

Esquece…",alcolumbre,,,3057269241,marcos160162,,,5,0,Wed Aug 04 2021 22:14:04 GMT-0300 (Brasilia Standard Time),Wed Aug 04 2021 15:42:09 GMT-0300 (Brasilia Standard Time)
