text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
"BELIVALDO ASSINA NOTA A FAVOR DO STF

Juntamente com outros 13 Governadores, o Governador de Sergipe Belivaldo Chag… https://t.co/qVdYZYxNpC",belivaldo,,,1061984232724222000,DepRodrigo_,,,0,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:36:10 GMT-0300 (Brasilia Standard Time)
"Fátima Bezerra (PT-RN);
Renan Filho (MDB-AL);
Belivaldo Chagas (PSD-SE);
Ibaneis Rocha (MDB-DF);
Waldez Goés (PDT-AP).",belivaldo,,,1059081124910121000,MarcusASoares,,,0,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:32:37 GMT-0300 (Brasilia Standard Time)
"Assinam...
Rui Costa-BA; Flávio Dino-MA; Paulo Câmara-PE; João Doria-SP; Eduardo Leite-RS; Camilo Santana-CE; João… https://t.co/jkUUn5ib91",belivaldo,,,2326548041,enoquebruno,,,0,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:10:25 GMT-0300 (Brasilia Standard Time)
"RT @SidneyO76289993: @AlanLopesRio da Paraíba, João Azevêdo (Cidadania); do Espírito Santo, Renato Casagrande (PSB); do Piauí, Wellington D…",belivaldo,,,1105275851577397200,stefanovilarim,,,5,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 18:05:41 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…",belivaldo,,,1250906697197125600,RighiRoselene,,,29,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:58:48 GMT-0300 (Brasilia Standard Time)
"Os que apoiam o STF, não reeleger:
RUI COSTA BA
FLÁVIO DINO MÁ
PAULO CÂMARA PÉ
JOÃO DORIA SP
EDUARDO LEITE RS
CAMIL… https://t.co/0agfZ3IqAs",belivaldo,,,4784149340,olivo_altamir,,,0,1,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:52:38 GMT-0300 (Brasilia Standard Time)
"RT @MarcosQuezado1: NOTA/APOIO AO ŠŤF,ASSINAM:
DF, Ibaneis Rocha; BA, Rui Costa; MA,Flávio Dino; PE-Paulo Câmara; SP,Doria; RS, Eduardo Lei…",belivaldo,,,770282259727413200,deiag1973,,,14,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:48:51 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…",belivaldo,,,1365898412911132700,Daniela00973721,,,29,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:46:19 GMT-0300 (Brasilia Standard Time)
Belivaldo e ministro João Roma participam de ação para fortalecimento de programas de segurança alimentar e nutrici… https://t.co/QxxvmSpOgh,belivaldo,,,57341747,governosergipe,,,0,2,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:45:50 GMT-0300 (Brasilia Standard Time)
"RT @NellyYumi: Governadores q assinaram apoio ao STF: Rui Costa, Flávio Dino, Paulo Câmara, João Doria, Eduardo Leite, Camilo Santana, João…",belivaldo,,,1296402037073207300,ArieliAguiar7,,,29,0,Mon Aug 16 2021 18:36:31 GMT-0300 (Brasilia Standard Time),Mon Aug 16 2021 17:40:47 GMT-0300 (Brasilia Standard Time)
