text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @colunaesplanada: Faltou energia ontem no meio do discurso do governador Belivaldo Chagas na inauguração do mega centro de convenções de…,belivaldo,,,253982124,ElisetePena,,,1,0,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 15:35:23 GMT-0300 (Brasilia Standard Time)
Faltou energia ontem no meio do discurso do governador Belivaldo Chagas na inauguração do mega centro de convenções… https://t.co/wZEiah1wt1,belivaldo,,,61518948,colunaesplanada,,,1,2,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 15:30:45 GMT-0300 (Brasilia Standard Time)
Gov. @belivaldochagas falou da importância da iniciativa e lembrou que o Estado precisava de um Centro de Convençõe… https://t.co/4Cp4vbXQxI,belivaldo,,,360019967,PSD_55,,,0,0,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Tue Aug 10 2021 15:25:02 GMT-0300 (Brasilia Standard Time)
fez mais pelo povo sergipano na pandemia que belivaldo https://t.co/s0TKc8aiJv,belivaldo,,,43439706,HelvinhoMaciel,,,0,3,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 22:24:56 GMT-0300 (Brasilia Standard Time)
"Desgoverno Belivaldo reforma centro de convenções e entrega à ""iniciativa"" privada já na inauguração. 

Piada pront… https://t.co/RlbxcH30YE",belivaldo,,,76494815,felipebeyer,,,0,0,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 19:45:48 GMT-0300 (Brasilia Standard Time)
Belivaldo entrega Centro de Convenções reformado. Leia no https://t.co/KOajbUEV7X,belivaldo,,,305585197,JoedsonTelles,,,0,0,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 17:47:11 GMT-0300 (Brasilia Standard Time)
Belivaldo entrega Centro de Convenções e reposiciona Sergipe no mapa do Turismo de Negócios brasileiro… https://t.co/h0ZMoBDc9p,belivaldo,,,727178400201343000,SergipeMais1,,,0,1,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 17:21:03 GMT-0300 (Brasilia Standard Time)
"Jozailto Lima - Com presença do ministro do Turismo, governador Belivaldo Chagas reinaugura Centro de Convenções  |… https://t.co/ERze0ASBH1",belivaldo,,,149651529,ISMARVIANA,,,0,0,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 17:02:21 GMT-0300 (Brasilia Standard Time)
RT @governosergipe: Belivaldo entrega Centro de Convenções e reposiciona Sergipe no mapa do Turismo de Negócios brasileiro https://t.co/31S…,belivaldo,,,875943888787308500,marciondj,,,1,0,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 16:00:41 GMT-0300 (Brasilia Standard Time)
Belivaldo entrega Centro de Convenções e reposiciona Sergipe no mapa do Turismo de Negócios brasileiro https://t.co/31S4WNUs05,belivaldo,,,57341747,governosergipe,,,1,8,Tue Aug 10 2021 20:18:45 GMT-0300 (Brasilia Standard Time),Mon Aug 09 2021 15:48:18 GMT-0300 (Brasilia Standard Time)
