text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @MarceloFreixo: Que Carlos Bolsonaro siga o mesmo caminho de Roberto Jefferson.,bolsonaro,,,1394005821193957400,AndrCostadosSa5,,,41,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:13 GMT-0300 (Brasilia Standard Time)
"ATO CONTRA BOLSONARO EM TODO PAIS E NO EXTERIOR 
A ""gripizinha "" ou o "" resfriadinho "" já DIZIMOU 566.988 VIDAS CEI… https://t.co/s8dfyZJxfR",bolsonaro,,,1267751865321742300,alves506,,,0,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:13 GMT-0300 (Brasilia Standard Time)
RT @reinaldoazevedo: Não que Bolsonaro precise de quem o piore. Já é ruim o suficiente sozinho. Mas resta evidente q Ricardo Barros está en…,bolsonaro,,,810094896669331500,JosRmuloFeitos2,,,880,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:13 GMT-0300 (Brasilia Standard Time)
RT @cintialoureiro: Quem acha excesso a prisão do bob jef grave um video com duas armas ameaçando o bolsonaro e publica pra nós ver,bolsonaro,,,276063509,elisa_lemme,,,20,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:13 GMT-0300 (Brasilia Standard Time)
"RT @bielconn: Trump e Bolsonaro sempre à frente do nosso tempo 😎🍿

Assim como o Trump já avisava meses antes de que haveria fraude... nosso…",bolsonaro,,,50040936,jrobertogarcia,,,221,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:12 GMT-0300 (Brasilia Standard Time)
RT @UOLPolitica: Roberto Jefferson foi elogiado por ministro de Bolsonaro há uma semana https://t.co/wmiEstXPhP,bolsonaro,,,45263248,luckvilla,,,4,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:12 GMT-0300 (Brasilia Standard Time)
RT @tbaghdadi: Vamo trabalhar pq alguém tem que pagar a visita do Eduardo Bolsonaro ao Trump,bolsonaro,,,1517536812,felipetarijon,,,21,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:12 GMT-0300 (Brasilia Standard Time)
"RT @WendelBrasilSP: ""Milícia digital""

Esse é rótulo q usaram para marcar e prender os q não se furtam de expressar suas opiniões.

As deci…",bolsonaro,,,197409337,adriano_c4,,,2,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:12 GMT-0300 (Brasilia Standard Time)
"@Biakicis @jairbolsonaro Se o Bolsonaro não agir contra esse Supremo, perderá de vez a credibilidade. É um absurdo… https://t.co/WGmSk8F6S3",bolsonaro,,,1407744030579085300,HLDERTEIXEIRA10,,,0,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:12 GMT-0300 (Brasilia Standard Time)
RT @GuilhermeBoulos: STF determina prisão de Roberto Jefferson por ataques às instituições democráticas. O comboio do golpismo vai indo pra…,bolsonaro,,,99622892,breno_e,,,175,0,Fri Aug 13 2021 09:27:14 GMT-0300 (Brasilia Standard Time),Fri Aug 13 2021 09:27:12 GMT-0300 (Brasilia Standard Time)
