text,query,country,city,userId,username,quote_count,reply_count,retweet_count,favorite_count,timestamp,createdAt
RT @dbelemlopes: Fracasso rotundo das missões civilizatórias dos 🇺🇲 no Oriente Médio e Ásia Central. A monitorar o papel da 🇨🇳 na re-estabi…,bolsonaro,,,17740384,brunopwr,,,18,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:22 GMT-0300 (Brasilia Standard Time)
RT @republica_ctba: Sérgio Reis convoca para ato pró-Bolsonaro com caminhoneiros https://t.co/UyJOetXH64,bolsonaro,,,1244301656747016200,Souza43419194,,,348,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:22 GMT-0300 (Brasilia Standard Time)
RT @UOL: Senado vê pedido inócuo contra ministros do STF e tenta evitar 'circo' de Bolsonaro https://t.co/UA8Jkg1YWt,bolsonaro,,,132967652,CLOVISBARCELOS,,,11,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:22 GMT-0300 (Brasilia Standard Time)
"RT @palmeriodoria: ""Quando o Collor foi eleito, RobJef grudou as mãos gordas no saco dele. Collor caiu! Grudou as mãos, agora magras, no Bo…",bolsonaro,,,2804722129,omoraiz,,,10,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:21 GMT-0300 (Brasilia Standard Time)
RT @naclarapretto: eu sou gay mesmo idai bolsonaro,bolsonaro,,,1421976734044500000,ageovananunes,,,1,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:21 GMT-0300 (Brasilia Standard Time)
"RT @newtlark: vou fingir que vcs nn botaram o cara mais gentil de panem, fofoqueiro nato, inteligente, padeiro sarcástico e brincalhão no t…",bolsonaro,,,1082793269619249200,petitperalta,,,226,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:21 GMT-0300 (Brasilia Standard Time)
RT @cirogomes: Bolsonaro quer gerar a maior crise institucional desses tempos ao anunciar que vai pedir o impeachment de dois ministros do…,bolsonaro,,,136732350,AngeloRaposo,,,4261,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time)
"RT @OClannnn: ""O governo Bolsonaro foi o que mais pagou emenda. Pagou mais que Lula, Dilma e Temer juntos..""

Sim, mas estão sendo observad…",bolsonaro,,,1267196579066318800,06Norbit,,,5,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:20 GMT-0300 (Brasilia Standard Time)
"RT @reinaldoazevedo: Alguém pode ir para a Internet, portando pistolas e fuzis, incitando a invasão do Palácio do Planalto para pegar Bolso…",bolsonaro,,,1161789799566663700,GoesRosemberg,,,1546,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:19 GMT-0300 (Brasilia Standard Time)
"RT @BrunaoBarreto1: ""Está chegando a hora de tudo ser colocado no seu devido lugar.""

Bolsonaro, Jair.",bolsonaro,,,1424497160280842200,MarceloBolsona6,,,506,0,Sun Aug 15 2021 20:02:24 GMT-0300 (Brasilia Standard Time),Sun Aug 15 2021 20:02:19 GMT-0300 (Brasilia Standard Time)
